Ticker,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_attributable_to_parent,operating_income_loss,costs_and_expenses,income_tax_expense_benefit,income_loss_from_continuing_operations_after_tax,income_loss_from_continuing_operations_before_tax,basic_earnings_per_share,preferred_stock_dividends_and_other_adjustments,net_income_loss_available_to_common_stockholders_basic,basic_average_shares,diluted_earnings_per_share,depreciation_and_amortization,benefits_costs_expenses,revenues,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss,diluted_average_shares,operating_expenses,other_operating_expenses,equity_attributable_to_noncontrolling_interest,current_assets,liabilities_and_equity,current_liabilities,equity_attributable_to_parent,equity,fixed_assets,assets,liabilities,noncurrent_liabilities,noncurrent_assets,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities_continuing,exchange_gains_losses,net_cash_flow_from_investing_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow,net_cash_flow_from_financing_activities,other_comprehensive_income_loss,other_comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_current_assets,long_term_investments,inventory,intangible_assets,other_noncurrent_assets,selling_general_and_administrative_expenses,income_tax_expense_benefit_deferred,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,other_current_liabilities,temporary_equity,prepaid_expenses,accounts_payable,temporary_equity_attributable_to_parent,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,interest_expense_operating,gross_profit,cost_of_revenue,other_noncurrent_liabilities,long_term_debt,redeemable_noncontrolling_interest,redeemable_noncontrolling_interest_common,undistributed_earnings_loss_allocated_to_participating_securities_basic,accounts_receivable,common_stock_dividends,income_tax_expense_benefit_current,wages,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,provision_for_loan_lease_and_other_losses,nonoperating_income_loss,noninterest_expense,income_loss_from_discontinued_operations_net_of_tax,interest_and_dividend_income_operating,research_and_development,cost_of_revenue_goods,interest_and_debt_expense,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
JAKK,0,52272000,68083000,253909000,15425000,52272000,67697000,4.78,0,52272000,10942000,4.64,95000,253909000,321606000,0,52272000,11275000,40748000,N/A,500000,384299000,523878000,253929000,249566000,250066000,15125000,523878000,273812000,19883000,139579000,12485000,-2815000,-6330000,1042000,-2815000,3340000,12485000,4382000,-6330000,1042000,N/A,0,53314000,53314000,318581000,N/A,63509000,N/A,124454000,40748000,N/A,0,N/A,155001000,0,2209000,98928000,0,0,539000,108831000,212775000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.08,10990337,0.33839853734072123,16.25342810768456,5.836206896551724,1.190159101837115,1.0949589308422576,297618325.96,1.5134112291231014,2209000,9.977895616918444,20.903281533675113,20.903281533675113,0,22.78535237898282,2.155,N/A,295409325.96,0.9185441999216432,Consumer Cyclical,Leisure,147914,EQUITY,4005511.1199999996,17.13%,1,0,1,0,1,0,1,0,1,1,1,1,0,0,29,37
NSYS,0,4535000,3709000,132528000,-1496000,4535000,3039000,1.6699999999999997,0,4535000,2760368,1.5699999999999998,N/A,132528000,135567000,0,4535000,2929333,17018000,15833000,0,60278000,76966000,23318000,35690000,35690000,5834000,76966000,41276000,17958000,16688000,-3455000,-1134000,4668000,39000,-1134000,79000,-3455000,118000,4668000,4556000,N/A,0,4556000,4556000,37946000,N/A,22332000,N/A,10854000,N/A,N/A,N/A,N/A,8063000,N/A,N/A,12315000,N/A,N/A,N/A,20727000,114840000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2940000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1185000,N/A,N/A,10.07,2756754,0.15289119033393084,3.345209379863831,6.414012738853504,0.7778232776688149,1.1565144298122723,27760512.78,2.5850415987649025,0,5.892212145622742,12.706640515550575,12.706640515550575,5.717180489216964,-49.22671931556433,0.38,N/A,27760512.78,0.20477337980481977,Healthcare,Medical Devices,561,EQUITY,5649.27,15.59%,0,0,0,0,1,0,1,0,0,0,1,0,0,1,26,30
CMT,0,15520000,18342000,294803000,3224000,15520000,90116000,1.78,0,15520000,8744000,1.76,N/A,223542000,313658000,0,15520000,8868000,35970000,N/A,0,115498000,220651000,47881000,147840000,147840000,79171000,220651000,72811000,24930000,105153000,38855000,-9342000,-5200000,N/A,-9342000,24313000,38855000,24313000,-5200000,10620000,N/A,0,12802000,12802000,94811000,N/A,20687000,4827000,21155000,35971000,N/A,N/A,N/A,15091000,N/A,N/A,25011000,N/A,N/A,76000,54312000,259346000,4766000,20164000,N/A,N/A,N/A,N/A,N/A,N/A,7779000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.73,8955360,0.17315675034591815,4.9480644523653154,7.801136363636364,0.8316902922077923,0.49249864718614716,122957092.8,2.4121885507821474,0,7.0337320021209955,10.497835497835498,9.237875288683602,0,3.577611079053664,1.772,N/A,143121092.8,0.4562966441155654,Basic Materials,Specialty Chemicals,31818,EQUITY,436861.14,12.82%,0,0,0,0,1,0,1,0,0,0,1,0,0,1,20,24
TAL,0,68877000,227542000,357390000,38917000,68877000,100464000,2.09,0,68877000,98705000,2.08,N/A,-51152000,56642000,0,68877000,98961000,-224735000,N/A,0,4441519000,4441519000,3804722000,636797000,636797000,N/A,4441519000,3804722000,0,0,404766000,-382468000,-20327000,N/A,-382468000,1971000,404766000,1971000,-20327000,-13959000,-13930000,0,48496000,46318000,N/A,N/A,N/A,N/A,N/A,N/A,38917000,N/A,107794000,N/A,N/A,N/A,N/A,N/A,N/A,118188000,2807000,53835000,N/A,N/A,N/A,N/A,N/A,N/A,2.34,N/A,N/A,N/A,N/A,N/A,-119748000,N/A,N/A,N/A,N/A,53835000,N/A,12.92,604282703,0.049556865929875356,121.60057907559761,6.211538461538462,12.260316117632463,5.974780031941105,7807332522.76,1.1673701784256512,4441519000,1.550753244554397,10.816162764585888,10.816162764585888,0,38.7372591176939,0.056,N/A,3365813522.76,59.42257552275697,Consumer Defensive,Education & Training Services,2875318,EQUITY,37149108.56,16.10%,0,0,1,1,0,-10,0,0,0,0,1,1,0,0,27,21
RCKY,0,13299000,37297000,433612000,4759000,13299000,18058000,1.81,0,13299000,7440000,1.79,N/A,433612000,451670000,0,13299000,7486000,139264000,N/A,0,258064000,475017000,92354000,228250000,228250000,50380000,475017000,246767000,154413000,216953000,70815000,-2457000,-68893000,N/A,-2457000,-535000,70815000,-535000,-68893000,0,N/A,0,13299000,13299000,81012000,N/A,171847000,110521000,56052000,N/A,N/A,N/A,N/A,26281000,N/A,5205000,63148000,N/A,N/A,N/A,176561000,275109000,4123000,150290000,N/A,N/A,N/A,N/A,0.6200000000000001,N/A,2925000,N/A,N/A,N/A,-19239000,N/A,N/A,N/A,N/A,N/A,N/A,20.34,7454465,0.3909070781765448,2.9444063143445436,11.363128491620111,0.6642883596933188,1.0811259583789705,151623818.1,2.794291530415575,5205000,2.7996892742786046,5.8265060240963855,3.513235061023934,0,26.35397053937313,2.176,N/A,296708818.1,0.6569150443908164,Consumer Cyclical,Footwear & Accessories,53073,EQUITY,1079504.82,8.80%,1,0,0,0,1,0,1,0,0,0,1,1,0,0,12,17
AEHR,0,22025000,-859000,49507000,-20797000,22025000,1228000,0.7699999999999998,0,22025000,58294000,0.75,1327000,49507000,50735000,736000,22761000,58196000,24941000,N/A,0,88521000,142280000,11717000,123181000,123181000,4306000,142280000,19099000,7382000,53759000,-5093000,-11442000,1067000,-28000,-11442000,-15468000,-5093000,-15496000,1067000,52460000,N/A,0,43536000,43536000,44745000,N/A,43776000,11512000,37941000,16014000,N/A,N/A,N/A,6863000,N/A,N/A,4854000,N/A,N/A,N/A,24082000,26653000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2085000,2085000,0,N/A,N/A,N/A,N/A,8927000,N/A,N/A,9.64,29711804,0.47466246181137284,44.86252094215039,12.853333333333333,2.325210791924079,0.15504826231318142,286421790.56,7.554920201416745,0,15.997329210008434,18.47768730567214,17.88019256216462,37.06918030063948,-1693.5667752442996,1.931,N/A,286421790.56,5.645447729575244,Technology,Semiconductor Equipment & Materials,412349,EQUITY,3975044.3600000003,7.78%,1,1,1,1,0,0,1,0,1,1,0,0,0,0,10,17
TWIN,0,9385000,10918000,307584000,4092000,9721000,13813000,0.6900000000000001,0,9378000,41329079,0.67,N/A,307584000,321397000,336000,9721000,41713052,76110000,N/A,610000,216566000,307360000,102658000,147024000,147634000,58508000,307360000,159726000,57068000,90794000,21984000,-31577000,2658000,N/A,-31577000,-6935000,21984000,-6935000,2658000,-14908000,N/A,251000,1345000,1094000,88288000,N/A,128278000,10856000,21430000,75960000,-1203000,N/A,N/A,74097000,N/A,N/A,28561000,N/A,N/A,N/A,87028000,234369000,32195000,24873000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.62,14145862,0.27078037442788827,3.024608194849361,12.865671641791042,0.8259434170990422,1.0819052521776826,121937330.43999998,2.1095871729431703,0,3.1627407600208226,6.5845265995637865,5.635133646750567,0,29.624266994859916,0.581,N/A,146810330.44,0.4567881170017144,Industrials,Specialty Industrial Machinery,20603,EQUITY,177597.86,7.77%,1,0,0,0,1,0,1,0,0,0,1,1,0,1,10,16
NOV,0,635000000,876000000,8039000000,196000000,635000000,831000000,1.62,0,635000000,392000000,1.6,343000000,8039000000,8870000000,0,635000000,396000000,1134000000,N/A,52000000,5770000000,11361000000,2347000000,6376000000,6428000000,1922000000,11361000000,4933000000,2586000000,5591000000,1304000000,-471000000,-406000000,-13000000,-471000000,427000000,1304000000,414000000,-406000000,-132000000,N/A,0,503000000,503000000,2019000000,N/A,1932000000,508000000,3161000000,1134000000,49000000,36000000,831000000,1242000000,N/A,N/A,837000000,N/A,N/A,91000000,2010000000,6860000000,846000000,1740000000,N/A,N/A,N/A,1819000000,0.275,147000000,268000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.92,380819811,0.2266065388951522,7.158962795941376,9.325,0.8839190385998755,0.7674237710018669,5681831580.12,2.458457605453771,0,5.589296716838307,9.878655880522713,7.774240940254653,0,23.586040914560773,1.675,N/A,7421831580.12,0.8367341127531003,Energy,Oil & Gas Equipment & Services,1268547,EQUITY,18926721.24,10.72%,1,0,0,0,1,-10,1,0,0,0,1,1,0,0,16,11
USNA,0,54342000,82333000,769440000,38191000,54342000,92533000,2.8400000000000003,0,54342000,19075000,2.8299999999999996,N/A,769440000,861973000,0,54342000,19150000,614662000,354632000,0,451191000,671308000,114779000,533087000,533087000,98033000,671308000,138221000,23442000,220117000,81230000,-15274000,-12719000,N/A,-15274000,53237000,81230000,53237000,-12719000,60867000,6525000,0,60867000,60867000,387207000,N/A,63984000,29237000,92847000,248584000,N/A,N/A,N/A,107738000,N/A,N/A,7041000,N/A,N/A,N/A,696995000,164978000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10200000,N/A,N/A,N/A,N/A,N/A,N/A,29.59,19059572,0.8086042138210826,6.304373802891739,10.455830388692581,1.057937513914239,0.2592841318584021,563972735.48,3.9309542686379912,0,8.094943006786751,10.193833276744696,10.193833276744696,0,41.27284320188473,0.981,N/A,563972735.48,0.6542812077408457,Consumer Defensive,Packaged Foods,148367,EQUITY,4390179.53,9.56%,1,1,0,0,1,-10,1,0,0,0,1,1,0,0,14,10
SD,0,47195000,36113000,84130000,-1479000,47195000,45716000,1.2699999999999998,0,47195000,74230000,1.2699999999999998,N/A,74527000,120243000,0,47195000,74299000,84130000,N/A,0,125571000,565240000,58755000,446757000,446757000,N/A,565240000,118483000,59728000,439669000,74159000,-139295000,-73026000,N/A,-139295000,-138162000,74159000,-138162000,-73026000,0,N/A,0,47195000,47195000,124685000,N/A,N/A,N/A,N/A,N/A,-1479000,N/A,N/A,55465000,N/A,886000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3290000,N/A,N/A,N/A,9603000,N/A,N/A,N/A,N/A,N/A,N/A,11.7,37213798,0,39.24968605241054,9.212598425196852,0.9745822373236457,0.26520681265206814,435401436.59999996,2.1371968343119736,886000,8.34955063335928,10.563908343909553,10.563908343909553,NaN,-3.2351911803307374,2.017,N/A,434515436.59999996,3.613644341874371,Energy,Oil & Gas E&P,230112,EQUITY,2692310.4,10.85%,0,0,1,1,1,-10,1,0,0,0,0,0,0,0,16,10
