Ticker,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,net_income_loss,revenues,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss_attributable_to_parent,other_operating_expenses,diluted_average_shares,net_income_loss_available_to_common_stockholders_basic,diluted_earnings_per_share,preferred_stock_dividends_and_other_adjustments,operating_income_loss,participating_securities_distributed_and_undistributed_earnings_loss_basic,income_loss_from_continuing_operations_before_tax,nonoperating_income_loss,basic_average_shares,income_loss_from_continuing_operations_after_tax,operating_expenses,research_and_development,basic_earnings_per_share,net_cash_flow_from_financing_activities,net_cash_flow,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow_continuing,liabilities,other_noncurrent_assets,current_liabilities,equity_attributable_to_noncontrolling_interest,equity_attributable_to_parent,assets,equity,other_current_liabilities,liabilities_and_equity,accounts_payable,fixed_assets,wages,current_assets,cash,noncurrent_assets,noncurrent_liabilities,other_comprehensive_income_loss_attributable_to_parent,provision_for_loan_lease_and_other_losses,costs_and_expenses,benefits_costs_expenses,income_tax_expense_benefit,interest_income_expense_operating_net,noninterest_expense,interest_income_expense_after_provision_for_losses,noninterest_income,income_tax_expense_benefit_deferred,interest_expense_operating,long_term_debt,intangible_assets,common_stock_dividends,interest_and_dividend_income_operating,selling_general_and_administrative_expenses,gross_profit,cost_of_revenue,inventory,other_current_assets,interest_and_debt_expense,exchange_gains_losses,income_loss_from_discontinued_operations_net_of_tax,prepaid_expenses,other_noncurrent_liabilities,income_loss_before_equity_method_investments,income_loss_from_equity_method_investments,temporary_equity,redeemable_noncontrolling_interest,depreciation_and_amortization,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,accounts_receivable,undistributed_earnings_loss_allocated_to_participating_securities_basic,income_tax_expense_benefit_current,net_income_loss_attributable_to_redeemable_noncontrolling_interest,redeemable_noncontrolling_interest_other,redeemable_noncontrolling_interest_preferred,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
HOVNP,0,246295000,246295000,0,246295000,3084345000,13557000,232738000,N/A,20980000,227876000,32.629999999999995,0,277874000,5551000,324389000,N/A,19451000,246295000,2806471000,N/A,35.16,-83230000,-93882000,-83230000,56765000,56765000,-67417000,-67417000,-93882000,1721849000,N/A,1721849000,0,811426000,2533275000,811426000,N/A,2533275000,N/A,N/A,N/A,2533275000,N/A,0,0,N/A,N/A,2806471000,2759956000,78094000,N/A,N/A,N/A,N/A,N/A,N/A,893706000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,277874000,46515000,N/A,N/A,N/A,N/A,N/A,7744000,N/A,N/A,N/A,N/A,17.1681,N/A,0,7.985325895773657,0.5261446521605885,NaN,2.122003731701967,NaN,1.4712527056669893,2533275000,9.72239492356732,30.353353232457426,14.44433627425912,NaN,24.074182540098462,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,190.06%,0,0,0,0,0,0,0,0,1,0,0,1,0,0,375,377
HTCR,65503,11124346,10882433,-241913,10816930,17850411,-240876,11057806,2209827,20864144,11057806,0.53,0,12100031,0,11042205,-1057826,20864144,10816930,2317356,107529,0.53,-655305,-2648575,-655305,-2038770,-2038770,45500,45500,-2648575,11156597,8520444,6531278,1914329,12401428,25472354,14315757,N/A,25472354,N/A,663447,N/A,12250963,N/A,13221391,4625319,N/A,N/A,6808206,6808206,225275,N/A,N/A,N/A,N/A,-9668,N/A,1858072,4037500,N/A,N/A,N/A,14417387,3433024,N/A,11481780,N/A,N/A,N/A,769183,2767247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.24,20933797,0.80767815374111,60.59765234537176,2.339622641509434,1.8132403532694779,0.7793228817728605,25957908.28,1.8757374896612884,769183,42.46537245831304,75.55960889808343,66.87921579979607,0.7458286303891267,2.040126949282322,1.763,N/A,27046797.28,1.5151918507646687,Technology,Software - Application,101059,EQUITY,125313.16,42.74%,1,1,1,1,1,0,1,1,1,1,1,0,0,1,80,91
OFS,0,-1028000,-1028000,0,-1028000,19120000,0,-1028000,N/A,26796156,-1028000,1.42,0,N/A,0,19120000,N/A,26796156,-1028000,N/A,N/A,1.42,-96642000,0,-96642000,95393000,95393000,1249000,1249000,0,253703000,N/A,253703000,0,154172000,407875000,154172000,N/A,407875000,N/A,N/A,N/A,407875000,N/A,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18286000,249100000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.3,13398078,0,-5.376569037656904,5.845070422535212,0.7212985976701347,1.6455841527644448,111204047.4,1.6076869410294714,407875000,-0.25203800183879865,-0.6667877435591417,-0.25491479696086017,NaN,0,1.831,N/A,-47570952.600000024,-2.4880205334728047,Financial Services,Asset Management,36652,EQUITY,304211.60000000003,17.11%,0,0,0,0,1,0,1,0,0,0,0,0,0,1,29,32
PFX,0,16549440,16549440,0,16549440,4650431,0,16549440,N/A,6081312,16549440,8.15,0,N/A,0,-2975489,N/A,6081312,11748457,N/A,N/A,8.15,51932115,0,51932115,-56918980,-56918980,4986865,4986865,0,149156114,N/A,149156114,0,162771930,311928044,162771930,N/A,311928044,N/A,N/A,N/A,311928044,N/A,0,0,N/A,N/A,7625920,7625920,N/A,N/A,N/A,N/A,N/A,N/A,7613000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7613223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.79,2019778,0,355.86895064134916,6.6,0.6674606525830343,0.9163503436986955,108643858.62,2.0912856713335937,311928044,5.305531297468079,10.167256725407139,7.217741412785362,NaN,0,0.875,N/A,-203284185.38,-43.712977438005204,Financial Services,Asset Management,2040,EQUITY,109731.59999999999,15.15%,0,0,1,1,1,0,1,0,0,0,0,0,0,1,25,30
SIEB,0,15791000,10712000,0,10712000,83581000,-8000,10720000,60935000,80698513,10720000,0.26,0,20401000,0,14458000,N/A,80698513,10712000,63180000,N/A,0.26,-84000,-20446000,-84000,-14416000,-14416000,-5946000,-5946000,-20446000,495833000,18324000,488739000,1003000,82320000,579156000,83323000,N/A,579156000,N/A,10130000,N/A,549924000,N/A,29232000,7094000,N/A,N/A,69123000,69123000,3746000,N/A,N/A,N/A,N/A,-38000,N/A,4249000,778000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2845000,N/A,N/A,N/A,N/A,2245000,-8000,N/A,N/A,N/A,N/A,N/A,N/A,2.6,40120936,0,12.816309926897262,10,1.2519284423268484,5.950733891002485,104314433.60000001,1.1251895183318703,549924000,1.8495880211894549,12.855994143273767,12.23222034440232,NaN,25.909531055471017,0.457,N/A,-441360566.4,-5.280632756248429,Financial Services,Capital Markets,2739,EQUITY,7121.400000000001,10.00%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,15,19
GEOS,7934000,7934000,7934000,0,8376000,37223000,0,8376000,N/A,12877387,8376000,0.65,0,7835000,0,8489000,654000,12753378,8376000,12314000,4894000,0.66,-197000,-5419000,-197000,-11509000,-11509000,6287000,6287000,-5419000,17229000,41496000,16888000,0,142710000,159939000,142710000,9576000,159939000,7312000,23358000,N/A,95085000,N/A,64854000,341000,-442000,0,28734000,28734000,113000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7420000,20149000,17074000,27921000,67164000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.08,N/A,0.5413051070574645,22.502216371598205,12.430769230769231,NaN,0.12072734916964474,NaN,5.630329227854098,0,5.236996604955639,5.869245322682363,5.869245322682363,24.289046602809073,1.3311344092354813,0.567,N/A,NaN,NaN,Energy,Oil & Gas Equipment & Services,39028,EQUITY,315346.24,8.04%,1,1,1,1,0,0,1,0,0,0,1,0,0,1,11,18
NTIC,-1262303,3289855,4768287,1478432,6030590,86216235,955938,5074652,31513644,29507784,5074652,0.5200000000000001,0,7598721,0,86216235,N/A,28330575,6030590,36553911,5040267,0.53,-1330785,-382111,-1330785,5201367,5201367,-4252693,-4252693,-382111,19730606,36682066,18118922,4093717,70213332,94037655,74307049,8848997,94037655,6559744,17053239,2710181,40302350,N/A,53735305,1611684,N/A,N/A,78617514,0,1316872,N/A,N/A,N/A,N/A,N/A,349211,N/A,N/A,N/A,N/A,N/A,34615041,51601194,14337384,23510678,N/A,N/A,N/A,2454288,N/A,81965587,4250648,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.35,9427598,0.40149098368770103,6.9947266892366615,21.82692307692307,1.440014624992038,0.2655280523924453,107003237.3,2.224323831185983,2454288,6.412952343399035,8.115771089227348,8.115771089227348,14.560915874691583,1.527406062210905,0.527,N/A,104548949.3,1.2126364518237198,Basic Materials,Specialty Chemicals,3336,EQUITY,37863.6,4.58%,1,1,0,0,0,0,1,0,0,0,1,0,0,1,4,9
SLNG,4039000,4039000,4039000,0,4599000,73293000,0,4599000,N/A,18595466,4599000,0.25,0,3386000,0,5084000,134000,18583485,4599000,17838000,N/A,0.25,-1914000,3659000,-1914000,13693000,13693000,-8120000,-8120000,3659000,18576000,N/A,11627000,0,67008000,85584000,67008000,3552000,85584000,5667000,N/A,2408000,17473000,N/A,68111000,6949000,-560000,N/A,69907000,68209000,485000,N/A,N/A,N/A,N/A,N/A,300000,8858000,N/A,N/A,N/A,11763000,21224000,52069000,345000,17128000,N/A,N/A,N/A,N/A,N/A,3386000,1770000,N/A,N/A,7146000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.47,18596301,0.2895774494153603,6.274814784495108,21.88,1.5180540602614612,0.27722063037249284,101721766.47,1.502795218027006,0,5.3736679753224905,6.863359598853869,6.062004059789629,0,9.539732494099134,0.933,N/A,110579766.47,1.5087357110501685,Energy,Oil & Gas Integrated,36986,EQUITY,202313.41999999998,4.57%,1,0,0,0,0,0,1,0,0,0,1,0,0,1,4,8
CPHC,0,4722164,4722164,0,4722164,62111814,0,4722164,51480033,5029704,4722164,0.9399999999999998,0,7118589,0,6794164,-324425,4994428,4722164,54993225,N/A,0.9499999999999998,-1277327,-5648159,-1277327,10616336,10616336,-14987168,-14987168,-5648159,29037502,30927480,15200674,0,85189618,114227120,85189618,6609875,114227120,5783824,49288093,2806975,34011547,N/A,80215573,13836828,N/A,N/A,56725578,55317650,2072000,N/A,N/A,N/A,N/A,1457985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,292986,32012523,N/A,N/A,N/A,1706038,N/A,9256034,-2492238,N/A,N/A,3513192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.22,4982770,0,7.602682478409019,22.574468085106385,1.2411650842242303,0.34085728615428235,105734379.39999999,2.2375025607417145,1706038,4.134013008469442,5.543121463462836,5.543121463462836,NaN,30.49676163248341,-0.314,N/A,104028341.39999999,1.6748559525245872,Consumer Cyclical,Gambling,7695,EQUITY,163287.9,4.43%,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,6
PPIH,-185000,2306000,3268000,962000,3453000,41563000,962000,2491000,N/A,8027000,2491000,0.31,0,5586000,0,5068000,N/A,7981000,3453000,8500000,N/A,0.31,-896000,3845000,-896000,4074000,4074000,1625000,1625000,4803000,89538000,20692000,53794000,0,71211000,160749000,71211000,31726000,160749000,20788000,35652000,1280000,104405000,N/A,56344000,26792000,N/A,0,36495000,36495000,1615000,-468000,N/A,-468000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14086000,27477000,15957000,88448000,N/A,-958000,N/A,N/A,N/A,N/A,N/A,8952000,8952000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.41,7982568,0.33890720111637757,8.307869980511514,43.25806451612903,1.5032261431520413,1.2573619244217888,107046236.88,1.9408298323233075,0,2.1480693503536568,4.848969962505793,4.848969962505793,0,31.866614048934487,0.334,N/A,107046236.88,2.5755175728412287,Industrials,Building Products & Equipment,12949,EQUITY,173646.09,2.31%,1,0,0,0,0,0,1,0,0,0,1,1,0,1,-1,4
