Ticker,depreciation_and_amortization,basic_earnings_per_share,income_tax_expense_benefit,preferred_stock_dividends_and_other_adjustments,revenues,income_loss_from_continuing_operations_before_tax,net_income_loss_available_to_common_stockholders_basic,benefits_costs_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,diluted_earnings_per_share,net_income_loss,costs_and_expenses,income_loss_from_continuing_operations_after_tax,operating_expenses,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss_attributable_to_parent,nonoperating_income_loss,basic_average_shares,diluted_average_shares,selling_general_and_administrative_expenses,other_operating_expenses,cost_of_revenue,gross_profit,operating_income_loss,fixed_assets,equity_attributable_to_noncontrolling_interest,other_noncurrent_assets,noncurrent_assets,liabilities_and_equity,equity,other_current_liabilities,intangible_assets,inventory,accounts_payable,liabilities,current_assets,equity_attributable_to_parent,assets,other_current_assets,noncurrent_liabilities,current_liabilities,net_cash_flow,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_operating_activities,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,long_term_debt,prepaid_expenses,other_noncurrent_liabilities,income_tax_expense_benefit_deferred,research_and_development,interest_expense_operating,income_loss_before_equity_method_investments,income_loss_from_equity_method_investments,wages,commitments_and_contingencies,exchange_gains_losses,provision_for_loan_lease_and_other_losses,interest_income_expense_operating_net,interest_income_expense_after_provision_for_losses,other_comprehensive_income_loss_attributable_to_parent,interest_and_dividend_income_operating,income_tax_expense_benefit_current,common_stock_dividends,undistributed_earnings_loss_allocated_to_participating_securities_basic,cash,noninterest_income,noninterest_expense,redeemable_noncontrolling_interest,temporary_equity,temporary_equity_attributable_to_parent,income_loss_from_discontinued_operations_net_of_tax,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
MSGM,63138,0.87,N/A,0,1881653,2087483,2376306,-205830,0,0.87,2087483,-205830,2087483,2549258,-288823,2376306,N/A,2722728,2722728,N/A,1617375,771647,1110006,2058748,136997,-1272942,96401,5031409,7208411,3029080,2364868,4798011,N/A,1764650,4179331,2177002,4302022,7208411,N/A,49813,4129518,-1444441,-922803,0,0,-922803,-1444441,-521638,-521638,-60886,2007178,-269404,2276582,N/A,N/A,N/A,N/A,868745,29746,N/A,N/A,N/A,N/A,N/A,0,-29746,-29746,2007178,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.16,3883558,0.5899100418621287,110.93878626930682,1.3333333333333333,1.487226246913254,1.379736091486524,4504927.279999999,0.527180654013374,2177002,28.95898971354436,68.9147529943085,68.9147529943085,78.26489226184363,0,2.083,N/A,2327925.2799999993,1.2371703390582638,Communication Services,Electronic Gaming & Multimedia,7772,EQUITY,9015.519999999999,75.00%,1,1,1,1,1,0,0,1,1,1,0,0,0,1,145,154
NCSM,N/A,17.29,777000,0,152801000,45044000,42761000,107757000,0,17.27,44267000,107757000,44267000,66100000,1506000,42761000,45211000,2539000,2575000,56010000,7590000,N/A,N/A,-167000,N/A,18071000,42485000,46390000,145843000,114110000,14597000,3905000,41199000,7512000,31733000,99453000,96039000,145843000,58254000,9624000,22109000,3760000,-902000,-3640000,-3640000,-902000,3760000,8302000,8302000,-47000,44220000,1506000,42714000,N/A,N/A,N/A,8000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.93,2502812,0,28.97036014162211,1.5593514765489287,0.5906645093330997,0.27809131539742354,67400727.16,4.498303858157311,0,30.35250234841576,38.79326965209009,38.79326965209009,NaN,1.7249800195364533,1.058,N/A,67400727.16,0.4411013485513838,Energy,Oil & Gas Equipment & Services,3679,EQUITY,99075.47,64.13%,0,0,1,1,1,0,1,1,1,1,0,0,0,1,123,131
HTCR,N/A,0.53,225275,0,17850411,11042205,11057806,6808206,0,0.53,10816930,6808206,10816930,2317356,-240876,11057806,-1057826,20864144,20864144,N/A,2209827,3433024,14417387,12100031,663447,1914329,8520444,13221391,25472354,14315757,N/A,4037500,N/A,N/A,11156597,12250963,12401428,25472354,11481780,4625319,6531278,-2648575,45500,-655305,-655305,45500,-2648575,-2038770,-2038770,65503,10882433,-241913,11124346,1858072,769183,2767247,-9668,107529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.24,20933797,0.80767815374111,60.59765234537176,2.339622641509434,1.8132403532694779,0.7793228817728605,25957908.28,1.8757374896612884,769183,42.46537245831304,75.55960889808343,66.87921579979607,0.7458286303891267,2.040126949282322,1.763,N/A,27046797.28,1.5151918507646687,Technology,Software - Application,101059,EQUITY,125313.16,42.74%,1,1,1,1,1,0,1,1,1,1,1,0,0,1,80,91
ISSC,420544,0.4,1853180,0,47198020,8851560,6998380,38346460,0,0.4,6998380,38346460,6998380,16252054,0,6998380,N/A,17459823,17480247,12114069,N/A,21284429,25913591,9661537,13372298,0,7311973,47696563,82382261,46638655,3264403,27012292,12732381,2315479,35743606,34685698,46638655,82382261,21953317,28478352,7265254,-2558216,-16881440,8527002,8527002,-16881440,-2558216,5796222,5796222,0,6998380,0,6998380,N/A,N/A,N/A,-1136472,4137985,937309,N/A,N/A,1685372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2989652,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.14,17499955,0.5490397902284884,14.827698280563464,17.849999999999998,2.6791012455226246,0.7663944425498548,124949678.69999999,4.774189312582878,0,8.49500840963809,15.005535644199004,15.005535644199004,15.96839666104169,20.936196557442983,1.154,N/A,124949678.69999999,2.64735000959786,Industrials,Aerospace & Defense,132145,EQUITY,943515.2999999999,5.60%,1,1,1,0,0,0,1,0,1,1,1,1,0,1,6,15
VHI,18800000,2.01,34300000,0,533600000,119900000,57500000,413700000,0,2.01,85600000,438900000,85600000,48600000,28100000,57500000,N/A,28.5,28.5,74200000,N/A,417300000,116300000,67700000,751300000,344100000,629900000,1381200000,2787200000,1366600000,296300000,N/A,577400000,163600000,1420600000,1406000000,1022500000,2787200000,828600000,916900000,503700000,-66800000,-151600000,71300000,71300000,-151600000,-66800000,13500000,13500000,6500000,92100000,29900000,62200000,N/A,N/A,N/A,N/A,N/A,13400000,N/A,N/A,43800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.14,28294793,0.2179535232383808,16.041979010494753,8.527363184079602,0.3548754222303527,1.0395141226401288,484972752.02000004,2.791344054000397,0,3.0711825487944893,6.263720181472267,6.263720181472267,0,28.607172643869895,1.189,N/A,484972752.02000004,0.9088694752998502,Basic Materials,Chemicals,10179,EQUITY,174468.06,11.73%,1,0,1,0,1,-10,1,0,0,0,1,1,0,1,18,15
FTLF,22000,0.46,770000,0,15977000,2896000,2126000,13081000,0,0.43,2126000,13081000,2126000,3819000,0,2126000,-286000,4598000,4965000,2645000,1152000,8976000,7001000,3182000,91000,0,14083000,40488000,58587000,34158000,7977000,26314000,10371000,4078000,24429000,18099000,34158000,58587000,7728000,12374000,12055000,922000,0,-1125000,-1125000,0,922000,2047000,2047000,35000,2161000,0,2161000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.01,9210216,0.4381924015772673,13.30662827814984,34.906976744186046,4.047231751273494,0.7151765325838749,138245342.16,1.5013687266694318,0,3.6287913700991687,6.224017799636981,6.224017799636981,0,26.588397790055247,0.952,N/A,138245342.16,8.652772245102334,Consumer Defensive,Packaged Foods,1893,EQUITY,28413.93,2.86%,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,7
RILYN,N/A,-14.35,25008000,2015000,148365000,-408773000,-435619000,557138000,2015000,-14.35,-433781000,368621000,-433781000,321903000,-177000,-433604000,N/A,30352054,30352054,209338000,112565000,46718000,101647000,-220256000,44689000,75233000,N/A,0,3236282000,-143103000,3260037000,319320000,83178000,58932000,3379385000,3236282000,-218336000,3236282000,3153104000,0,3379385000,46044000,-11574000,-52593000,-52593000,-11574000,47315000,111482000,111482000,-1244000,-435025000,-177000,-434848000,N/A,N/A,N/A,17457000,N/A,N/A,-408783000,10000,60416000,N/A,-1271000,N/A,N/A,N/A,N/A,N/A,N/A,0.5,N/A,N/A,N/A,N/A,5304000,5304000,N/A,N/A,15.93,N/A,0.6851144137768341,-292.37421224682373,0,NaN,0,NaN,0.9576541293756112,0,-13.403683609771955,0,0,0,-6.117820893258606,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
MPTI,N/A,0.82,741000,0,13214000,3008000,2267000,10206000,0,0.81,2267000,10293000,2267000,10293000,0,2267000,87000,2751924,2800820,N/A,9579000,N/A,N/A,2921000,4887000,0,1933000,6860000,31516000,26220000,1277000,40000,9553000,1225000,5296000,24656000,26220000,31516000,15103000,9000,5287000,1989000,-478000,216000,216000,-478000,1989000,2251000,2251000,0,2267000,0,2267000,N/A,N/A,N/A,49000,714000,N/A,N/A,N/A,2785000,N/A,N/A,0,63000,63000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.56,2911165,0,17.156046617224156,48.839506172839506,4.3922840350877195,0.20198321891685736,115165687.4,4.663514280310195,0,7.193171722299785,8.646071700991609,8.646071700991609,Infinity,24.6343085106383,1.486,N/A,115165687.4,8.715429650370819,Technology,Electronic Components,48006,EQUITY,1899117.36,2.05%,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-1,2
MNTK,22671000,0.16999999999999998,5459000,0,194849000,28444000,22985000,166405000,0,0.16999999999999998,22985000,166405000,22985000,161436000,0,22985000,-4969000,142222655,142482354,N/A,138765000,137377000,57472000,33413000,249845000,0,44997000,294842000,374118000,275337000,28743000,N/A,N/A,10154000,98781000,79276000,275337000,374118000,N/A,59884000,38897000,-18306000,-71812000,-11031000,-11031000,-71812000,-18306000,64537000,64537000,0,22985000,0,22985000,46719000,N/A,13165000,2134000,N/A,6357000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.43,143367622,0.29495660742421054,11.796314068843053,20.176470588235297,1.7859965913044742,0.3587639874045261,491750943.46000004,2.0381006247268427,79276000,6.143783512153919,8.347951782724444,7.136957547755669,0,19.19209675151174,-0.207,N/A,459193943.46000004,2.3566656408808875,Utilities,Utilities - Diversified,83073,EQUITY,284940.39,4.96%,1,0,1,0,0,-10,1,0,0,0,1,1,0,1,4,0
GCMGW,N/A,0.42,13560000,0,514012000,50164000,18695000,463848000,0,0.03,36604000,463848000,36604000,440532000,17909000,18695000,-23316000,44741336,190590041,104296000,336236000,N/A,N/A,73480000,22683000,-62719000,N/A,0,612731000,-90339000,N/A,1314000,N/A,N/A,703070000,612731000,-27620000,612731000,N/A,0,703070000,45100000,-31834000,-70378000,-70378000,-31834000,46562000,148774000,148774000,-4700000,31904000,14189000,17715000,432039000,N/A,N/A,7761000,N/A,N/A,N/A,N/A,N/A,N/A,-1462000,N/A,N/A,N/A,N/A,N/A,5799000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.58,N/A,0,7.121234523707617,86,NaN,0,NaN,0.8715078157224743,612731000,5.973910247726979,0,10.7123207491952,NaN,27.031337213938283,,N/A,NaN,NaN,Financial Services,Asset Management,228,EQUITY,588.24,1.16%,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-3,-1
