Ticker,net_cash_flow_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,participating_securities_distributed_and_undistributed_earnings_loss_basic,operating_income_loss,interest_expense_operating,basic_average_shares,diluted_earnings_per_share,net_income_loss_available_to_common_stockholders_basic,operating_expenses,depreciation_and_amortization,net_income_loss_attributable_to_parent,net_income_loss,other_operating_expenses,preferred_stock_dividends_and_other_adjustments,income_loss_from_continuing_operations_after_tax,basic_earnings_per_share,research_and_development,income_loss_from_continuing_operations_before_tax,diluted_average_shares,net_income_loss_attributable_to_noncontrolling_interest,revenues,equity_attributable_to_noncontrolling_interest,prepaid_expenses,liabilities,fixed_assets,assets,accounts_payable,current_liabilities,noncurrent_liabilities,equity,other_current_assets,liabilities_and_equity,noncurrent_assets,equity_attributable_to_parent,other_current_liabilities,other_noncurrent_assets,current_assets,long_term_debt,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,costs_and_expenses,benefits_costs_expenses,intangible_assets,cash,wages,other_noncurrent_liabilities,income_tax_expense_benefit_deferred,income_tax_expense_benefit,nonoperating_income_loss,selling_general_and_administrative_expenses,gross_profit,income_tax_expense_benefit_current,cost_of_revenue,other_comprehensive_income_loss_attributable_to_parent,inventory,interest_and_dividend_income_operating,exchange_gains_losses,income_loss_before_equity_method_investments,income_loss_from_equity_method_investments,temporary_equity,temporary_equity_attributable_to_parent,income_loss_from_discontinued_operations_net_of_tax,provision_for_loan_lease_and_other_losses,common_stock_dividends,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,interest_income_expense_operating_net,interest_income_expense_after_provision_for_losses,noninterest_expense,long_term_investments,redeemable_noncontrolling_interest,accounts_receivable,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
FBYDW,-846000,-2000,-2373000,-836000,-2000,1529000,1529000,-2373000,0,-2461000,421000,10066629,0.46,5869000,4530000,1000,5869000,39301000,0,0,39301000,0.58,39000,39301000,10253082,33432000,2069000,-8061000,N/A,76025000,24000,66550000,4710000,39381000,36644000,-9475000,N/A,66550000,64478000,-1414000,34671000,64454000,2072000,10339000,5870000,4000,39305000,33435000,-37232000,-37232000,N/A,N/A,N/A,26305000,N/A,0,N/A,4490000,N/A,0,N/A,N/A,N/A,N/A,10000,39263000,38000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6656,N/A,0,1899.5166747220878,1.4469565217391303,NaN,0,NaN,0.052614204819583045,2072000,59.05484598046582,0,4548.726851851852,Infinity,0,,N/A,NaN,NaN,Industrials,Conglomerates,100,EQUITY,66.56,69.11%,0,0,1,1,0,0,0,1,0,1,0,0,0,1,133,138
SRTS,2071000,-573000,2664000,2071000,-573000,-20000,-20000,2664000,0,11941000,N/A,16308904,0.5700000000000001,9311000,13215000,213000,9311000,9311000,9670000,0,9311000,0.5700000000000001,3332000,12871000,16343361,0,41308000,0,1723000,5727000,1635000,59858000,N/A,5210000,517000,54131000,41115000,59858000,5052000,54131000,N/A,3417000,54806000,N/A,9311000,0,9311000,0,28437000,28437000,N/A,N/A,N/A,N/A,944000,3560000,N/A,N/A,25156000,N/A,16152000,N/A,11968000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.78,16495396,0.6089861528033311,22.540428004260676,8.385964912280702,1.4566143777133251,0.10579889527257948,78847992.88000001,10.519385796545105,1723000,15.555147181663271,17.200864569285624,17.200864569285624,13.245349022102083,27.659078548675314,1.287,N/A,77124992.88000001,1.8670715812917598,Healthcare,Medical Devices,165927,EQUITY,793131.06,11.92%,1,1,1,1,1,0,1,0,1,1,1,1,0,1,18,29
UBCP,-33114000,-32681000,10078000,-33114000,-32681000,-10511000,-10511000,10078000,252000,8104000,8125000,16751244,1.3699999999999999,7691000,27840000,1055000,7943000,7943000,29988000,252000,7943000,1.3699999999999999,N/A,8104000,11187200,0,35944000,0,N/A,760022000,24519000,825482000,N/A,760022000,0,65460000,N/A,825482000,0,65460000,N/A,N/A,825482000,N/A,8263000,5873000,8263000,0,27840000,27840000,N/A,N/A,N/A,N/A,N/A,161000,N/A,N/A,N/A,N/A,N/A,9862000,N/A,39147000,N/A,N/A,N/A,N/A,N/A,N/A,174000,0.845,N/A,N/A,N/A,N/A,N/A,24957000,24783000,21127000,N/A,N/A,N/A,14.03,N/A,0,22.098263966169597,10.24087591240876,NaN,11.610479682248702,NaN,1.0861290857369919,825482000,0.962225705708907,12.134127711579591,12.134127711579591,NaN,1.9866732477788747,0.395,N/A,NaN,NaN,Financial Services,Banks - Regional,9034,EQUITY,126747.01999999999,9.76%,0,0,1,1,0,0,0,0,0,0,0,0,0,1,14,17
RSVRW,-3141038,-61228686,11233261,-3307705,-61228686,46854387,46854387,11233261,0,9557957,N/A,65240858,0.08,5244091,17677717,6713621,5244091,5311539,10964096,0,5311539,0.08,N/A,7298689,66106474,67448,42303716,1268422,N/A,471583398,436849,832366342,N/A,61720755,409862643,360782944,N/A,832366342,758368977,359514522,N/A,64501888,73997365,N/A,864245,-4379846,931693,67448,32745759,35005027,693430240,N/A,N/A,N/A,1810315,1987150,N/A,N/A,27235674,N/A,15068042,N/A,N/A,N/A,-166667,7298689,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-5776861,-5776861,N/A,N/A,N/A,N/A,1.21,N/A,0.6438128035844416,12.555726782961575,15.125,NaN,1.3071111199757826,NaN,1.1989057003596277,73997365,0.6381251537919586,1.4722256382496839,1.4722256382496839,0,27.226122389925095,,N/A,NaN,NaN,Communication Services,Entertainment,200,EQUITY,242,6.61%,1,1,1,0,0,0,0,0,0,0,1,1,0,1,8,14
GECC,0,1475000,-112002000,0,1475000,110527000,110527000,-112002000,0,13906000,N/A,19555078,0.6900000000000001,5901000,25440000,N/A,5901000,5901000,N/A,0,5901000,0.6900000000000001,N/A,5901000,19555078,0,39346000,0,N/A,301200000,N/A,427026000,N/A,301200000,0,125826000,N/A,427026000,0,125826000,N/A,N/A,427026000,N/A,5901000,0,5901000,0,33445000,33445000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39346000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.3,11544415,0,14.99771260102679,16.3768115942029,1.0367641783097294,2.3937818892756666,130451889.50000001,1.4177490039840637,427026000,1.3818830703516882,4.689809737256211,4.689809737256211,NaN,0,1.534,N/A,-296574110.5,-7.537592398210745,Financial Services,Asset Management,8120,EQUITY,91756,6.11%,0,0,1,0,1,0,0,0,0,0,0,0,0,1,7,10
ORMP,36630000,120390000,-7919000,36636000,120390000,-75841000,-75841000,-7919000,0,-13063000,N/A,81864673,0.10999999999999999,4465000,N/A,N/A,4465000,4392000,N/A,0,4392000,0.1100000000000001,6629000,7159000,124372245,-73000,N/A,-919000,N/A,9559000,718000,165081000,N/A,5273000,4286000,155522000,N/A,165081000,22307000,156441000,N/A,21589000,142774000,N/A,4392000,0,4392000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22286000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.09,40312069,0,Infinity,19,0.5417383020408688,0.06146397294273479,84252224.21,27.07642708135786,142774000,2.6605121122358115,2.8240377567160917,2.8240377567160917,Infinity,0,1.611,N/A,-58521775.79000001,N/A,Healthcare,Biotechnology,75959,EQUITY,158754.31,5.26%,0,0,1,1,1,0,1,0,0,0,0,0,0,1,5,10
CODA,672174,-775185,1462992,672174,-775185,-15633,-15633,1462992,0,2972275,N/A,33554218,0.26,2998819,10191018,663447,2998819,2998819,N/A,0,2998819,0.27,2082600,4009122,11382443,0,18824676,0,821072,3140077,6337808,55945114,1074118,3018699,121378,52805037,31855680,55945114,10244369,52805037,1944581,3382108,45700745,N/A,2740165,2740165,2740165,0,14815554,14815554,524453,N/A,N/A,N/A,416520,1010303,1036847,8108418,13163293,593783,5661383,-258654,13023993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.66,11218804,0.6992573471118441,15.93025558580663,29.46153846153846,1.6274212371066041,0.059465482431155195,85936038.64,15.139218915168422,821072,5.360287584720981,5.679039671916146,5.679039671916146,15.821269039593663,25.200106157906895,0.601,N/A,85114966.64,4.521457189488945,Industrials,Aerospace & Defense,20995,EQUITY,160821.7,3.39%,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,9
HNNA,1057000,-127000,2234000,1057000,-127000,-1050000,-1050000,2234000,0,3830000,572000,7780122,0.36,2834000,5878000,N/A,2834000,2834000,N/A,0,2834000,0.36,N/A,3967000,7862881,0,9708000,0,607000,59904000,430000,153298000,N/A,3800000,56104000,93394000,68886000,153298000,83805000,93394000,N/A,83375000,69493000,N/A,2834000,0,2834000,0,5741000,5741000,N/A,N/A,N/A,N/A,278000,1133000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.13,7783737,0,29.192418623815406,30.91666666666667,0.9276076922500375,0.6414116538535666,86632992.81,18.28763157894737,607000,1.8486868713225222,3.034456174914877,3.034456174914877,NaN,28.560625157549786,0.802,N/A,86025992.81,8.861350722084879,Financial Services,Asset Management,4396,EQUITY,48927.48,3.23%,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,6
SUNS,58886073,-56304919,-513105,58886073,-56304919,115704097,115704097,-513105,0,1690836,N/A,6800500,0.25,1738363,1486897,N/A,1738363,1738363,N/A,0,1738363,0.26,N/A,1738363,6825905,0,3177733,0,N/A,55695714,N/A,167834524,N/A,55695714,0,112138810,N/A,167834524,0,112138810,N/A,N/A,167834524,N/A,1738363,0,1738363,0,1439370,1439370,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-47527,0.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.18,12754676,0,54.70450160538975,48.72,1.3853540418344015,0.4966676033034415,155351953.68,3.013419021794029,167834524,1.0357600799701974,1.5501885564863762,1.5501885564863762,NaN,0,,N/A,-12482570.319999993,-3.928136920251007,Real Estate,REIT - Mortgage,48004,EQUITY,584688.72,2.05%,0,0,1,1,0,0,1,0,0,0,0,0,0,1,-1,3
MVSTW,34826000,-24457000,-8240000,25755000,-24457000,67523000,67523000,-8240000,0,-113774000,N/A,318520993,-0.36000000000000004,-114555000,217978000,N/A,-114555000,-114610000,174292000,0,-114610000,-0.36000000000000004,43686000,-114600000,318520993,-55000,370989000,0,N/A,511797000,527160000,1021000000,65589000,335888000,175909000,509203000,279802000,1021000000,583429000,509203000,270299000,53481000,437571000,53397000,-100382000,14247000,-100363000,19000,485589000,485589000,2788000,N/A,N/A,122512000,N/A,10000,6478000,N/A,101056000,N/A,269933000,N/A,157769000,N/A,-9071000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.24125,N/A,0.272396216599414,-30.893099256312183,0,NaN,1.005094235501362,NaN,1.3027288858190826,0,-11.225269343780607,-22.50772285316465,-20.371489512975472,43.229496516782774,-0.008726003490401396,,N/A,NaN,NaN,Consumer Cyclical,Auto Parts,223807,EQUITY,53993.43875,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
