Ticker,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,equity_attributable_to_noncontrolling_interest,equity,liabilities,equity_attributable_to_parent,current_assets,long_term_debt,noncurrent_assets,fixed_assets,assets,noncurrent_liabilities,liabilities_and_equity,current_liabilities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_financing_activities,net_cash_flow_from_investing_activities_continuing,operating_income_loss,noninterest_income,interest_and_dividend_income_operating,income_loss_from_continuing_operations_before_tax,interest_income_expense_operating_net,income_tax_expense_benefit_deferred,participating_securities_distributed_and_undistributed_earnings_loss_basic,diluted_earnings_per_share,interest_income_expense_after_provision_for_losses,net_income_loss_available_to_common_stockholders_basic,net_income_loss_attributable_to_parent,revenues,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss,operating_expenses,income_tax_expense_benefit,income_loss_from_continuing_operations_after_tax,basic_average_shares,basic_earnings_per_share,benefits_costs_expenses,costs_and_expenses,interest_expense_operating,diluted_average_shares,noninterest_expense,preferred_stock_dividends_and_other_adjustments,provision_for_loan_lease_and_other_losses,accounts_payable,other_current_assets,inventory,other_current_liabilities,wages,intangible_assets,other_noncurrent_assets,other_comprehensive_income_loss_attributable_to_parent,research_and_development,nonoperating_income_loss,gross_profit,cost_of_revenue,selling_general_and_administrative_expenses,exchange_gains_losses,cash,other_operating_expenses,depreciation_and_amortization,other_noncurrent_liabilities,noncurrent_prepaid_expenses,temporary_equity,accounts_receivable,temporary_equity_attributable_to_parent,income_loss_from_discontinued_operations_net_of_tax,prepaid_expenses,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,redeemable_noncontrolling_interest,undistributed_earnings_loss_allocated_to_participating_securities_basic,interest_and_debt_expense,common_stock_dividends,long_term_investments,income_tax_expense_benefit_current,income_loss_before_equity_method_investments,income_loss_from_equity_method_investments,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
INCR,88260000,88260000,0,88260000,0,3493754000,4581627000,3493754000,1951760000,2641566000,6123621000,236697000,8075381000,2954469000,8075381000,1627158000,252934000,-101098000,-23712000,252934000,-178490000,-26654000,-178490000,-101098000,215379000,N/A,N/A,82888000,N/A,-36697000,0,0.6900000000000001,N/A,71221000,71221000,5418970000,0,71221000,984192000,11667000,71221000,309713000,0.7000000000000001,5336082000,5203591000,113194000,310790000,N/A,0,N/A,137017000,N/A,N/A,1490141000,N/A,608433000,5278491000,167251000,N/A,-132491000,1199571000,4219399000,612088000,2942000,N/A,372104000,N/A,312903000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5562,47162712,0.22136513027383434,1.3142903540709767,2.2553623188405796,0.021007378428589994,1.3113765308032563,73394612.4144,1.1994901539985667,1951760000,0.8819521951967344,2.0385236052681446,1.1608359466172913,0,14.07562011388862,0.103,N/A,763200612.4144001,0.14083868565694221,Healthcare,Drug Manufacturers - Specialty & Generic,22064,EQUITY,34335.9968,44.34%,1,0,0,0,1,0,0,0,0,0,1,1,0,1,83,88
FUSB,2952000,11685000,0,11685000,0,98491000,1001744000,98491000,1100235000,10854000,0,25042000,1100235000,0,1100235000,1001744000,7372000,-11609000,16180000,7372000,20417000,16180000,20417000,-11609000,673000,3517000,57785000,11500000,36511000,1335000,0,1.4,36793000,8733000,8733000,14854000,0,8733000,14181000,2767000,8733000,5855184,1.48,3354000,3354000,21274000,6165034,28810000,0,-282000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.65,5696171,0,58.792244513262425,9.75,0.7894399909636413,10.170919170279518,77752734.15,1.0983195307383922,1100235000,0.7937395192845165,8.866800012183855,7.986647766244456,NaN,24.06086956521739,0.952,N/A,-1011628265.85,-68.10477082604012,Financial Services,Banks - Regional,709,EQUITY,9677.85,10.26%,0,0,1,1,1,0,0,0,0,0,0,1,0,1,15,20
ICCH,10785124,14068718,0,12948574,0,73103488,159823927,73103488,232927415,15000000,0,3271851,232927415,0,232927415,159823927,13924862,-5377744,8346060,13924862,-201058,8346060,-201058,-5377744,8307550,N/A,N/A,8307550,N/A,232409,0,2.15,N/A,6420345,6420345,92541258,0,6420345,84233708,1887205,6420345,8882334,2.17,84233708,84233708,N/A,8942085,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.9,2962736,0,6.937819021219703,10.651162790697674,0.9280905228489235,2.1862695115176995,67846654.39999999,1.4574001488525556,232927415,2.7563715503389754,8.782542633259851,7.2872767534470375,NaN,22.716745610920185,0.3,N/A,-150080760.60000002,-1.6217713465706294,Financial Services,Insurance - Specialty,9623,EQUITY,220366.69999999998,9.39%,0,0,0,0,1,0,0,0,0,0,0,1,0,1,13,16
AREN,0,3956000,0,3956000,0,-137479000,251536000,-137479000,37834000,102404000,76391000,196000,114225000,4106000,114225000,247430000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8054000,N/A,N/A,4818000,N/A,N/A,0,0.11,N/A,3956000,3956000,33555000,0,3956000,8939000,40000,4778000,37610058,0.11,28737000,28737000,3159000,37610058,N/A,0,N/A,4192000,34917000,N/A,243238000,N/A,N/A,76195000,N/A,N/A,-3236000,16993000,16562000,N/A,N/A,N/A,8034000,905000,N/A,N/A,N/A,N/A,N/A,-822000,2917000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.61,47465749,0.5064222917597974,11.789599165549099,14.636363636363637,-0.5565457675641428,0,76419855.89,0.15290789314149456,2917000,3.4633398993215145,0,0,0,0.8302200083022002,0.475,N/A,175906855.89,5.242344088511398,Communication Services,Internet Content & Information,18280,EQUITY,29430.800000000003,6.83%,1,1,1,0,1,0,0,0,0,0,1,0,0,1,8,14
DLHC,0,6361000,0,6361000,0,111440000,213569000,111440000,67574000,162218000,257435000,2189000,325009000,148881000,325009000,64688000,10757000,-1214000,320000,10757000,-9223000,320000,-9223000,-1214000,23719000,N/A,N/A,7091000,N/A,-2389000,0,0.44000000000000006,N/A,6361000,6361000,388869000,0,6361000,365150000,730000,6361000,42836000,0.45000000000000007,381778000,381778000,N/A,43902000,N/A,0,N/A,13291000,N/A,N/A,36274000,15123000,104207000,151039000,N/A,N/A,-16628000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.06,14386468,0,1.6357693722050357,11.499999999999998,0.6532262031586503,1.916448312993539,72795528.08,1.0446141479099678,67574000,1.9571765704949708,5.708004307250538,2.3244341477318406,NaN,10.294739811028064,1.398,N/A,167439528.07999998,0.4305808076241613,Industrials,Specialty Business Services,19294,EQUITY,97627.64,8.70%,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,14
SGA,0,4692000,0,4692000,0,165992000,57218000,165992000,48403000,5000000,174807000,52721000,223210000,38863000,223210000,18355000,11599000,-5238000,-11327000,11599000,-17688000,-11327000,-17688000,-5238000,4166000,N/A,N/A,6322000,N/A,-55000,113000,0.75,N/A,4579000,4692000,110669000,0,4692000,106503000,1630000,4692000,12100000,0.75,104347000,104347000,278000,12100000,N/A,113000,N/A,3347000,N/A,N/A,9410000,5598000,N/A,122086000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33863000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1685000,N/A,N/A,11.25,6263236,0,4.2396696455195215,15,0.4244867523736084,0.34470335919803363,70461405,2.637047126123672,48403000,2.102056359482102,2.826642247819172,2.7439880228314775,NaN,25.782980069598228,0.337,N/A,27058405,0.24449850454960287,Communication Services,Broadcasting,6220,EQUITY,69975,6.67%,0,0,0,0,1,0,1,0,0,0,0,1,0,1,8,12
QSIAW,0,-9848000,0,-9848000,0,75638000,9805000,75638000,79690000,N/A,5753000,3706000,85443000,0,85443000,8767000,-12510000,-145000,-12600000,-12510000,55000,-12600000,55000,-145000,-10650000,N/A,N/A,-9848000,N/A,N/A,0,-0.14,N/A,-9848000,-9848000,3295000,0,-9848000,12004000,0,-9848000,71934045,-0.14,13143000,13143000,N/A,71934045,N/A,0,N/A,2532000,72392000,7298000,5163000,1072000,N/A,2047000,N/A,5570000,N/A,1354000,1941000,N/A,N/A,N/A,6434000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.493001,N/A,0.4109256449165402,-298.8770864946889,0,NaN,0.1296306089531717,NaN,9.089768449868826,0,-11.525812529990755,-13.019910626933552,-13.019910626933552,411.3737075332349,0,,N/A,NaN,NaN,Healthcare,Medical Devices,6625,EQUITY,3266.131625,N/A,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4
MAYS,0,-187367,0,-187367,0,52924794,35569024,52924794,88493818,3547709,0,48177818,88493818,0,88493818,35569024,1479975,-206170,-48757,1479975,-1322562,-48757,-1322562,-206170,-516282,N/A,83640,-263367,-119199,N/A,0,-0.08000000000000002,-119199,-187367,-187367,21808592,0,-187367,22324874,-76000,-187367,6047340,-0.08000000000000002,22071959,22071959,N/A,6047340,N/A,0,0,N/A,85072183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,252915,N/A,N/A,N/A,N/A,N/A,20583781,1741093,N/A,N/A,N/A,3421635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,205771,N/A,N/A,N/A,N/A,N/A,37.3,N/A,0,-0.8591430386702635,0,NaN,0.6720673112114522,NaN,2.4879461972304893,0,-0.21172891421635803,-0.354024996299466,-0.33178447925355814,NaN,28.857070172041293,-0.069,N/A,NaN,NaN,Real Estate,Real Estate Services,182,EQUITY,6788.599999999999,N/A,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3
ASYS,45000,1229000,0,1179000,0,82442000,35334000,82442000,64267000,N/A,53509000,11076000,117776000,16374000,117776000,18960000,7738000,-1565000,-3819000,7738000,-9979000,-3806000,-9979000,-1565000,2544000,N/A,N/A,2546000,N/A,N/A,0,0.08000000000000008,N/A,1184000,1184000,100679000,0,1184000,34831000,1362000,1184000,42688000,0.08000000000000008,98133000,98133000,366000,42773000,N/A,0,N/A,6888000,38656000,25611000,9818000,2254000,N/A,42433000,N/A,N/A,N/A,37375000,63304000,33298000,-13000,N/A,1533000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.94,14289066,0.3712293526951996,1.1760148591066657,61.749999999999936,0.8562138963149851,0.42859222241090705,70587986.04,3.3896097046413503,0,1.0052981931802742,1.4361611799810776,1.4361611799810776,0,53.49567949725059,1.432,N/A,70587986.04,0.7011192606203877,Technology,Semiconductor Equipment & Materials,42729,EQUITY,211081.26,1.62%,1,0,0,0,0,0,1,0,0,0,1,1,0,1,-2,3
BAFN,1938000,1938000,0,1938000,0,102293000,1142806000,102293000,1245099000,N/A,0,N/A,1245099000,0,1245099000,1142806000,90919000,-111145000,3611000,90784000,23972000,3746000,23972000,-111145000,1535000,12272000,9833000,1535000,9449000,N/A,385000,0.18,6327000,752000,1137000,9449000,0,1137000,7914000,398000,1137000,4134169,0.18,7914000,7914000,384000,4134169,17064000,385000,3122000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,801000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,-135000,-135000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.46,4132986,0,12.033019367128798,102.55555555555556,0.7458469451477618,11.171888594527484,76294921.56,1.0895103805895314,1245099000,0.09131803977033151,1.1115130067551053,1.1115130067551053,NaN,25.928338762214985,0.932,N/A,-1168804078.44,-123.69606079373479,Financial Services,Banks - Regional,5156,EQUITY,95179.76000000001,0.98%,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-4,-1
