Ticker,equity,equity_attributable_to_noncontrolling_interest,accounts_payable,liabilities_and_equity,equity_attributable_to_parent,assets,other_noncurrent_liabilities,long_term_debt,liabilities,wages,current_assets,other_noncurrent_assets,noncurrent_liabilities,current_liabilities,other_current_liabilities,noncurrent_assets,fixed_assets,income_tax_expense_benefit,basic_average_shares,basic_earnings_per_share,costs_and_expenses,net_income_loss_attributable_to_noncontrolling_interest,operating_income_loss,interest_expense_operating,net_income_loss_available_to_common_stockholders_basic,participating_securities_distributed_and_undistributed_earnings_loss_basic,operating_expenses,benefits_costs_expenses,diluted_average_shares,income_loss_from_continuing_operations_before_tax,preferred_stock_dividends_and_other_adjustments,income_loss_before_equity_method_investments,cost_of_revenue,other_operating_expenses,net_income_loss_attributable_to_parent,income_loss_from_equity_method_investments,selling_general_and_administrative_expenses,revenues,diluted_earnings_per_share,net_income_loss,gross_profit,income_loss_from_continuing_operations_after_tax,net_cash_flow_from_financing_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow,net_cash_flow_from_investing_activities,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,other_comprehensive_income_loss_attributable_to_parent,interest_income_expense_operating_net,noninterest_expense,interest_income_expense_after_provision_for_losses,noninterest_income,interest_and_dividend_income_operating,provision_for_loan_lease_and_other_losses,undistributed_earnings_loss_allocated_to_participating_securities_basic,exchange_gains_losses,research_and_development,intangible_assets,other_current_assets,prepaid_expenses,nonoperating_income_loss,income_tax_expense_benefit_deferred,depreciation_and_amortization,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,inventory,accounts_receivable,redeemable_noncontrolling_interest,temporary_equity,cash,net_cash_flow_discontinued,net_cash_flow_from_operating_activities_discontinued,income_loss_from_discontinued_operations_net_of_tax,interest_payable,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
NCSM,114110000,18071000,7512000,145843000,96039000,145843000,N/A,N/A,31733000,N/A,99453000,42485000,9624000,22109000,14597000,46390000,N/A,777000,2539000,17.29,107757000,1506000,-167000,N/A,42761000,0,66100000,107757000,2575000,45044000,0,N/A,N/A,7590000,42761000,N/A,56010000,152801000,17.27,44267000,N/A,44267000,-3640000,3760000,8302000,3760000,-902000,-902000,8302000,-3640000,1506000,-47000,42714000,44220000,N/A,N/A,N/A,N/A,N/A,N/A,94000,N/A,N/A,N/A,3905000,58254000,N/A,45211000,8000,N/A,N/A,41199000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.93,2502812,0,28.97036014162211,1.5593514765489287,0.5906645093330997,0.27809131539742354,67400727.16,4.498303858157311,0,30.35250234841576,38.79326965209009,38.79326965209009,NaN,1.7249800195364533,1.058,N/A,67400727.16,0.4411013485513838,Energy,Oil & Gas Equipment & Services,3679,EQUITY,99075.47,64.13%,0,0,1,1,1,0,1,1,1,1,0,0,0,1,123,131
ENTX,6452000,0,184000,7741000,6452000,7741000,N/A,N/A,1289000,N/A,7340000,336000,178000,1111000,927000,401000,65000,0,37359150,0.26,N/A,0,-9211000,N/A,-9178000,0,9220000,N/A,37359150,-9178000,0,N/A,90000,4922000,-9178000,N/A,N/A,99000,0.26,-9178000,9000,-9178000,7290000,3409000,-7968000,3409000,4087000,4087000,-7968000,7290000,0,0,-9178000,-9178000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4298000,N/A,7193000,147000,33000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.85,36832220,0.09090909090909091,-9270.70707070707,7.115384615384616,10.561005424674521,0.19978301301921886,68139607,6.606660666066607,147000,-118.56349308874823,-142.25046497210167,-142.25046497210167,47755.555555555555,0,1.628,N/A,67992607,686.7940101010101,Healthcare,Biotechnology,119258,EQUITY,220627.30000000002,14.05%,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,25
VTSI,46150037,0,1121558,66068377,46150037,66068377,N/A,N/A,19918340,1906302,44942232,4774712,10960585,8957755,5929895,21126145,16351433,762662,11016045,0.53,25213929,0,5851457,N/A,5795056,0,19042656,25213929,11016405,6557718,0,N/A,6877534,15940358,5795056,N/A,N/A,31771647,0.53,5795056,24894113,5795056,-210671,2467276,4986134,2467276,-2308187,-2308187,4986134,-210671,0,0,5795056,5795056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3102298,N/A,31030284,N/A,706261,N/A,N/A,N/A,13911948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.02,11251425,0.7835323425316919,18.2397091343738,11.358490566037734,1.4676819977414102,0.4315996539721084,67733578.5,5.017131189678664,0,8.771300678386575,12.55699101606354,12.55699101606354,12.461974443516024,11.629990798628425,0.55,N/A,67733578.5,2.1318875442623417,Technology,Software - Application,43823,EQUITY,263814.45999999996,8.80%,1,1,1,0,1,0,1,0,0,0,1,0,0,1,12,19
MSW,541757000,400310000,N/A,915136000,141447000,915136000,N/A,N/A,373379000,N/A,915136000,N/A,0,373379000,N/A,0,N/A,N/A,22690169,0.52,67637000,42963000,51200000,19178000,11665000,0,48638000,67637000,23331548,32201000,0,31990000,N/A,24694000,11665000,211000,N/A,99838000,0.5,54628000,N/A,32201000,-93287000,26576000,57579000,26576000,62284000,62284000,57579000,-93287000,0,0,54628000,54628000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23944000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22427000,N/A,-163000,5.07,12975000,0,54.716640958352535,10.14,0.12142574992109008,0.6892001395459588,65783250,2.45095733825416,915136000,5.969385971046926,10.083487615296157,5.943808755585992,NaN,0,,N/A,-849352750,-8.507309341132634,Industrials,Engineering & Construction,200825,EQUITY,1018182.75,9.86%,0,0,1,1,1,0,1,0,0,0,0,0,0,0,14,18
LOAN,43270919,0,N/A,70702003,43270919,70702003,N/A,N/A,27431084,N/A,70702003,N/A,0,27431084,N/A,0,N/A,N/A,11431266,0.49,4261242,0,5615719,N/A,5633069,0,4279242,4261242,11431266,5633719,0,N/A,N/A,N/A,5633069,N/A,N/A,9894961,0.49,5633069,N/A,5633069,-7557486,34716,5476619,34716,2115583,2115583,5476619,-7557486,0,0,5633069,5633069,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.58,11438651,0,56.92866298310827,11.387755102040817,1.4750708802833608,0.6339380959299709,63827672.58,2.577441088365301,70702003,7.967340048343467,13.01814042821693,13.01814042821693,NaN,0,,N/A,-6874330.420000002,-0.6947304208677529,Real Estate,REIT - Mortgage,7541,EQUITY,42078.78,8.78%,0,0,1,1,1,0,1,0,0,0,0,0,0,1,12,17
WFCF,9933000,0,468000,15306000,9933000,15306000,N/A,N/A,5373000,408000,5545000,7214000,2194000,3179000,2303000,9761000,737000,859000,5318000,0.4,22767000,0,2207000,4000,2120000,0,8355000,22767000,5334000,2979000,0,N/A,15184000,N/A,2120000,N/A,8355000,25746000,0.4,2120000,10562000,2120000,-3200000,-629000,2730000,-629000,-159000,-159000,2730000,-3200000,0,0,2120000,2120000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1810000,4543000,N/A,772000,90000,647000,N/A,1002000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.39,5233142,0.4102384836479453,8.234288821564514,30.975,6.527597843551797,0.5409241920869828,64838629.38,1.7442592010066058,0,13.850777472886449,21.342998087184135,21.342998087184135,0,28.8351795904666,,N/A,64838629.38,2.5183962316476345,Industrials,Specialty Business Services,3432,EQUITY,42522.48,3.23%,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,9
BYFC,286591000,199000,N/A,1373055000,286392000,1373055000,N/A,N/A,1086464000,N/A,1373055000,N/A,0,1086464000,N/A,0,9467000,1477000,8257801,0.29000000000000004,-4568000,9000,4720000,24030000,2358000,912000,-4568000,-4568000,8428552,4720000,876000,N/A,N/A,N/A,3234000,N/A,N/A,152000,0.28,3243000,N/A,3243000,119024000,85592000,7806000,85592000,-41238000,-41238000,7806000,119024000,0,9222000,12465000,12465000,10048000,30919000,30393000,29641000,5472000,59065000,1412000,36000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.59,9120363,0,2133.552631578947,27.107142857142854,0.24154127369666178,3.790991343063809,69223555.17,1.2637832454641846,1373055000,0.23618864502878617,1.1315777536628855,1.1315777536628855,NaN,31.292372881355934,0.728,N/A,-1303831444.83,-8577.838452828946,Financial Services,Banks - Regional,1663,EQUITY,12622.17,3.69%,0,0,1,1,1,0,0,0,0,0,0,1,1,1,2,8
PED,106536000,0,1288000,114309000,106536000,114309000,N/A,N/A,7773000,N/A,10985000,N/A,2547000,5226000,3938000,103324000,N/A,N/A,89220751,0.020000000000000004,33816000,0,1903000,N/A,2348000,0,30283000,0,89220751,19246000,0,N/A,N/A,10926000,2348000,N/A,6111000,35719000,0.020000000000000004,2348000,N/A,2348000,9583000,0,20603000,0,-30186000,-30186000,20603000,9583000,0,0,2348000,2348000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10745000,N/A,N/A,N/A,13246000,N/A,N/A,240000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76,89495267,0,6.573532293737226,37.99999999999999,0.6384358613050988,0.07296125253435458,68016402.92,2.101990049751244,0,2.054081480898267,2.2039498385522265,2.2039498385522265,NaN,0,0.351,N/A,68016402.92,1.9042079263137266,Energy,Oil & Gas E&P,45556,EQUITY,34622.56,2.63%,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
BBLGW,3483657,0,N/A,3861369,3483657,3861369,N/A,N/A,377712,N/A,3861369,N/A,0,377712,N/A,0,N/A,N/A,1517235,-4.83,N/A,0,-4219161,N/A,-7324924,3212504,4219161,N/A,1517235,-4112420,3212504,N/A,N/A,2088776,-4112420,N/A,N/A,0,-4.83,-4112420,N/A,-4112420,4423497,0,-4124935,0,-298562,-298562,-4124935,4423497,0,0,-4112420,-4112420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2130385,N/A,3851369,10000,106741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.2,N/A,0,-Infinity,0,NaN,0.1084239923735316,NaN,10.223050895920702,10000,-106.50160603661551,-118.04893535729839,-118.04893535729839,Infinity,0,,N/A,NaN,N/A,Healthcare,Medical Devices,47,EQUITY,949.4,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
HOUR,6688925,0,15453334,32404374,6688925,32404374,N/A,N/A,25715449,N/A,31583160,741133,4170418,21545031,5919981,821214,80081,217751,35130677,0.01,30388100,0,721843,N/A,469647,0,16317468,30388100,35130677,687398,0,N/A,14036187,16289764,469647,N/A,N/A,31075498,0.01,469647,17039311,469647,2181498,0,-2181060,0,-438,-438,-2181060,2181498,0,485613,485613,485613,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2501854,N/A,-34445,165573,27704,N/A,29081306,N/A,N/A,N/A,N/A,N/A,N/A,N/A,171716,N/A,1.86,35143460,0.5483198048829339,1.5113096498083474,186,9.772397747022131,3.8444815871010665,65366835.6,1.465913880560209,0,1.4493321179418557,7.021262758963511,7.021262758963511,0,31.677572527124028,,N/A,65366835.6,2.103484732569692,Consumer Cyclical,Internet Retail,39543,EQUITY,73549.98000000001,0.54%,1,1,0,0,0,0,0,0,0,0,1,1,0,1,-4,1
