Ticker,operating_expenses,interest_expense_operating,net_income_loss_attributable_to_noncontrolling_interest,research_and_development,diluted_earnings_per_share,diluted_average_shares,preferred_stock_dividends_and_other_adjustments,income_tax_expense_benefit_deferred,income_tax_expense_benefit,depreciation_and_amortization,net_income_loss,income_tax_expense_benefit_current,nonoperating_income_loss,income_loss_from_continuing_operations_after_tax,net_income_loss_available_to_common_stockholders_basic,operating_income_loss,benefits_costs_expenses,basic_earnings_per_share,costs_and_expenses,income_loss_from_continuing_operations_before_tax,basic_average_shares,participating_securities_distributed_and_undistributed_earnings_loss_basic,cost_of_revenue,gross_profit,other_operating_expenses,revenues,net_income_loss_attributable_to_parent,selling_general_and_administrative_expenses,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_continuing,net_cash_flow_from_financing_activities,net_cash_flow,net_cash_flow_from_investing_activities,net_cash_flow_from_investing_activities_continuing,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,current_assets,equity,liabilities_and_equity,fixed_assets,current_liabilities,long_term_debt,intangible_assets,accounts_payable,liabilities,commitments_and_contingencies,prepaid_expenses,equity_attributable_to_noncontrolling_interest,other_noncurrent_liabilities,other_noncurrent_assets,other_current_assets,other_current_liabilities,noncurrent_liabilities,equity_attributable_to_parent,assets,noncurrent_assets,inventory,income_loss_before_equity_method_investments,common_stock_dividends,income_loss_from_equity_method_investments,cash,accounts_receivable,wages,other_comprehensive_income_loss_attributable_to_parent,interest_income_expense_after_provision_for_losses,provision_for_loan_lease_and_other_losses,interest_and_dividend_income_operating,noninterest_income,noninterest_expense,exchange_gains_losses,interest_income_expense_operating_net,net_cash_flow_discontinued,net_cash_flow_from_operating_activities_discontinued,income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_loss_from_discontinued_operations_net_of_tax,net_income_loss_attributable_to_redeemable_noncontrolling_interest,redeemable_noncontrolling_interest,temporary_equity,temporary_equity_attributable_to_parent,other_operating_income_expenses,noncurrent_prepaid_expenses,undistributed_earnings_loss_allocated_to_participating_securities_basic,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
ALGS,100585000,N/A,0,76496000,29.970000000000006,381606670,0,N/A,274000,N/A,-76953000,N/A,N/A,-76953000,-76953000,-94588000,80356000,29.970000000000006,80356000,-76679000,381403161,0,N/A,N/A,24089000,3677000,-76953000,N/A,-84998000,88194000,-84998000,-35062000,88194000,-35062000,-38258000,-38258000,0,-76873000,-76873000,-76873000,79822000,50096000,88426000,2575000,20956000,N/A,N/A,2740000,38330000,N/A,N/A,0,N/A,6029000,4922000,13809000,17374000,50096000,88426000,8604000,N/A,N/A,N/A,N/A,74900000,N/A,4407000,80000,3000000,0,N/A,N/A,N/A,N/A,3000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.87,3587892,0,-2092.8202338863207,0.5628962295628962,1.2082349496965825,0.7651309485787289,60527738.04000001,3.8090284405420882,74900000,-87.02530929817021,-153.61106675183646,-153.61106675183646,Infinity,-0.3573338202115312,2.524,N/A,-14372261.959999993,-3.9086924014141946,Healthcare,Biotechnology,98667,EQUITY,1664512.29,177.65%,0,0,0,0,1,0,1,0,0,0,0,0,0,0,350,352
TMCWW,24784000,N/A,0,N/A,0.08,311521854,0,N/A,N/A,N/A,-25194000,N/A,N/A,-25194000,-25194000,-24682000,25296000,0.08,25296000,-25194000,311521854,0,N/A,N/A,N/A,102000,-25194000,N/A,-11852000,9048000,-11852000,-3144000,9048000,-2851000,-340000,-340000,0,-25194000,-25194000,0,5944000,1810000,65455000,1048000,36470000,N/A,1718000,N/A,63645000,N/A,N/A,0,N/A,56745000,N/A,N/A,0,1810000,65455000,59511000,N/A,-25272000,N/A,78000,N/A,N/A,N/A,N/A,102000,0,N/A,N/A,N/A,293000,102000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.192251,N/A,0,-24700,2.4031375,NaN,35.16298342541437,NaN,0.16298327392377296,5944000,-38.49056603773585,-1391.9337016574586,-1391.9337016574586,NaN,0,,N/A,NaN,NaN,Basic Materials,Other Industrial Metals & Mining,18666,EQUITY,3588.557166,41.61%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,79
RAND,6227365,N/A,0,N/A,4.9799999999999995,5162042,0,-233678,-46453,N/A,12862649,N/A,N/A,12862649,12862649,-4102789,-355291,4.9799999999999995,1693755,2297233,5162042,0,N/A,N/A,N/A,2124576,12862649,N/A,13491252,-13618290,13491252,0,-13618290,0,127038,127038,0,12862649,12862649,0,79798119,70446636,79798119,N/A,9351483,N/A,N/A,N/A,9351483,N/A,N/A,0,N/A,N/A,N/A,N/A,0,70446636,79798119,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.45,2963890,0,605.4219288931062,4.508032128514056,0.9445352436701164,0.1327456289041254,66539330.5,8.533204733409663,79798119,16.118987716991175,18.25871287878104,18.25871287878104,NaN,-2.0221283605102314,0.352,N/A,-13258788.5,-6.240675080580784,Financial Services,Asset Management,23028,EQUITY,516978.6,22.18%,0,0,1,1,1,0,1,0,1,1,0,0,0,1,39,46
RGC,2891300000,N/A,0,N/A,0.72,156986000,0,-600000,101600000,N/A,112300000,N/A,-57800000,112300000,112300000,271700000,2949100000,0.72,2891300000,213900000,156336000,0,N/A,N/A,N/A,3163000000,112300000,N/A,409900000,-17000000,409900000,-17700000,-17000000,-17700000,-410600000,-410600000,0,116100000,116100000,3800000,463300000,-855800000,2842900000,1513200000,561400000,N/A,43600000,232200000,3698700000,N/A,N/A,100000,N/A,822800000,256400000,329200000,3137300000,-855900000,2842900000,2379600000,22900000,189800000,N/A,24100000,N/A,184000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,224700000,N/A,N/A,4.6,13012866,0,3.5504268099905154,6.388888888888888,-0.06994529516242112,0,59859183.599999994,0.825258282864268,0,3.9501917056526787,0,0,NaN,47.49883122954652,-0.624,N/A,59859183.599999994,0.018924813025608597,Healthcare,Drug Manufacturers - Specialty & Generic,15962,EQUITY,73425.2,15.65%,0,0,0,0,1,0,0,0,0,0,0,1,0,1,26,29
BOTJ,-6016000,N/A,0,N/A,1.8599999999999999,4536923,0,N/A,1471000,N/A,8434000,N/A,N/A,8434000,8434000,9905000,-6016000,1.8599999999999999,-6016000,9905000,4536923,0,N/A,N/A,N/A,3889000,8434000,N/A,10146000,24702000,10146000,9678000,24702000,9678000,-25170000,-25170000,0,20430000,20430000,20430000,1008063000,68834000,1008063000,19378000,939229000,N/A,N/A,N/A,939229000,N/A,N/A,0,N/A,N/A,N/A,N/A,0,68834000,1008063000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11996000,29424000,-485000,43545000,14499000,34018000,N/A,28939000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.13,4543338,0,216.8680894831576,7.059139784946238,0.8666360801348172,13.644841212191649,59654027.940000005,1.0732877711399456,1008063000,0.8366540583277037,12.25266583374495,12.25266583374495,NaN,14.85108531044927,0.782,N/A,-948408972.06,-243.86962511185394,Financial Services,Banks - Regional,11823,EQUITY,155235.99000000002,14.17%,0,0,1,1,1,0,0,0,0,0,0,1,1,1,23,29
SELF,9539702,902478,0,N/A,0.28,22283016,35084,N/A,N/A,1634710,3136737,N/A,N/A,3136737,3101653,2780022,9182987,0.27999999999999997,9182987,5155356,22186315,70168,N/A,N/A,7904992,12319724,3136737,N/A,4182749,-4064235,4182749,21659,-4064235,21659,-96855,-96855,0,3136737,3136737,0,66275467,48061216,66275467,N/A,18214251,N/A,N/A,N/A,18214251,N/A,N/A,0,N/A,N/A,N/A,N/A,0,48061216,66275467,0,N/A,N/A,0.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35101,5.225,11269795,0,25.461097992130345,18.66071428571428,1.2252016027850812,0.3789802363718804,58884678.87499999,3.6386600250540084,66275467,4.732878004465816,6.526545229317544,6.526545229317544,NaN,0,0.292,N/A,-7390788.125000007,-0.599915073178588,Real Estate,REIT - Specialty,12205,EQUITY,63771.12499999999,5.36%,0,0,1,1,0,0,1,0,0,0,0,0,0,1,5,9
AIRJW,N/A,N/A,0,N/A,N/A,N/A,0,-1268295,-1268295,2136,35016858,N/A,36125418,35016858,35016858,-2376855,N/A,N/A,N/A,33748563,N/A,0,N/A,N/A,N/A,N/A,35016858,N/A,-3984663,33073,-3984663,-3961067,33073,-3961067,-9477,-9477,0,35016858,35016858,0,33597497,265701337,374393453,15426,4501025,N/A,N/A,567944,108692116,N/A,N/A,0,N/A,340780530,N/A,3933081,104191091,265701337,374393453,340795956,N/A,36085117,N/A,-2336554,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.11,N/A,0,Infinity,0,NaN,0.40907628552881536,NaN,7.464410217672641,33597497,9.352956821069197,13.179029656143582,13.179029656143582,NaN,-3.758071121428192,,N/A,NaN,N/A,Industrials,Building Products & Equipment,773,EQUITY,858.0300000000001,N/A,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,4
TBLAW,508301000,N/A,0,142438000,-0.01,N/A,0,-9318000,17697000,100928000,-3760000,27015000,N/A,-3760000,-3760000,25917000,1752283000,-0.01,1752283000,13937000,N/A,0,1232002000,534218000,264935000,1766220000,-3760000,N/A,184331000,-99983000,184331000,54239000,-99983000,50475000,-30109000,-30109000,0,-4284000,-4284000,-4284000,656001000,1051906000,1718658000,69388000,485582000,N/A,65067000,N/A,666752000,N/A,38185000,0,N/A,903009000,617816000,N/A,181170000,1051906000,1718658000,1062657000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-524000,N/A,N/A,N/A,N/A,N/A,-3764000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25193000,N/A,0.1755,N/A,0.30246401920485555,-0.2128840121842126,0,NaN,0.6338513137105407,NaN,1.3509582315654205,38185000,-0.21877534681129115,-0.3574463877951072,-0.3574463877951072,26.662897918078386,126.9785463155629,,N/A,NaN,NaN,Communication Services,Internet Content & Information,40765,EQUITY,7154.2575,N/A,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4
OABIW,100237000,N/A,0,56570000,-0.62,101700000,0,N/A,-13198000,N/A,-63018000,N/A,3612000,-63018000,-63018000,-79828000,96625000,-0.62,96625000,-76216000,101700000,0,N/A,N/A,43667000,20409000,-63018000,N/A,-44913000,8675000,-44913000,5991000,8675000,5991000,42229000,42229000,0,-62920000,-62920000,-62920000,66609000,291728000,331554000,16333000,14402000,N/A,144119000,2187000,39826000,N/A,N/A,0,N/A,104493000,N/A,7577000,25424000,291728000,331554000,264945000,N/A,N/A,N/A,N/A,N/A,N/A,4638000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.511,N/A,0,-308.7755402028517,0,NaN,0.13651757801787967,NaN,4.62498264129982,66609000,-19.006858611266946,-21.601628914605385,-21.601628914605385,Infinity,17.316573947727512,,N/A,NaN,NaN,Healthcare,Biotechnology,13529,EQUITY,6913.319,N/A,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3
CCEL,20558070,1864684,0,1242536,0.05,8212510,0,-309000,2402026,483522,402095,2711000,-676163,402095,402095,3480284,29181985,0.05,28505822,2804121,8130676,0,7947752,24038354,310794,31986106,402095,18521218,6010910,-979118,6010910,154893,-979118,154893,-4876899,-4876899,0,402095,402095,0,12554593,-13216017,64677633,21894263,21599542,8480533,921254,1882274,77893650,0,637055,0,47813575,29307523,11259835,19717268,56294108,-13216017,64677633,52123040,657703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,8062159,0.75152486520241,1.2570926889318756,158,-4.819232307282898,0,63691056.1,0.5812434819219778,637055,0.6216909638607213,0,0,5.168972883917093,85.66056885562357,,N/A,71534534.1,2.236425218499557,Healthcare,Medical Care Facilities,29540,EQUITY,233366,0.63%,1,1,0,0,1,0,0,0,0,0,1,1,0,1,-4,2
