Ticker,net_cash_flow_from_financing_activities,net_cash_flow,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_financing_activities_continuing,noncurrent_assets,other_current_assets,other_noncurrent_assets,equity,other_current_liabilities,fixed_assets,noncurrent_liabilities,prepaid_expenses,equity_attributable_to_parent,assets,equity_attributable_to_noncontrolling_interest,current_liabilities,liabilities,liabilities_and_equity,current_assets,accounts_payable,cash,wages,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,research_and_development,income_loss_from_continuing_operations_after_tax,income_loss_from_continuing_operations_before_tax,net_income_loss_attributable_to_noncontrolling_interest,other_operating_expenses,diluted_average_shares,diluted_earnings_per_share,operating_expenses,net_income_loss_available_to_common_stockholders_basic,revenues,net_income_loss_attributable_to_parent,net_income_loss,operating_income_loss,basic_earnings_per_share,basic_average_shares,participating_securities_distributed_and_undistributed_earnings_loss_basic,preferred_stock_dividends_and_other_adjustments,income_tax_expense_benefit,income_tax_expense_benefit_deferred,benefits_costs_expenses,gross_profit,costs_and_expenses,income_tax_expense_benefit_current,undistributed_earnings_loss_allocated_to_participating_securities_basic,cost_of_revenue,exchange_gains_losses,other_noncurrent_liabilities,inventory,long_term_debt,interest_expense_operating,selling_general_and_administrative_expenses,provision_for_loan_lease_and_other_losses,noninterest_expense,noninterest_income,interest_income_expense_operating_net,interest_and_dividend_income_operating,interest_income_expense_after_provision_for_losses,depreciation_and_amortization,nonoperating_income_loss,income_loss_before_equity_method_investments,income_loss_from_equity_method_investments,intangible_assets,other_comprehensive_income_loss_attributable_to_parent,income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_loss_from_discontinued_operations_net_of_tax,temporary_equity,redeemable_noncontrolling_interest,temporary_equity_attributable_to_parent,interest_and_debt_expense,common_stock_dividends,accounts_receivable,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
HPKEW,-137237000,-16234000,785520000,-664517000,785520000,-664517000,-16234000,-137237000,2812719000,236860000,2809236000,1605690000,N/A,3483000,1196148000,3921000,1605690000,3061466000,0,259628000,1455776000,3061466000,248747000,N/A,N/A,N/A,0,0,181092000,181092000,N/A,181092000,240731000,0,746204000,132070000,1.28,765241000,163335000,1135761000,181092000,181092000,370520000,1.3199999999999998,128387000,17757000,17757000,59639000,58551000,895030000,N/A,761616000,1088000,N/A,N/A,N/A,122323000,7966000,1073825000,173827000,19037000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.15,N/A,0,15.944551714665323,1.6796875,NaN,0.9066357765197516,NaN,0.9580900365137812,3921000,5.915205329734186,11.278142107131513,6.758387245453001,NaN,24.774125476153884,,N/A,NaN,NaN,Energy,Oil & Gas E&P,701,EQUITY,1507.1499999999999,59.53%,0,0,1,0,0,0,0,0,0,0,0,1,0,1,114,117
CNFRZ,-15752000,22230000,-4004000,41986000,-10726000,49170000,22692000,-15752000,0,N/A,N/A,49051000,N/A,N/A,0,N/A,49051000,299852000,0,250801000,250801000,299852000,299852000,N/A,N/A,N/A,3436000,0,56726000,56726000,N/A,-6886000,-8253000,502000,N/A,12222881,4.32,3594000,52788000,16017000,52788000,53290000,-7333000,4.32,12222881,0,0,-1367000,N/A,24270000,N/A,24270000,N/A,N/A,N/A,N/A,N/A,N/A,16473000,2275000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60176000,N/A,N/A,N/A,N/A,N/A,N/A,21.54,N/A,0,332.70899669101584,4.986111111111111,NaN,5.113065992538378,NaN,1.1955773701061798,299852000,17.7721009031122,108.6420256467758,-10.509126426958062,NaN,16.563673815582213,,N/A,NaN,NaN,N/A,N/A,95,EQUITY,2046.3,20.06%,0,0,1,1,0,0,0,0,1,0,0,1,0,1,35,40
HBB,-20948000,30145000,65415000,-13884000,65415000,-13884000,30583000,-20948000,111348000,178815000,76947000,165903000,49959000,34401000,95044000,N/A,165903000,415067000,0,154120000,249164000,415067000,303719000,104161000,N/A,N/A,32849000,0,32849000,32849000,13700000,30759000,33376000,0,N/A,13963000,2.2,127005000,30759000,654693000,30759000,30759000,43202000,2.2,13950000,0,0,2617000,-7269000,621317000,170207000,621317000,9886000,N/A,484486000,-438000,45044000,124904000,50000000,N/A,126703000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2090000,N/A,N/A,N/A,N/A,N/A,N/A,0.455,N/A,19.49,13515108,0.259979868426881,4.6982326067332325,8.859090909090908,1.587731716243829,1.5018655479406642,263409454.92,1.9706657150272515,0,7.4106108170488145,18.540351892370843,14.246675590427182,8.04902266064263,7.840963566634708,0.698,N/A,313409454.91999996,0.47871209088840105,Consumer Cyclical,"Furnishings, Fixtures & Appliances",14579,EQUITY,284144.70999999996,11.29%,1,0,0,0,1,0,1,0,1,0,1,0,1,1,17,24
PLBC,8563000,27392000,22747000,-3918000,22747000,-3918000,27392000,8563000,0,N/A,N/A,181942000,N/A,12703000,0,N/A,181942000,1663974000,0,1482032000,1482032000,1663974000,1663974000,N/A,N/A,N/A,38948000,0,67339000,67339000,N/A,28391000,38490000,0,N/A,11916000,4.77,36275000,28391000,74765000,28391000,28391000,38490000,4.82,11790000,0,0,10099000,N/A,36275000,N/A,36275000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1325000,41383000,8921000,72398000,82588000,70952000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.96,5897000,0,37.97365077242025,9.635220125786164,1.4896292224994778,8.14562882676897,271026120,1.1227652304403684,1663974000,1.7062165634799582,15.604423387672995,15.604423387672995,NaN,26.23798389191998,0.716,N/A,-1392947880,-18.631015582157428,Financial Services,Banks - Regional,6909,EQUITY,317537.64,10.38%,0,0,1,1,1,0,0,0,1,1,0,1,1,1,15,23
DENN,-6009000,-3195000,29487000,-26673000,29487000,-26673000,-3195000,-6009000,456281000,13813000,253125000,-34025000,60179000,111417000,434701000,N/A,-34025000,496274000,0,95598000,530299000,496274000,39993000,19985000,N/A,15434000,31191000,0,31191000,31191000,N/A,21571000,29249000,0,N/A,52614000,0.41,97048000,21571000,452334000,21571000,21571000,45316000,0.41,52499000,0,0,7678000,N/A,423085000,437330000,407018000,N/A,N/A,15004000,N/A,N/A,1747000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91739000,9620000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24433000,4.97,51611066,0.9668298204424165,4.768821269239102,12.121951219512196,-7.5387802504041135,0,256506998.01999998,0.41834557208309797,0,4.3465907946013695,0,0,0,26.250470101541936,2.087,N/A,256506998.01999998,0.5670743256531677,Consumer Cyclical,Restaurants,1197004,EQUITY,5949109.88,8.25%,1,1,0,0,1,0,0,0,0,0,1,1,0,0,11,16
INBK,610869000,191274000,31451000,-451046000,31451000,-451046000,191274000,610869000,0,N/A,N/A,385129000,N/A,72150000,0,N/A,385129000,5823259000,0,5438130000,5438130000,5823259000,5823259000,N/A,N/A,N/A,16871000,0,38960000,38960000,N/A,22089000,22771000,0,N/A,8707686,2.5199999999999996,257617000,22089000,280388000,22089000,22089000,22771000,2.54,8636330,0,0,682000,N/A,257617000,N/A,257617000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,165001000,N/A,13463000,86209000,38810000,83633000,280388000,70170000,N/A,N/A,N/A,N/A,N/A,16871000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.67,8667894,0,7.878011897798764,11.773809523809527,0.6677669429723547,14.120281775716707,257176414.98000002,1.0708201164738613,5823259000,0.37932367425182356,5.735480838887749,5.735480838887749,NaN,2.995037547758113,0.734,N/A,-5566082585.02,-19.85135806461047,Financial Services,Banks - Regional,15200,EQUITY,450984,8.49%,0,0,0,0,1,0,0,0,0,0,0,0,1,1,11,14
CFFI,100579000,-9573000,38488000,-148640000,38488000,-148640000,-9573000,100579000,0,N/A,N/A,226970000,N/A,40118000,0,N/A,226360000,2563374000,610000,2336404000,2336404000,2563374000,2563374000,N/A,N/A,N/A,2083000,84000,21917000,22001000,N/A,19918000,24133000,84000,99323000,3299574,6.01,103180000,19834000,127313000,19834000,19918000,24133000,6.01,3299574,0,0,4215000,474000,103180000,N/A,103180000,3741000,N/A,N/A,N/A,N/A,N/A,N/A,3429000,N/A,13250000,89930000,30538000,96775000,139594000,83525000,3857000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.7,3232561,0,15.644906647396573,13.261231281198004,1.1351064532757633,10.293889060228224,257635111.70000002,1.097145014304033,2563374000,0.7770227832536337,8.7756091113363,8.7756091113363,NaN,17.46571085235984,0.347,N/A,-2305738888.3,-18.11078906553141,Financial Services,Banks - Regional,3443,EQUITY,274407.10000000003,7.54%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,10,14
NATR,-13920000,2668000,22712000,-10024000,22712000,-10024000,-1232000,-13920000,81804000,101231000,39810000,162617000,58275000,41994000,15566000,N/A,156528000,245333000,6089000,67150000,82716000,245333000,163529000,8875000,N/A,N/A,1658000,1340000,18286000,19626000,N/A,17968000,24638000,989000,134944000,19131000,0.88,296694000,16979000,445095000,16979000,17968000,21253000,0.9,18634000,0,0,6670000,-5043000,420457000,317947000,420457000,N/A,N/A,127148000,3900000,N/A,62298000,N/A,N/A,160150000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.57,N/A,0.7143351419359912,4.036891000797582,16.556818181818183,NaN,0.5086553066407571,NaN,2.4352792256142965,0,7.32392299446059,11.049275291021234,11.049275291021234,0,27.07200259761344,0.902,N/A,NaN,NaN,Consumer Defensive,Packaged Foods,13856,EQUITY,201881.92,6.04%,1,1,0,0,0,0,1,0,0,0,1,1,0,1,7,13
FINW,101353000,-41003000,-5920000,-136436000,-5920000,-136436000,-41003000,101353000,0,N/A,N/A,170370000,N/A,17099000,0,N/A,170370000,683031000,0,512661000,512661000,683031000,683031000,N/A,N/A,N/A,-12961000,0,14448000,14448000,N/A,14106000,19110000,0,48812000,39309963,1.06,53933000,13760000,73043000,14106000,14106000,19110000,1.1099999999999999,37712151,692000,346000,5004000,N/A,53933000,N/A,53933000,N/A,346000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10905000,49873000,22137000,57751000,73043000,46846000,5121000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.83,13211640,0,19.311912161329627,18.707547169811317,1.5377520760697303,3.0091037154428597,261986821.2,1.3323248696507048,683031000,2.0652064108364043,8.279626694840642,8.279626694840642,NaN,26.185243328100473,0.787,N/A,-421044178.8,-5.7643330476568595,Financial Services,Banks - Regional,15840,EQUITY,314107.19999999995,5.35%,0,0,1,0,0,0,0,0,0,0,0,1,1,1,5,9
OSUR,-4420000,61232000,68631000,-2979000,68631000,-2979000,61232000,-4420000,113934000,308243000,75791000,425565000,8883000,38143000,10736000,3038000,425565000,464085000,0,27784000,38520000,464085000,350151000,9581000,N/A,9320000,-34227000,0,11539000,15229000,26951000,11978000,14226000,0,85933000,222881000,0.14999999999999997,112884000,11367000,224263000,11367000,11367000,-11934000,0.14999999999999997,222739000,0,0,1688000,757000,210037000,100950000,210037000,N/A,N/A,123313000,N/A,N/A,38870000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,172000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,74594154,0.45014112894235786,5.068602489041884,23.200000000000006,0.6099835651898065,0.09051496246166861,259587655.92,12.60261301468471,3038000,2.4493357897798895,2.671037326847838,2.8146111639820006,26.697374938088164,11.865598200477997,-0.023,N/A,256549655.92,1.1439678231362285,Healthcare,Medical Instruments & Supplies,526510,EQUITY,1832254.8,4.31%,1,1,0,0,1,0,1,0,0,0,1,0,0,0,3,8
