Ticker,comprehensive_income_loss,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_noncontrolling_interest,net_cash_flow,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_investing_activities,costs_and_expenses,net_income_loss_attributable_to_noncontrolling_interest,basic_earnings_per_share,net_income_loss_available_to_common_stockholders_basic,selling_general_and_administrative_expenses,benefits_costs_expenses,other_operating_expenses,income_loss_from_continuing_operations_after_tax,revenues,gross_profit,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss,operating_income_loss,income_tax_expense_benefit_deferred,diluted_earnings_per_share,cost_of_revenue,preferred_stock_dividends_and_other_adjustments,net_income_loss_attributable_to_parent,operating_expenses,income_tax_expense_benefit,income_loss_from_continuing_operations_before_tax,liabilities_and_equity,other_noncurrent_assets,other_current_liabilities,noncurrent_assets,equity,equity_attributable_to_parent,assets,liabilities,accounts_payable,other_current_assets,inventory,fixed_assets,current_assets,noncurrent_liabilities,prepaid_expenses,equity_attributable_to_noncontrolling_interest,current_liabilities,other_comprehensive_income_loss_attributable_to_parent,wages,intangible_assets,basic_average_shares,diluted_average_shares,exchange_gains_losses,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_discontinued,net_cash_flow_from_operating_activities_discontinued,research_and_development,income_loss_from_discontinued_operations_net_of_tax,interest_and_debt_expense,common_stock_dividends,income_loss_before_equity_method_investments,income_tax_expense_benefit_current,income_loss_from_equity_method_investments,long_term_debt,temporary_equity,redeemable_noncontrolling_interest,interest_expense_operating,noninterest_expense,provision_for_loan_lease_and_other_losses,noninterest_income,interest_and_dividend_income_operating,interest_income_expense_operating_net,interest_income_expense_after_provision_for_losses,nonoperating_income_loss,other_noncurrent_liabilities,net_income_loss_attributable_to_redeemable_noncontrolling_interest,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,depreciation_and_amortization,net_cash_flow_from_financing_activities_discontinued,temporary_equity_attributable_to_parent,accounts_receivable,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,other_operating_income_expenses,commitments_and_contingencies,cash,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
MGRD,742700000,2100000,515600000,227100000,131100000,932100000,-1175900000,-1175900000,135300000,932100000,379100000,379100000,1117700000,229000000,16.45,511600000,376500000,1117700000,1131300000,740600000,2040900000,N/A,0,740600000,533100000,60600000,15.13,N/A,0,511600000,1507800000,182600000,923200000,8830900000,N/A,N/A,0,4298200000,3345300000,8830900000,4182200000,N/A,N/A,N/A,57600000,8830900000,0,N/A,952900000,4182200000,N/A,N/A,1777800000,31100000,36100000,-4200000,N/A,N/A,N/A,N/A,N/A,N/A,0.04,610500000,122000000,312700000,2620200000,350500000,350500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.22,N/A,0,36.28791219559998,1.0720423000660937,NaN,0.9730119584942534,NaN,2.1115441633589977,8830900000,8.386461176097566,17.230468568237868,10.704787234042554,NaN,19.7790294627383,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,93.28%,0,0,1,1,0,0,1,0,1,0,0,1,0,0,181,186
TRDA,56419000,-12564000,56419000,0,26167000,-13965000,102252000,102252000,26167000,-13965000,-62120000,-62120000,168375000,0,1.6799999999999997,54951000,N/A,-84306000,37258000,54951000,215232000,N/A,0,54951000,57783000,N/A,1.6,N/A,0,54951000,157449000,21470000,299538000,554590000,78469000,62730000,89255000,422447000,422447000,554590000,132143000,1292000,16035000,N/A,10786000,465335000,61540000,N/A,0,70603000,1468000,6581000,N/A,74575774,74538731,N/A,N/A,N/A,N/A,120191000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,449300000,11.94,37594630,0,25.531054861730595,7.4624999999999995,1.0625708839215333,0.3128037363266871,448879882.2,6.590867243601546,449300000,9.908400800591428,13.007785592038765,13.007785592038765,Infinity,7.1677049322623505,-0.141,N/A,-420117.8000000119,-0.0019519300104074299,Healthcare,Biotechnology,287352,EQUITY,3430982.88,13.40%,0,0,1,1,1,-10,1,0,0,0,0,0,0,0,21,15
BKSY,-41586000,-16379000,-41586000,0,23333000,-6190000,57262000,57262000,23333000,-6190000,-27739000,-27739000,148054000,0,1.77,-41586000,72319000,148054000,32575000,-41586000,107231000,N/A,0,-41586000,-42848000,N/A,1.77,N/A,0,-41586000,150079000,763000,-40823000,245455000,92008000,N/A,138953000,110267000,110267000,245455000,135188000,N/A,N/A,N/A,46945000,106502000,116434000,N/A,0,18754000,N/A,N/A,N/A,426302000,426302000,N/A,N/A,N/A,N/A,903000,N/A,N/A,N/A,N/A,N/A,3252000,98751000,N/A,N/A,11484000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17683000,N/A,N/A,44282000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.47,30778934,0,-38.78169559175985,8.175141242937853,4.039025048110496,1.226005967333835,445371174.98,5.678895169030607,106502000,-16.94241306960543,-37.71391259397644,-19.8958941335196,Infinity,-1.8690444112387623,1.266,N/A,437620174.98,4.081097583534612,Technology,Scientific & Technical Instruments,868949,EQUITY,12573692.030000001,12.23%,0,0,0,0,0,-10,1,0,0,0,0,0,0,0,19,10
MPB,56549000,8246000,56549000,0,26296000,61535000,253098000,253098000,26296000,61535000,-288337000,-288337000,221147000,0,2.91,48303000,N/A,221147000,N/A,48303000,279388000,N/A,0,48303000,58241000,30000,2.91,N/A,0,48303000,221147000,9938000,58241000,5527025000,N/A,N/A,0,573059000,573059000,5527025000,4953966000,N/A,N/A,N/A,33765000,5527025000,0,N/A,0,4953966000,N/A,N/A,6713000,49842842,49962136,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115497000,114000,21461000,279388000,152391000,152277000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.4,19355797,0,17.28885993671883,9.759450171821305,0.9592461418457785,8.644774796312422,549704634.8,1.1156768132845483,5527025000,0.8739421298076271,8.4289750270042,8.4289750270042,NaN,17.063580639068697,0.519,N/A,-4977320365.2,-17.815082842498605,Financial Services,Banks - Regional,32958,EQUITY,936007.2,10.25%,0,0,1,0,1,-10,0,0,0,0,0,1,0,1,15,9
UNTY,40248000,533000,40248000,0,33054000,49869000,27954000,27954000,33054000,49869000,-44769000,-44769000,100283000,0,3.95,39715000,N/A,100283000,N/A,39715000,153232000,N/A,0,39715000,52949000,-1681000,3.9,N/A,0,39715000,100283000,13234000,52949000,2635319000,N/A,N/A,0,284257000,284257000,2635319000,2351062000,N/A,N/A,N/A,18857000,2635319000,0,N/A,0,2351062000,N/A,N/A,N/A,20002000,20317000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.51,N/A,N/A,N/A,N/A,N/A,N/A,18226000,47864000,3748000,9121000,153232000,96152000,91692000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.49,10026000,0,25.918215516341235,12.176923076923078,1.6750150040280452,8.270902739422423,476134740,1.1209057864063134,2635319000,1.5070281814080193,13.9715116954024,13.9715116954024,NaN,24.993862018168425,0.963,N/A,-2159184260,-14.0909487574397,Financial Services,Banks - Regional,14927,EQUITY,708883.23,8.21%,0,0,1,1,1,-10,0,0,0,0,0,1,0,1,11,6
GBLI,70387000,30270000,70387000,0,-15451000,58384000,-17556000,-17556000,-15451000,58384000,-56279000,-56279000,390438000,0,2.91,39677000,N/A,390438000,385047000,40117000,442000000,N/A,440000,40117000,51562000,9220000,2.91,N/A,440000,40117000,390438000,11445000,51562000,1761117000,N/A,N/A,0,686726000,686726000,1761117000,1074391000,N/A,N/A,N/A,N/A,1761117000,0,N/A,0,1074391000,N/A,N/A,14191000,13614463,13551550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51562000,2225000,2345000,N/A,N/A,N/A,5000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5391000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.41,13687842,0,9.076244343891403,11.481099656357387,0.6659290622752014,1.5645119013988111,457310801.21999997,1.6391769849151752,1761117000,2.2779292914667226,5.841776778511371,5.841776778511371,NaN,22.196578875916373,0.468,N/A,-1303806198.78,-2.949787780045249,Financial Services,Insurance - Property & Casualty,183,EQUITY,6114.03,8.71%,0,0,0,0,1,-10,1,0,0,0,0,1,0,1,12,6
AROW,59578000,59578000,59578000,0,45349000,12525000,33477000,33477000,45349000,12525000,-653000,-653000,N/A,0,1.97,32962000,N/A,N/A,N/A,32962000,N/A,N/A,0,32962000,N/A,1544000,1.96,N/A,0,32962000,N/A,8556000,141838000,4411449000,N/A,N/A,0,393311000,393311000,4411449000,4018138000,N/A,N/A,N/A,N/A,4411449000,0,N/A,0,4018138000,26616000,N/A,N/A,33462000,33519000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80758000,94620000,N/A,31331000,N/A,N/A,104807000,N/A,N/A,N/A,N/A,5764000,N/A,N/A,N/A,N/A,3325000,N/A,N/A,27.03,16698141,0,Infinity,13.790816326530614,1.1475670683759163,10.216185156275822,451350751.23,1.0978838954759642,4411449000,0.7471921357358999,8.38064534172703,8.38064534172703,NaN,6.032233957049591,0.736,N/A,-3960098248.77,N/A,Financial Services,Banks - Regional,12122,EQUITY,327657.66000000003,7.25%,0,0,1,1,1,-10,0,0,0,0,0,0,1,1,9,4
METC,37372000,0,37372000,0,-20101000,138543000,-86097000,-86097000,-20101000,138543000,-72547000,-72547000,650596000,0,0.6700000000000002,37372000,49244000,650414000,64728000,37372000,698132000,161508000,0,37372000,47536000,8887000,0.6400000000000001,536624000,0,37372000,113972000,10346000,47718000,645395000,21974000,55005000,498722000,361824000,361824000,645395000,283571000,53783000,85769000,53051000,476748000,146673000,174783000,7853000,0,108788000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.94,52529295,0.23134306979195912,5.353142385680645,13.968749999999996,1.2979014584438844,0.7837263420889714,469611897.29999995,1.3482461300878774,7853000,5.7905623687819086,10.328778632705404,10.328778632705404,0,21.68154574793579,1.102,N/A,461758897.29999995,0.6614206157288306,Basic Materials,Coking Coal,318691,EQUITY,2849097.54,7.16%,1,0,0,0,1,-10,0,0,0,0,1,1,0,0,9,3
NRIM,42339000,35726000,42339000,0,-8352000,5791000,130897000,130897000,-8352000,5791000,-145040000,-145040000,106024000,0,5.920000000000001,32657000,N/A,106024000,N/A,32657000,148061000,N/A,0,32657000,42037000,N/A,5.86,N/A,0,32657000,106024000,9380000,40311000,2963392000,N/A,N/A,0,260050000,260050000,2963392000,2703342000,N/A,N/A,N/A,39625000,2963392000,0,N/A,0,2703342000,18285000,N/A,950000,10972549,11117853,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99553000,2977000,35493000,148061000,109074000,106097000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.3,5518210,0,22.056449706539873,14.044368600682592,1.7463898596423764,10.39547010190348,454148683,1.0961957458582747,2963392000,1.1020141783469752,12.557969621226686,12.557969621226686,NaN,23.26908288060331,0.845,N/A,-2509243317,-16.94736167525547,Financial Services,Banks - Regional,12579,EQUITY,1035251.7,7.12%,0,0,1,1,0,-10,0,0,0,0,0,1,0,0,9,2
NNAVW,-84656000,-12921000,-84656000,0,-22227000,-36893000,29715000,29715000,-22272000,-36893000,-15094000,-15094000,78211000,0,-0.75,-86005000,36172000,90768000,11984000,-86005000,4963000,N/A,0,-86005000,-65263000,N/A,-0.75,N/A,0,-86005000,70226000,200000,-85805000,171672000,57095000,15594000,67274000,65571000,65571000,171672000,106101000,918000,17598000,N/A,N/A,104398000,85279000,N/A,0,20822000,N/A,4310000,10179000,108217196,108217196,45000,N/A,N/A,N/A,17249000,N/A,N/A,N/A,-85653000,N/A,-152000,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,-8755000,-8755000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86800000,3.435,N/A,0,-1732.923634898247,0,NaN,1.6181086150889874,NaN,5.013831524349246,86800000,-50.09844354350156,-131.1631666437907,-131.1631666437907,Infinity,-0.23308664996212342,,N/A,NaN,NaN,Technology,Software - Infrastructure,9392,EQUITY,32261.52,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
