Ticker,participating_securities_distributed_and_undistributed_earnings_loss_basic,benefits_costs_expenses,diluted_average_shares,net_income_loss_attributable_to_parent,operating_expenses,costs_and_expenses,net_income_loss_available_to_common_stockholders_basic,cost_of_revenue,net_income_loss_attributable_to_noncontrolling_interest,diluted_earnings_per_share,income_tax_expense_benefit,income_loss_from_continuing_operations_before_tax,gross_profit,interest_expense_operating,basic_earnings_per_share,income_loss_from_continuing_operations_after_tax,preferred_stock_dividends_and_other_adjustments,basic_average_shares,other_operating_expenses,selling_general_and_administrative_expenses,revenues,net_income_loss,undistributed_earnings_loss_allocated_to_participating_securities_basic,operating_income_loss,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,net_cash_flow,comprehensive_income_loss,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,current_liabilities,other_current_liabilities,fixed_assets,equity_attributable_to_parent,noncurrent_liabilities,equity_attributable_to_noncontrolling_interest,assets,other_current_assets,equity,accounts_payable,current_assets,liabilities_and_equity,noncurrent_assets,other_noncurrent_assets,inventory,liabilities,accounts_receivable,nonoperating_income_loss,research_and_development,intangible_assets,interest_income_expense_operating_net,income_tax_expense_benefit_deferred,noninterest_expense,noninterest_income,provision_for_loan_lease_and_other_losses,interest_income_expense_after_provision_for_losses,interest_and_dividend_income_operating,common_stock_dividends,income_tax_expense_benefit_current,income_loss_before_equity_method_investments,other_operating_income_expenses,prepaid_expenses,temporary_equity,redeemable_noncontrolling_interest,net_income_loss_attributable_to_redeemable_noncontrolling_interest,wages,exchange_gains_losses,temporary_equity_attributable_to_parent,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_equity_method_investments,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,other_noncurrent_liabilities,long_term_debt,depreciation_and_amortization,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,income_loss_from_discontinued_operations_net_of_tax,cash,noncurrent_prepaid_expenses,net_cash_flow_from_investing_activities_discontinued,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
CLW,0,1448100000,16781000,196300000,140600000,1448100000,196300000,1307500000,0,11.7,-27100000,-64500000,76100000,32000000,11.7,-74000000,0,16781000,23900000,116700000,1383600000,196300000,N/A,-64500000,-191400000,167700000,179100000,-82300000,-94600000,61400000,-191400000,37700000,192500000,-3800000,0,192500000,N/A,320400000,282200000,1023100000,854600000,504300000,0,1679200000,98700000,854600000,N/A,545400000,1679200000,1133800000,110700000,258000000,824700000,188700000,-36600000,N/A,N/A,N/A,47900000,N/A,N/A,N/A,N/A,N/A,N/A,-75000000,N/A,N/A,N/A,N/A,N/A,N/A,38200000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,143700000,132300000,270300000,N/A,N/A,-11400000,26.15,16175161,0.055001445504481064,14.187626481642093,2.235042735042735,0.4950034641895845,0.9650128715188392,422980460.15,1.702247191011236,0,11.690090519294902,22.96981043763164,-8.659021764568218,0,42.01550387596899,0.375,N/A,422980460.15,0.30571007527464583,Basic Materials,Paper & Paper Products,99780,EQUITY,2609247,44.74%,0,0,1,0,1,-10,1,0,1,0,1,1,0,0,84,80
EGY,1633000,313899000,103211000,90818000,327493000,328292000,89817000,N/A,0,0.8600000000000001,101689000,192522000,N/A,N/A,0.8600000000000001,90818000,1001000,103144000,201162000,N/A,506421000,90818000,N/A,178928000,-46701000,-80976000,-80976000,120971000,-6691000,120971000,-46701000,-6706000,90987000,-15028000,0,90987000,169000,176247000,169522000,531589000,501032000,260624000,0,937903000,N/A,501032000,N/A,236799000,937903000,701104000,169515000,N/A,436871000,N/A,13594000,N/A,N/A,N/A,-8321000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6725000,N/A,N/A,N/A,N/A,N/A,N/A,0,126331000,N/A,N/A,N/A,N/A,N/A,N/A,4,105094792,0,17.93330055428191,4.651162790697674,0.8390265851282952,0.8719423110699516,420379168,1.3435632946943779,236799000,9.68309089532713,18.126187548899072,18.126187548899072,NaN,52.81941804053562,1.16,N/A,183580168,0.36250504619674145,Energy,Oil & Gas E&P,623884,EQUITY,2495536,21.50%,0,0,1,0,1,-10,0,0,1,1,0,1,0,0,38,33
MSBI,10104000,147622000,65101198,59822000,147622000,147622000,50100000,N/A,0,2.3,16555000,76377000,N/A,N/A,2.3,59822000,9722000,65082667,N/A,N/A,223999000,59822000,382000,76377000,-318617000,142789000,142789000,165569000,-10259000,165569000,-318617000,-10259000,100363000,65767000,0,100363000,40541000,6933224000,N/A,84672000,818259000,0,0,7751483000,N/A,818259000,N/A,7751483000,7751483000,0,N/A,N/A,6933224000,N/A,N/A,N/A,13052000,223999000,N/A,183567000,78695000,42750000,181249000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.38,21494485,0,26.70636922486261,8.42608695652174,0.5090846777120691,8.473141144796452,416563119.29999995,1.118019986084396,7751483000,0.7717490962697073,7.310888117332043,7.310888117332043,NaN,21.675373476308312,0.691,N/A,-7334919880.7,-32.74532422332243,Financial Services,Banks - Regional,39763,EQUITY,770606.94,11.87%,0,0,1,1,1,-10,0,0,0,0,0,1,1,1,18,14
OPAL,0,276078000,27454325,4884000,264010000,264010000,4884000,N/A,34901000,0.18,N/A,30879000,N/A,N/A,0.18,30879000,0,27623205,201443000,51150000,306957000,39785000,N/A,42947000,53022000,-115775000,-115775000,65359000,2606000,65359000,53022000,2606000,39208000,-577000,0,39208000,-95000,97789000,89819000,N/A,-180080000,263421000,585000,831088000,N/A,-179495000,N/A,122609000,831088000,708479000,707082000,N/A,361210000,N/A,N/A,11417000,1397000,N/A,N/A,N/A,N/A,26000,N/A,N/A,N/A,N/A,14959000,N/A,N/A,N/A,N/A,23921000,7970000,N/A,N/A,510000,15920000,510000,10542000,252879000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.5,28429477,0,12.961098785823422,13.88888888888889,0.15125988554475842,0,71073692.5,1.2538117784208858,122609000,4.787098357815298,0,42.07865474762891,Infinity,0,0.563,N/A,201343692.5,0.6559345201445154,Utilities,Utilities - Regulated Gas,123197,EQUITY,307992.5,7.20%,0,0,1,0,1,0,0,0,0,1,0,0,0,1,9,13
SD,0,74527000,74299000,47195000,84130000,84130000,47195000,N/A,0,1.2699999999999998,-1479000,45716000,N/A,N/A,1.2699999999999998,47195000,0,74230000,N/A,N/A,120243000,47195000,N/A,36113000,-73026000,-139295000,-139295000,74159000,-138162000,74159000,-73026000,-138162000,47195000,0,0,47195000,N/A,58755000,55465000,N/A,446757000,59728000,0,565240000,124685000,446757000,N/A,125571000,565240000,439669000,N/A,N/A,118483000,N/A,9603000,N/A,N/A,N/A,-1479000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,886000,N/A,N/A,N/A,3290000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.7,37213798,0,39.24968605241054,9.212598425196852,0.9745822373236457,0.26520681265206814,435401436.59999996,2.1371968343119736,886000,8.34955063335928,10.563908343909553,10.563908343909553,NaN,-3.2351911803307374,2.017,N/A,434515436.59999996,3.613644341874371,Energy,Oil & Gas E&P,239997,EQUITY,2807964.9,10.85%,0,0,1,1,1,-10,1,0,0,0,0,0,0,0,16,10
FBIZ,1908000,181980000,8148259,44245000,181980000,181980000,43370000,N/A,0,5.2,6905000,51150000,N/A,N/A,5.2,44245000,875000,8148259,N/A,N/A,233130000,44245000,1033000,51150000,289173000,-328472000,-328472000,57491000,18192000,57491000,289173000,18192000,46537000,2292000,0,46537000,2292000,3524626000,N/A,5227000,328589000,0,0,3853215000,N/A,328589000,N/A,3853215000,3853215000,0,N/A,N/A,3524626000,N/A,N/A,N/A,N/A,124206000,-3513000,93480000,29251000,8827000,115379000,233130000,N/A,10418000,51150000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.14,8301126,0,18.978681422382362,10.21923076923077,1.3424729240479747,10.726548971511523,441121835.64,1.0932266288678572,3853215000,1.1482619059668355,13.465149472441256,13.465149472441256,NaN,13.499511241446726,0.883,N/A,-3412093164.36,-14.63601065654356,Financial Services,Banks - Regional,7447,EQUITY,395733.58,9.79%,0,0,1,0,1,-10,0,0,0,0,0,1,0,1,14,8
CWCO,17962,127320529,15942191,36621934,26800167,127320529,36603972,102387069,558740,2.3,4559847,31489481,56422941,N/A,2.32,26929634,17962,15835421,20066084,N/A,158810010,37180674,N/A,29622774,-6444555,25616119,25616119,38558063,57729627,36832692,-6444555,56004256,37180674,0,0,37180674,N/A,20086525,N/A,53203218,209766137,3294980,5220086,238367728,150017973,214986223,N/A,153946824,238367728,84420904,28356779,3928851,23381505,N/A,1866707,N/A,2860907,N/A,-734505,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30363416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162474,N/A,N/A,N/A,6734083,-1725371,-1725371,10251040,N/A,N/A,N/A,27.07,15834897,0.35528579716102276,23.41204688545766,11.769565217391305,1.9938517724924167,0.1087581551679244,428650661.79,7.6641840238667465,0,15.598031793968351,17.29444495613098,12.52621383092069,0,14.48054034297993,0.196,N/A,428650661.79,2.699141331141532,Utilities,Utilities - Regulated Water,55983,EQUITY,1515459.81,8.50%,1,0,1,1,0,-10,1,0,1,0,1,1,0,0,11,8
BSRR,0,122173000,14383960,36486000,122173000,122173000,36486000,N/A,0,2.52,13038000,49524000,N/A,54151000,2.55,36486000,0,14274942,N/A,N/A,171697000,36486000,N/A,49524000,-135703000,137200000,137200000,42758000,44255000,42758000,-135703000,44255000,43891000,7405000,0,43891000,N/A,3337456000,N/A,15647000,358698000,0,0,3696154000,N/A,358698000,N/A,3696154000,3696154000,0,N/A,N/A,3337456000,N/A,N/A,N/A,N/A,117546000,-2421000,94164000,32054000,2258000,115159000,171697000,0.9299999999999999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.72,14226512,0,21.25022568827644,12.19047619047619,1.2184022454543935,9.304361886600985,437038448.64,1.1074764730980724,3696154000,0.9871341940839045,10.171787966478766,10.171787966478766,NaN,26.32662951296341,0.889,N/A,-3259115551.36,-18.98178507114277,Financial Services,Banks - Regional,27410,EQUITY,842035.2,8.20%,0,0,1,1,1,-10,0,0,0,0,0,1,0,1,11,6
RWAY,0,0,39317890,40602000,82631000,82631000,40602000,N/A,0,1.03,N/A,67447000,N/A,43477000,1.03,40602000,0,39317890,N/A,N/A,67447000,40602000,N/A,-15184000,-5553000,11328000,11328000,-5775000,0,-5775000,-5553000,0,40602000,0,0,40602000,N/A,568220000,N/A,N/A,507358000,0,0,1075578000,N/A,507358000,N/A,1075578000,1075578000,0,N/A,N/A,568220000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,542512000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.505,37347428,0,60.198377985677645,11.16990291262136,0.8469013184772883,1.119958687948155,429682159.14000005,1.8928900777867728,1075578000,3.7749005650915137,8.002633249106154,3.8673359558802516,NaN,0,0.496,N/A,-103383840.8599999,-1.5328160016012558,Financial Services,Credit Services,174127,EQUITY,2003331.1350000002,8.95%,0,0,1,1,1,-10,1,0,0,0,0,0,0,0,12,6
RILYG,2015000,557138000,30352054,-433604000,321903000,368621000,-435619000,46718000,-177000,-14.35,25008000,-408773000,101647000,N/A,-14.35,-433781000,2015000,30352054,112565000,209338000,148365000,-433781000,N/A,-220256000,-52593000,-11574000,-11574000,111482000,47315000,111482000,-52593000,46044000,-435025000,-1244000,-177000,-434848000,N/A,3379385000,3260037000,44689000,-218336000,0,75233000,3236282000,3153104000,-143103000,58932000,3236282000,3236282000,0,N/A,83178000,3379385000,N/A,N/A,N/A,319320000,N/A,17457000,N/A,N/A,N/A,N/A,N/A,0.5,N/A,-408783000,N/A,N/A,5304000,5304000,N/A,60416000,-1271000,N/A,N/A,10000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.56,N/A,0.6851144137768341,-292.37421224682373,0,NaN,0,NaN,0.9576541293756112,0,-13.403683609771955,0,0,0,-6.117820893258606,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
