Ticker,equity_attributable_to_parent,noncurrent_liabilities,fixed_assets,equity,current_liabilities,other_noncurrent_liabilities,long_term_debt,accounts_payable,equity_attributable_to_noncontrolling_interest,other_current_assets,other_noncurrent_assets,assets,other_current_liabilities,liabilities_and_equity,noncurrent_assets,liabilities,current_assets,inventory,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities,exchange_gains_losses,wages,intangible_assets,gross_profit,basic_average_shares,income_loss_from_continuing_operations_after_tax,diluted_average_shares,operating_expenses,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss_attributable_to_parent,nonoperating_income_loss,operating_income_loss,basic_earnings_per_share,cost_of_revenue,preferred_stock_dividends_and_other_adjustments,research_and_development,income_loss_from_equity_method_investments,net_income_loss,other_operating_expenses,revenues,income_loss_from_continuing_operations_before_tax,income_tax_expense_benefit,costs_and_expenses,benefits_costs_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_available_to_common_stockholders_basic,diluted_earnings_per_share,income_loss_before_equity_method_investments,cash,income_tax_expense_benefit_deferred,income_loss_from_discontinued_operations_net_of_tax,selling_general_and_administrative_expenses,income_tax_expense_benefit_current,prepaid_expenses,common_stock_dividends,net_income_loss_attributable_to_redeemable_noncontrolling_interest,redeemable_noncontrolling_interest,temporary_equity,interest_expense_operating,depreciation_and_amortization,interest_income_expense_after_provision_for_losses,provision_for_loan_lease_and_other_losses,interest_income_expense_operating_net,other_comprehensive_income_loss_attributable_to_parent,undistributed_earnings_loss_allocated_to_participating_securities_basic,noninterest_expense,noninterest_income,interest_and_dividend_income_operating,commitments_and_contingencies,temporary_equity_attributable_to_parent,redeemable_noncontrolling_interest_common,accounts_receivable,interest_and_debt_expense,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
GTN,2283000000,7082000000,1577000000,2283000000,527000000,1482000000,5600000000,75000000,0,N/A,8424000000,10542000000,341000000,10542000000,10001000000,7609000000,541000000,N/A,368000000,368000000,0,368000000,-609000000,751000000,114000000,-28000000,-609000000,114000000,751000000,-28000000,N/A,111000000,N/A,N/A,95000000,375000000,96000000,2793000000,0,375000000,N/A,851000000,3.4,N/A,52000000,N/A,N/A,375000000,2524000000,3644000000,492000000,117000000,3152000000,3152000000,52000000,323000000,3.36,N/A,N/A,-9000000,N/A,N/A,126000000,N/A,N/A,N/A,N/A,650000000,N/A,269000000,N/A,N/A,N/A,-7000000,N/A,N/A,N/A,N/A,N/A,650000000,N/A,N/A,N/A,3.76,101543010,0,10.290889132821075,1.119047619047619,0.1301744690078418,3.3328953131844066,381801717.59999996,1.0265654648956357,541000000,3.5571997723392146,16.4257555847569,4.757072180641888,NaN,23.78048780487805,,N/A,5440801717.6,1.493084993852909,Communication Services,Broadcasting,1131913,EQUITY,4255992.88,89.36%,0,0,1,0,1,-10,0,0,1,0,0,1,0,0,173,167
SIGA,169442134,3609572,1411315,169442134,22302531,N/A,N/A,1260762,0,118661745,13256704,195354237,21041769,195354237,14668019,25912103,180686218,62024473,0,85709526,0,85709526,-43303183,71483437,28155642,-24612,-43303183,28155642,71483437,-24612,N/A,N/A,N/A,141769932,71099831,85709526,72079214,37195521,0,85709526,5781961,104574412,1.2,31961453,0,11584540,N/A,85709526,N/A,173731386,110356373,24646847,69156974,63375013,0,85709526,1.2,N/A,N/A,-4207189,N/A,25610981,N/A,N/A,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.49,71404669,0.8160294766772884,49.3345088491955,4.575,2.3135428217045475,0.15292597176567665,392011632.81,8.101601472944932,0,43.873901747009455,50.5833608068227,50.5833608068227,8.171365984713882,22.33386829413105,0.979,N/A,392011632.81,2.2564237921293047,Healthcare,Drug Manufacturers - Specialty & Generic,189916,EQUITY,1042638.8400000001,21.86%,1,1,1,1,1,-10,1,1,1,1,1,1,0,0,38,39
DIN,-216670000,1529359000,N/A,-216670000,386850000,343359000,1186000000,35455000,0,N/A,789799000,1699539000,339332000,1699539000,1368108000,1916209000,331431000,N/A,0,92755000,0,92755000,-49921000,129528000,75481000,-4126000,-49921000,75481000,129528000,-4126000,N/A,12063000,578309000,388442000,14898000,92755000,14893000,280558000,0,92755000,N/A,107884000,6.000000000000001,425396000,2534000,N/A,N/A,92755000,N/A,813838000,107884000,15129000,705954000,705954000,5068000,90221000,6.01,N/A,N/A,-13575000,N/A,N/A,N/A,N/A,2.04,N/A,N/A,N/A,77000000,N/A,N/A,-329000,N/A,N/A,2534000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.08,15246473,0.4772964644069213,11.39723139003094,4.173044925124792,-1.7648107390963215,0,382381542.84,0.8567429236138038,331431000,5.4576564586043625,0,9.568980636109478,0,14.023395498869156,,N/A,1236950542.84,1.5198977472666548,Consumer Cyclical,Restaurants,351672,EQUITY,8819933.76,23.96%,1,1,1,0,1,-10,0,0,0,0,1,1,0,0,42,38
ACTG,540178000,101087000,2366000,578566000,27919000,N/A,N/A,5258000,38388000,445428000,216688000,707572000,17692000,707572000,249926000,129006000,457646000,12218000,0,54825000,0,54825000,58858000,65840000,15192000,-109506000,58858000,15317000,65840000,-109506000,125000,4969000,30872000,89294000,108116526,54825000,125232319,50469000,2697000,52128000,11182000,38825000,0.73,76485000,3913000,562000,792000,54825000,49907000,165779000,50007000,-4818000,126954000,115772000,7826000,48215000,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.2,97368165,0.5386327580694781,33.071136874996235,7.241379310344828,0.7068273852939855,0.2229754254484363,408946293,16.391919481356783,0,7.748328085339725,9.476014836682419,9.476014836682419,0.6293815933881336,-9.634651148839163,0.49,N/A,408946293,2.466816020123176,Industrials,Business Equipment & Supplies,364538,EQUITY,1531059.6,13.81%,1,1,1,1,1,-10,1,0,0,0,1,0,0,0,22,19
DHIL,162316128,0,8380594,162316128,82564514,N/A,N/A,N/A,0,N/A,N/A,245126650,N/A,245126650,0,82564514,245126650,N/A,0,43177918,0,43177918,-52478119,16598852,-5367275,30511992,-52478119,-5367275,16598852,30511992,N/A,N/A,N/A,N/A,2757860,43177918,2757860,107203340,189,43177729,N/A,43891791,15.66,N/A,0,N/A,9039837,43177918,N/A,151095131,59010991,15833073,92084140,92084140,0,43177729,15.66,59010991,N/A,1672382,N/A,N/A,N/A,N/A,6,189,246008,246008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,146.14,2787492,0,28.576644207019484,9.332056194125158,2.5058976887459203,0.5086648814096896,407364080.87999994,2.968910469211991,245126650,17.6145343641746,26.60112616781987,26.60112616781987,NaN,26.830718704588442,0.966,N/A,162237430.87999994,1.0737436064700188,Financial Services,Asset Management,14512,EQUITY,2120783.6799999997,10.72%,0,0,1,1,0,-10,1,0,1,1,0,1,0,0,16,12
BSVN,204162000,0,17126000,204162000,1536280000,N/A,N/A,N/A,0,N/A,N/A,1740442000,N/A,1740442000,0,1536280000,1740442000,N/A,4961000,40619000,0,40619000,-75744000,58112000,17230000,34862000,-75744000,17230000,58112000,34862000,N/A,N/A,907000,N/A,9273393,35658000,9404518,84416000,0,35658000,N/A,47194000,3.8499999999999996,N/A,0,N/A,N/A,35658000,N/A,131610000,47194000,11536000,84416000,84416000,0,35658000,3.79,N/A,N/A,485000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70254000,15500000,85754000,N/A,N/A,38682000,15622000,131610000,N/A,N/A,N/A,N/A,N/A,41.22,9390211,0,27.093685890129933,10.87598944591029,1.895869443970964,7.5248087303219995,387064497.42,1.132893743328039,1740442000,2.048789905093074,17.46554206953302,17.46554206953302,NaN,24.443785226935628,,N/A,-1353377502.58,-10.283242174454829,Financial Services,Banks - Regional,3544,EQUITY,146083.68,9.19%,0,0,1,1,1,-10,0,0,1,1,0,1,0,1,13,10
ATLCZ,457723000,0,9676000,454462000,2470527000,N/A,N/A,N/A,-3261000,N/A,N/A,3039964000,N/A,3039964000,0,2470527000,3039964000,N/A,0,29189000,0,29189000,171466000,112364000,-22454000,-306284000,171466000,-22454000,112364000,-306284000,N/A,N/A,N/A,323155000,14740000,29189000,18788000,285869000,-354000,29543000,N/A,37286000,1.58,28069000,6316000,N/A,N/A,29189000,N/A,351224000,37286000,8097000,313938000,313938000,6316000,23227000,1.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42492000,N/A,N/A,N/A,N/A,N/A,N/A,63074000,270000,350954000,N/A,N/A,N/A,N/A,N/A,25.35,N/A,0.9200823406145366,8.310650752795937,19.960629921259844,NaN,5.436157478513055,NaN,1.2304921176736785,3039964000,0.9601758441876286,6.4227592185925335,6.4227592185925335,0,21.71592554846323,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,5.01%,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5,9
SAR,374865655,0,N/A,374865655,845054225,N/A,837875000,N/A,0,1072319880,N/A,1219919880,N/A,1219919880,0,845054225,1219919880,N/A,0,34069771,0,34069771,6340431,196797093,0,-203137524,6340431,0,196797093,-203137524,N/A,N/A,N/A,N/A,27809834,41547530,N/A,97040964,0,34069771,N/A,-39288395,2.51,N/A,0,N/A,N/A,34069771,N/A,57752569,57752569,152382,72592102,0,0,34069771,2.51,N/A,147600000,1159076,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51686280,26,13745769,0,58.99265017976949,10.358565737051794,0.9533815361132509,2.254285538641837,357389994,1.4435995275924454,147600000,2.7927875886406572,9.088528262211698,3.4259204413329414,NaN,0.2638531975954178,,N/A,1047664994,18.140578196616673,Financial Services,Asset Management,168817,EQUITY,4389242,9.65%,0,0,1,1,1,-10,0,0,0,0,0,0,0,0,14,7
BWB,452200000,0,47777000,452200000,4239317000,N/A,N/A,N/A,0,N/A,N/A,4691517000,N/A,4691517000,0,4239317000,4691517000,N/A,12350000,45844000,0,45844000,113312000,3331000,67501000,-49142000,113312000,67501000,3331000,-49142000,N/A,N/A,N/A,N/A,82465296,33494000,83718634,197671000,0,33494000,N/A,43456000,1.07,N/A,4054000,N/A,N/A,33494000,N/A,241127000,43456000,9962000,197671000,197671000,4054000,29440000,1.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99440000,1100000,100540000,N/A,N/A,62228000,6244000,241127000,N/A,N/A,N/A,N/A,N/A,14.5,27555349,0,13.890605365637196,13.809523809523808,0.8835748794781071,9.374871738168952,399552560.5,1.1066681260212434,4691517000,0.7139268599048026,7.406899601946042,7.406899601946042,NaN,22.924337260677465,0.678,N/A,-4291964439.5,-17.79960120392988,Financial Services,Banks - Regional,8311,EQUITY,120509.5,7.24%,0,0,1,0,1,-10,0,0,0,0,0,1,1,1,9,4
RILYT,-218336000,0,44689000,-143103000,3379385000,N/A,N/A,58932000,75233000,3153104000,N/A,3236282000,3260037000,3236282000,0,3379385000,3236282000,83178000,-1244000,-435025000,-177000,-434848000,-52593000,111482000,47315000,-11574000,-52593000,46044000,111482000,-11574000,-1271000,60416000,319320000,101647000,30352054,-433781000,30352054,321903000,-177000,-433604000,N/A,-220256000,-14.35,46718000,2015000,N/A,10000,-433781000,112565000,148365000,-408773000,25008000,368621000,557138000,2015000,-435619000,-14.35,-408783000,N/A,17457000,N/A,209338000,N/A,N/A,0.5,N/A,5304000,5304000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.78,N/A,0.6851144137768341,-292.37421224682373,0,NaN,0,NaN,0.9576541293756112,0,-13.403683609771955,0,0,0,-6.117820893258606,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
