Ticker,equity,fixed_assets,accounts_payable,other_noncurrent_liabilities,liabilities_and_equity,assets,liabilities,other_current_liabilities,equity_attributable_to_parent,other_current_assets,noncurrent_liabilities,current_liabilities,long_term_debt,inventory,equity_attributable_to_noncontrolling_interest,current_assets,noncurrent_assets,other_noncurrent_assets,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,net_cash_flow_from_operating_activities,net_cash_flow,net_cash_flow_from_investing_activities,net_cash_flow_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,net_income_loss,diluted_average_shares,basic_earnings_per_share,income_tax_expense_benefit_deferred,net_income_loss_attributable_to_noncontrolling_interest,revenues,diluted_earnings_per_share,cost_of_revenue,income_tax_expense_benefit,costs_and_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,selling_general_and_administrative_expenses,operating_expenses,net_income_loss_attributable_to_parent,nonoperating_income_loss,basic_average_shares,benefits_costs_expenses,income_loss_from_continuing_operations_before_tax,gross_profit,income_loss_from_continuing_operations_after_tax,net_income_loss_available_to_common_stockholders_basic,preferred_stock_dividends_and_other_adjustments,operating_income_loss,research_and_development,interest_expense_operating,exchange_gains_losses,wages,prepaid_expenses,other_comprehensive_income_loss_attributable_to_parent,net_cash_flow_discontinued,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_from_financing_activities_discontinued,other_operating_expenses,income_loss_from_discontinued_operations_net_of_tax,income_tax_expense_benefit_current,intangible_assets,cash,interest_income_expense_operating_net,noninterest_expense,noninterest_income,interest_and_dividend_income_operating,provision_for_loan_lease_and_other_losses,interest_income_expense_after_provision_for_losses,common_stock_dividends,interest_payable,interest_and_debt_expense,depreciation_and_amortization,undistributed_earnings_loss_allocated_to_participating_securities_basic,noncurrent_prepaid_expenses,net_income_loss_attributable_to_redeemable_noncontrolling_interest,redeemable_noncontrolling_interest,temporary_equity,redeemable_noncontrolling_interest_other,income_loss_before_equity_method_investments,income_loss_from_equity_method_investments,temporary_equity_attributable_to_parent,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
MUX,502104000,N/A,N/A,83752000,667792000,667792000,165688000,N/A,502104000,37638000,114752000,50936000,31000000,21934000,0,59572000,608220000,N/A,102994000,102994000,0,0,46776000,-12982000,-92596000,-12982000,-92596000,32838000,32838000,46776000,102994000,98224000,2.1900000000000004,N/A,0,199634000,2.1900000000000004,132488000,32569000,66598000,0,N/A,127620000,102994000,221737000,98224000,180532000,19102000,43622000,102994000,102994000,0,-83406000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5142000,N/A,N/A,N/A,0,-5142000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.88,52924821,0.2185098730677139,51.5914122844806,3.1415525114155245,0.7251939209406816,0.32998741296623807,364122768.48,1.169546097062981,0,15.423065864820185,20.51248346956009,19.319682463459287,0,170.5004711548529,1.392,N/A,395122768.48,1.9792358439945101,Basic Materials,Other Precious Metals & Mining,294159,EQUITY,2023813.92,31.83%,1,0,1,1,1,-10,0,0,1,1,1,1,0,0,58,56
MTW,640100000,346200000,N/A,150200000,1660000000,1660000000,1019900000,431100000,640100000,349500000,545600000,474300000,395400000,609400000,0,958900000,701100000,236400000,34600000,34600000,0,-21200000,49200000,15500000,-40400000,15500000,-40400000,6700000,6700000,49200000,55800000,35708782,1.58,-55600000,0,2178000000,1.56,1803000000,-44100000,323200000,0,N/A,323200000,55800000,-40100000,35221758,2166300000,11700000,375000000,55800000,55800000,0,51800000,41100000,N/A,N/A,43200000,N/A,-21200000,N/A,N/A,N/A,N/A,282100000,N/A,11500000,118500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.35,35134245,0.1721763085399449,2.56198347107438,6.634615384615384,0.5680978530698327,1.5933447898765818,363639435.75,2.021716213367067,0,3.36144578313253,8.717387908139353,5.388701110574601,10.96,-376.9230769230769,1.843,N/A,759039435.75,0.34850295488980715,Industrials,Farm & Heavy Construction Machinery,114434,EQUITY,1184391.9,15.07%,0,0,0,0,1,-10,1,0,0,0,1,0,0,0,25,18
SAT,374865655,N/A,N/A,N/A,1219919880,1219919880,845054225,N/A,374865655,1072319880,0,845054225,837875000,N/A,0,1219919880,0,N/A,34069771,34069771,0,0,196797093,0,-203137524,0,-203137524,6340431,6340431,196797093,34069771,N/A,2.51,1159076,0,57752569,2.51,N/A,152382,72592102,0,N/A,97040964,34069771,N/A,27809834,0,57752569,N/A,41547530,34069771,0,-39288395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,147600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51686280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.68,N/A,0,58.99265017976949,9.832669322709163,NaN,2.254285538641837,NaN,1.4435995275924454,147600000,2.7927875886406572,9.088528262211698,3.4259204413329414,NaN,0.2638531975954178,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,10.17%,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,17
ATLCP,454462000,9676000,N/A,N/A,3039964000,3039964000,2470527000,N/A,457723000,N/A,0,2470527000,N/A,N/A,-3261000,3039964000,0,N/A,29189000,29189000,0,0,112364000,-22454000,-306284000,-22454000,-306284000,171466000,171466000,112364000,29189000,18788000,1.58,N/A,-354000,351224000,1.27,28069000,8097000,313938000,6316000,N/A,285869000,29543000,N/A,14740000,313938000,37286000,323155000,29189000,23227000,6316000,37286000,N/A,42492000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63074000,270000,350954000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.63,N/A,0.9200823406145366,8.310650752795937,18.606299212598426,NaN,5.436157478513055,NaN,1.2304921176736785,3039964000,0.9601758441876286,6.4227592185925335,6.4227592185925335,0,21.71592554846323,,N/A,NaN,NaN,Financial Services,Credit Services,3337,EQUITY,78853.31,5.37%,1,1,0,0,0,0,0,0,0,0,1,1,0,1,5,10
ATLCL,454462000,9676000,N/A,N/A,3039964000,3039964000,2470527000,N/A,457723000,N/A,0,2470527000,N/A,N/A,-3261000,3039964000,0,N/A,29189000,29189000,0,0,112364000,-22454000,-306284000,-22454000,-306284000,171466000,171466000,112364000,29189000,18788000,1.58,N/A,-354000,351224000,1.27,28069000,8097000,313938000,6316000,N/A,285869000,29543000,N/A,14740000,313938000,37286000,323155000,29189000,23227000,6316000,37286000,N/A,42492000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63074000,270000,350954000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,N/A,0.9200823406145366,8.310650752795937,18.89763779527559,NaN,5.436157478513055,NaN,1.2304921176736785,3039964000,0.9601758441876286,6.4227592185925335,6.4227592185925335,0,21.71592554846323,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,5.29%,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5,9
BBCP,321715000,415726000,7668000,121684000,897990000,897990000,551275000,34360000,321715000,99482000,494944000,56331000,373260000,5922000,0,112360000,785630000,264292000,21215000,21215000,0,-3096000,86900000,26001000,-32131000,26001000,-32131000,-28768000,-28768000,86900000,24311000,54238000,0.27,5457000,8104000,425872000,0.26,260038000,8104000,401561000,1892000,N/A,116487000,16207000,N/A,53543000,401561000,24311000,165834000,16207000,14457000,1750000,49347000,N/A,25572000,N/A,14303000,6956000,N/A,N/A,N/A,N/A,N/A,59377000,N/A,2647000,105612000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57110000,142000,N/A,N/A,N/A,25000000,N/A,N/A,N/A,25000000,6.54,53002607,0.3893986925649021,5.708522748619303,25.153846153846153,0.9997751749419552,1.713550813608318,346637049.78000003,1.9946388311941914,6956000,2.707268455105291,7.556688373249615,2.332026331882442,0,33.334704454773565,1.238,N/A,712941049.78,1.6740735474039148,Industrials,Engineering & Construction,79533,EQUITY,520145.82,3.98%,1,0,0,0,0,0,1,0,0,0,1,1,0,1,2,7
ACNB,306755000,25542000,N/A,N/A,2420914000,2420914000,2114159000,N/A,306755000,N/A,0,2114159000,255322000,N/A,0,2420914000,0,N/A,60280000,60280000,0,35029000,42687000,-5949000,-17388000,-5949000,-17388000,-31248000,-31248000,42687000,29348000,17063148,3.45,2668000,0,105368000,3.44,N/A,10251000,68437000,0,N/A,68437000,29348000,N/A,8490657,68437000,36931000,N/A,22536000,29348000,0,36931000,N/A,21376000,N/A,N/A,N/A,30932000,N/A,N/A,N/A,N/A,N/A,N/A,7583000,8142000,N/A,N/A,69470000,19897000,105368000,-1916000,86504000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.97,10589144,0,27.852858552881333,11.909883720930232,1.4142792446088897,6.892011540154194,433837229.68,1.145095520251788,2420914000,1.2122694156008846,9.567244217698164,4.009415080140266,NaN,27.757168774200537,0.637,N/A,-1731754770.32,-16.435300758484548,Financial Services,Banks - Regional,34785,EQUITY,1425141.45,8.40%,0,0,1,1,1,-10,0,0,0,0,0,1,1,0,11,6
OFLX,80763000,9474000,2285000,N/A,99623000,99623000,18860000,11150000,80641000,60549000,5425000,13435000,N/A,15932000,122000,76481000,23142000,13668000,19174000,19097000,-77000,-6000,21072000,5822000,-1924000,5822000,-1924000,-13326000,-13326000,21072000,19103000,30282000,1.91,257000,-77000,105479000,1.91,41221000,6319000,80057000,0,N/A,40945000,19180000,N/A,30282000,80057000,25422000,64258000,19103000,19180000,0,23313000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39366000,N/A,N/A,N/A,N/A,2178000,N/A,N/A,N/A,0,2178000,N/A,N/A,N/A,1146000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.61,10094322,0.6092018316442135,18.110713980981995,18.643979057591622,4.450785711526318,0.2335227765189505,359458806.42,5.692668403423893,0,19.175290846491272,23.653158005522332,23.653158005522332,0,24.8564235701361,0.265,N/A,359458806.42,3.407870821869756,Industrials,Specialty Industrial Machinery,7945,EQUITY,282921.45,5.36%,1,1,1,0,0,-10,1,0,1,1,1,1,0,1,5,4
FMAO,335211000,33828000,N/A,N/A,3364723000,3364723000,3029512000,N/A,335211000,N/A,0,3029512000,N/A,N/A,0,3364723000,0,N/A,29727000,29727000,0,3789000,32474000,34150000,-44362000,34150000,-44362000,46038000,46038000,32474000,25938000,N/A,1.9,307000,0,163572000,1.9,N/A,6635000,130999000,143000,5421000,130999000,25938000,N/A,13418729,130999000,32573000,N/A,25938000,25433000,505000,32573000,N/A,N/A,N/A,N/A,N/A,3789000,N/A,N/A,N/A,N/A,125578000,N/A,6328000,N/A,N/A,85912000,68687000,15621000,163572000,944000,85639000,N/A,N/A,N/A,N/A,362000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.7,13700311,0,15.857237179957451,13.526315789473685,1.0503772033137337,9.037627046845122,352097992.7,1.110648513688013,3364723000,0.7708806935964714,7.737812899934668,7.737812899934668,NaN,20.36963128971848,0.68,N/A,-3012625007.3,-18.417730463037685,Financial Services,Banks - Regional,3764,EQUITY,96734.8,7.39%,0,0,1,0,1,-10,0,0,0,0,0,1,1,1,9,4
CIFRW,681953000,N/A,N/A,N/A,855446000,855446000,173493000,123532000,681953000,N/A,41715000,131778000,N/A,N/A,0,168205000,687241000,678360000,-44635000,-44635000,0,0,-87511000,-66128000,-192129000,-66128000,-192129000,213512000,213512000,-87511000,-44635000,323103303,-0.14,-937000,0,151270000,-0.14,62364000,318000,195587000,0,N/A,132605000,-44635000,N/A,323103303,195587000,-44317000,88906000,-44635000,-44635000,0,-43699000,N/A,N/A,N/A,8246000,N/A,N/A,N/A,N/A,N/A,N/A,30157000,N/A,1255000,8881000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102448000,N/A,N/A,N/A,N/A,N/A,N/A,-43933000,-384000,N/A,0.949999,N/A,0.5877305480267072,-29.506842070470018,0,NaN,0.25440609543472936,NaN,1.2764270212023252,168205000,-5.217746064625938,-6.5451724678973475,-6.5451724678973475,0,-0.7175575964076991,,N/A,NaN,NaN,Financial Services,Capital Markets,67465,EQUITY,64091.682535,N/A,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4
