Ticker,income_loss_from_continuing_operations_before_tax,net_income_loss_attributable_to_noncontrolling_interest,income_tax_expense_benefit_current,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_attributable_to_parent,basic_earnings_per_share,net_income_loss,income_loss_from_continuing_operations_after_tax,preferred_stock_dividends_and_other_adjustments,income_tax_expense_benefit,diluted_earnings_per_share,basic_average_shares,income_tax_expense_benefit_deferred,net_income_loss_available_to_common_stockholders_basic,gross_profit,research_and_development,costs_and_expenses,diluted_average_shares,operating_expenses,revenues,selling_general_and_administrative_expenses,operating_income_loss,cost_of_revenue,benefits_costs_expenses,other_current_liabilities,accounts_payable,noncurrent_liabilities,inventory,equity_attributable_to_noncontrolling_interest,current_assets,assets,liabilities_and_equity,noncurrent_assets,current_liabilities,long_term_debt,other_noncurrent_assets,other_current_assets,other_noncurrent_liabilities,liabilities,equity_attributable_to_parent,equity,fixed_assets,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss,other_comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_parent,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_continuing,net_cash_flow_from_investing_activities,net_cash_flow,exchange_gains_losses,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,nonoperating_income_loss,depreciation_and_amortization,wages,intangible_assets,prepaid_expenses,noninterest_expense,provision_for_loan_lease_and_other_losses,noninterest_income,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,other_operating_expenses,common_stock_dividends,income_loss_from_discontinued_operations_net_of_tax,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,net_cash_flow_from_financing_activities_discontinued,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,undistributed_earnings_loss_allocated_to_participating_securities_basic,interest_expense_operating,cash,interest_and_dividend_income_operating,accounts_receivable,interest_and_debt_expense,temporary_equity,redeemable_noncontrolling_interest,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,net_income_loss_attributable_to_redeemable_noncontrolling_interest,redeemable_noncontrolling_interest_preferred,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
NL,71227000,2317000,N/A,0,58269000,1.19,60586000,60586000,0,10641000,1.19,146525000,10380000,58269000,43923000,N/A,79463000,146525000,34910000,150690000,24295000,9013000,106767000,79463000,30275000,3291000,147154000,28008000,18893000,225577000,585650000,585650000,360073000,33566000,N/A,335812000,197569000,N/A,180720000,386037000,404930000,24261000,2327000,-550000,60036000,N/A,57709000,38130000,-41063000,81407000,84340000,81407000,N/A,38130000,84340000,-41063000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10615000,0.74,N/A,N/A,N/A,N/A,N/A,28810000,42417000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.87,48847734,0.291479195699781,40.205720353042665,5.773109243697479,0.828745542636999,0.4462993603832761,335583932.58,6.720401596853959,0,10.345086655852471,14.962092213468994,14.962092213468994,0,14.939559436730454,0.553,N/A,335583932.58,2.226982099542106,Industrials,Security & Protection Services,11496,EQUITY,78977.52,17.32%,1,0,1,1,1,0,1,0,0,0,1,1,0,1,29,37
NECB,68427000,0,N/A,0,48959000,3.71,48959000,48959000,0,19468000,3.6899999999999995,12895000,-90000,48959000,N/A,N/A,88240000,13023000,88240000,156667000,N/A,68427000,N/A,88240000,N/A,N/A,0,N/A,0,1967957000,1967957000,1967957000,0,1658334000,7000000,N/A,N/A,N/A,1658334000,309623000,309623000,24945000,0,12829000,49102000,149000,49108000,50419000,193080000,-8934000,-252433000,-8934000,N/A,50419000,-252433000,193080000,N/A,N/A,N/A,N/A,N/A,38374000,-81000,4020000,102781000,102700000,N/A,0.32999999999999996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48960000,N/A,156667000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.26,12704489,0,31.25035904178927,6.303523035230354,0.9544071795053986,5.35597807656408,295506414.14000005,1.1867072616252214,1967957000,2.487808422643381,15.812455793012791,15.462869090369303,NaN,28.450757741827054,0.673,N/A,-1665450585.86,-10.630513036312689,Financial Services,Banks - Regional,26872,EQUITY,625042.7200000001,15.86%,0,0,1,1,1,0,0,0,1,1,0,1,1,1,26,34
PNRG,73295000,0,N/A,0,59010000,33.18,59010000,59010000,0,14285000,23.240000000000002,3532063,12025000,59010000,203551000,N/A,140676000,5052806,130256000,213971000,N/A,73153000,10420000,140676000,25848000,42177000,73725000,N/A,0,37024000,345588000,345588000,308564000,68025000,N/A,306525000,35891000,N/A,141750000,203838000,203838000,2039000,0,0,59010000,N/A,59010000,130293000,-8197000,-18208000,-140304000,-18208000,N/A,130293000,-140304000,-8197000,N/A,N/A,N/A,N/A,1133000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,195.9,1717500,0.9513018119277846,27.578503628996454,8.429432013769363,1.6506159302975894,0.6954051746975539,336458250,0.5442704887908857,1133000,17.07524566825237,28.94945986518706,28.94945986518706,0,19.489733269663688,0.514,N/A,335325250,1.5671527917334591,Energy,Oil & Gas E&P,11665,EQUITY,2285173.5,11.86%,1,1,1,1,1,0,0,0,1,1,1,1,0,0,18,27
WEYS,39100000,0,N/A,0,28862000,3.05,28862000,28862000,0,10238000,3.02,9426000,2193000,28862000,133562000,N/A,251309000,9572000,96982000,290409000,96982000,36580000,156847000,251309000,16913000,6049000,33603000,72187000,0,197882000,314688000,314688000,116806000,22962000,N/A,88266000,125695000,N/A,56565000,258123000,258123000,28540000,0,3531000,32393000,3531000,32393000,52987000,-11028000,41582000,-377000,41582000,N/A,52987000,-377000,-11028000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.78,9499893,0.45990998901549196,9.938397225981287,11.516556291390728,1.2800342415825015,0.21913971246266314,330406278.54,8.617803327236304,0,9.171623957697783,11.181490994603347,11.181490994603347,0,26.184143222506396,0.679,N/A,330406278.54,1.1377274070018493,Consumer Cyclical,Footwear & Accessories,1960,EQUITY,68168.8,8.68%,1,1,0,0,1,0,1,0,0,0,1,1,1,1,12,20
AMCX,97960000,-4496000,N/A,0,36142000,0.81,31646000,31646000,0,66314000,0.63,44422000,36906000,36142000,1266898000,N/A,2297681000,49124000,1063722000,2500857000,785630000,203176000,1233959000,2402897000,555880000,88964000,2766460000,N/A,31225000,1685713000,4825409000,4825409000,3139696000,725493000,2342561000,2777854000,N/A,423899000,3491953000,1117049000,1148274000,135084000,-2008000,19386000,51032000,N/A,53040000,390287000,-512267000,-147235000,-25255000,-138810000,8425000,390287000,-25255000,-512267000,-105216000,103189000,80649000,226758000,N/A,N/A,N/A,N/A,N/A,N/A,174903000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,185182000,185182000,35599000,-15525000,N/A,7.3,44043270,0.5065855424760393,1.2654062187482131,11.587301587301587,0.241114720695696,3.0410450815746066,321515871,2.323541371177944,1685713000,0.6558200558750564,2.755962427086218,0.9065452821459622,0,67.69497754185382,1.33,N/A,978363871,0.3912114411179848,Communication Services,Entertainment,488450,EQUITY,3565685,8.63%,1,1,0,0,1,0,1,0,0,0,1,1,0,0,12,18
NVEC,17881720,0,N/A,0,14985123,3.0999999999999996,14985123,14985123,0,2896597,3.0999999999999996,9669182,N/A,14985123,21229861,3407147,7806488,9678249,5424197,25688208,N/A,15805664,4458347,7806488,596427,154683,864966,7787624,0,30272105,64588564,64588564,1974996,751110,N/A,N/A,21748000,N/A,1616076,62972488,62972488,N/A,0,457959,15443082,N/A,15443082,14960433,-19222096,800774,5062437,800774,N/A,14960433,5062437,-19222096,N/A,N/A,N/A,N/A,736481,N/A,0,N/A,N/A,N/A,2017050,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.84,4837166,0.8264438297914748,58.3346374336427,22.20645161290323,5.287872815823952,0.02566320708179737,332990507.44,40.30315799283727,736481,23.200892034075878,23.79630133082879,23.79630133082879,16.0488427126301,16.19864867585445,1.057,N/A,332254026.44,12.934106825980232,Technology,Semiconductors,13216,EQUITY,909789.4400000001,4.50%,1,1,1,1,0,0,1,1,1,1,1,1,0,1,4,15
IBEX,41686000,0,N/A,0,33761000,1.95,33761000,33761000,0,7925000,1.88,52057000,N/A,33761000,N/A,N/A,473487000,53763000,473487000,513677000,96318000,40190000,N/A,471991000,43677000,N/A,57412000,N/A,0,188530000,306275000,306275000,117745000,77772000,N/A,N/A,180328000,N/A,135184000,171091000,171091000,N/A,0,34822000,34822000,1061000,34822000,34978000,-24362000,183000,-10433000,276000,93000,34978000,-10433000,-24362000,N/A,N/A,34095000,N/A,8202000,N/A,N/A,N/A,N/A,N/A,377169000,N/A,N/A,N/A,N/A,N/A,N/A,883000,40803000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.31,13191924,0,6.572418075950451,13.462765957446809,1.9515205150475476,0.7901292294743733,333887596.44,2.4241372216221775,8202000,11.023100155089379,19.732773787048995,19.732773787048995,NaN,19.011178813030753,0.743,N/A,325685596.44,0.6340279912084832,Technology,Information Technology Services,77574,EQUITY,1963397.94,7.43%,0,0,0,0,0,0,1,0,1,1,0,1,1,0,9,14
CZNC,27672000,0,N/A,340000,22045000,1.44,22045000,22045000,170000,5627000,1.44,45739701,-737000,21875000,N/A,N/A,97313000,15231588,97313000,124985000,N/A,27672000,N/A,97313000,N/A,N/A,0,N/A,0,2670822000,2670822000,2670822000,0,2393517000,N/A,N/A,N/A,N/A,2393517000,277305000,277305000,21537000,0,29762000,51807000,29762000,51807000,28707000,132210000,133055000,-27862000,133055000,N/A,28707000,-27862000,132210000,N/A,N/A,N/A,N/A,N/A,74227000,3677000,27340000,74559000,78236000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,170000,N/A,N/A,124985000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.35,15433494,0,17.638116573988878,14.826388888888891,1.1882407345702386,8.631351760696706,329505096.90000004,1.115856707932302,2670822000,0.8254013183956099,7.94973044121094,7.94973044121094,NaN,20.334634287366292,0.435,N/A,-2341316903.1,-18.732783158779053,Financial Services,Banks - Regional,13278,EQUITY,283485.30000000005,6.74%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,8,12
PKOH,46600000,-2200000,N/A,0,16800000,1.2599999999999998,14600000,41300000,0,5300000,1.2199999999999998,12800000,N/A,16800000,281000000,N/A,1610500000,13100000,191100000,1657100000,188700000,89900000,1376100000,1610500000,N/A,N/A,702300000,430800000,7100000,886000000,1406600000,1406600000,520600000,361300000,N/A,446200000,455200000,N/A,1063600000,335900000,343000000,N/A,-2200000,21200000,35800000,N/A,38000000,37700000,-500000,12500000,-27100000,8300000,1800000,34100000,-25200000,0,N/A,N/A,N/A,74400000,N/A,N/A,N/A,N/A,N/A,N/A,2400000,0.5,-26700000,-1900000,-3600000,-6000000,-500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.2,14041891,0.16957335103494056,0.881057268722467,19.836065573770494,0.99071067696793,3.100874635568513,339813762.2,2.452255743149737,0,1.0379638845442911,4.256559766763848,12.040816326530612,0,11.373390557939913,1.157,N/A,339813762.2,0.2050653323275602,Industrials,Specialty Industrial Machinery,18340,EQUITY,443828,5.04%,0,0,0,0,1,0,1,0,0,0,1,0,0,1,5,9
TCMD,23489000,0,5669000,0,16960000,0.71,16960000,16960000,0,6529000,0.7,23883729,1067000,16960000,216688000,8832000,269495000,24138244,194507000,292984000,N/A,22181000,76296000,269495000,17133000,5648000,40623000,18666000,0,177563000,297924000,297924000,120361000,40704000,N/A,71969000,158897000,N/A,81327000,216597000,216597000,5603000,0,0,16960000,N/A,16960000,40655000,-4824000,33334000,-2497000,33334000,N/A,40655000,-2497000,-4824000,N/A,N/A,17923000,42789000,N/A,N/A,N/A,N/A,N/A,N/A,185675000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.29,23585175,0.7395898752150288,5.788712011577424,20.414285714285715,1.5560333280239338,0.3754761146276264,337032150.75,4.3622985455974845,0,5.692727004202414,7.830210021376104,7.830210021376104,4.075906372295651,27.795989612158884,1.242,N/A,337032150.75,1.150343195362204,Healthcare,Medical Devices,138580,EQUITY,1980308.2,4.90%,1,1,0,0,0,0,1,0,0,0,1,1,0,0,4,9
