Ticker,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,diluted_earnings_per_share,net_income_loss_attributable_to_parent,income_tax_expense_benefit,income_loss_from_equity_method_investments,revenues,diluted_average_shares,benefits_costs_expenses,preferred_stock_dividends_and_other_adjustments,income_loss_from_continuing_operations_before_tax,costs_and_expenses,operating_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,basic_earnings_per_share,interest_expense_operating,basic_average_shares,net_income_loss_attributable_to_noncontrolling_interest,income_loss_from_continuing_operations_after_tax,net_income_loss,operating_income_loss,income_loss_before_equity_method_investments,net_income_loss_available_to_common_stockholders_basic,net_cash_flow_from_operating_activities_continuing,net_cash_flow,exchange_gains_losses,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities,net_cash_flow_continuing,noncurrent_liabilities,equity_attributable_to_noncontrolling_interest,noncurrent_assets,equity_attributable_to_parent,liabilities,current_liabilities,long_term_debt,assets,equity,liabilities_and_equity,current_assets,noncurrent_prepaid_expenses,fixed_assets,accounts_payable,other_noncurrent_assets,inventory,other_current_liabilities,other_current_assets,cost_of_revenue,gross_profit,income_tax_expense_benefit_deferred,provision_for_loan_lease_and_other_losses,common_stock_dividends,intangible_assets,wages,depreciation_and_amortization,other_operating_expenses,income_tax_expense_benefit_current,research_and_development,nonoperating_income_loss,selling_general_and_administrative_expenses,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,interest_and_dividend_income_operating,noninterest_expense,accounts_receivable,other_noncurrent_liabilities,prepaid_expenses,noninterest_income,other_comprehensive_income_loss_attributable_to_parent,commitments_and_contingencies,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
ESGRO,1383000000,1377000000,6000000,349000000,64.58,1028000000,-235000000,-38000000,1391000000,14756524,554000000,36000000,850000000,554000000,554000000,36000000,65.77,90000000,14326251,6000000,1085000000,1034000000,837000000,837000000,992000000,580000000,152000000,4000000,-352000000,-80000000,580000000,-80000000,-352000000,148000000,0,42000000,0,6057000000,14157000000,14157000000,1833000000,20256000000,6099000000,20256000000,20256000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.5,N/A,0,74.33501078360891,0.31743573861876745,NaN,2.321200196753566,NaN,1.4308116126297945,20256000000,5.104660347551343,16.953598950647645,13.678769541099346,NaN,-27.647058823529413,0.613,N/A,NaN,NaN,Financial Services,Insurance - Diversified,4631,EQUITY,94935.5,315.02%,0,0,1,1,0,0,0,0,1,0,0,0,1,1,625,630
ESGRP,1383000000,1377000000,6000000,349000000,64.58,1028000000,-235000000,-38000000,1391000000,14756524,554000000,36000000,850000000,554000000,554000000,36000000,65.77,90000000,14326251,6000000,1085000000,1034000000,837000000,837000000,992000000,580000000,152000000,4000000,-352000000,-80000000,580000000,-80000000,-352000000,148000000,0,42000000,0,6057000000,14157000000,14157000000,1833000000,20256000000,6099000000,20256000000,20256000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.04,N/A,0,74.33501078360891,0.32579746051409103,NaN,2.321200196753566,NaN,1.4308116126297945,20256000000,5.104660347551343,16.953598950647645,13.678769541099346,NaN,-27.647058823529413,0.613,N/A,NaN,NaN,Financial Services,Insurance - Diversified,2757,EQUITY,58007.28,306.94%,0,0,1,1,0,0,0,0,1,0,0,0,1,1,608,613
BRY,83561000,83561000,0,0,1.08,83561000,32871000,N/A,806733000,155077000,690301000,0,116432000,734663000,734663000,0,1.09,N/A,153411000,0,83561000,83561000,72070000,N/A,83561000,247877000,-7729000,N/A,-121135000,-134471000,247877000,-134471000,-121135000,-7729000,613253000,0,1380284000,732209000,784939000,171686000,N/A,1517148000,732209000,1517148000,136864000,N/A,81367000,N/A,1298917000,N/A,N/A,129686000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-37946000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7178000,N/A,N/A,N/A,4.07,76938994,0,10.357949904119454,3.7685185185185186,0.42766710813442615,1.0720149574779878,313141705.58000004,0.7971762403457475,7178000,5.50776852357186,11.412178763167347,11.412178763167347,NaN,28.231929366497184,1.685,N/A,305963705.58000004,0.3792626625909688,Energy,Oil & Gas E&P,642041,EQUITY,2613106.87,26.54%,0,0,1,0,1,0,0,0,0,0,0,1,0,0,48,51
ENGN,-54739000,-54739000,0,403000,1.46,-55142000,-19000,N/A,0,37782346,N/A,0,-55161000,N/A,62297000,0,1.46,N/A,37782346,0,-55142000,-55142000,-62297000,N/A,-55142000,-48281000,91483000,1000,265716000,-125953000,-48281000,-125953000,265716000,91482000,23900000,0,63811000,272612000,38561000,14661000,N/A,311173000,272612000,311173000,247362000,N/A,1169000,1411000,62642000,N/A,9775000,N/A,N/A,N/A,N/A,N/A,0,N/A,3475000,N/A,23982000,-19000,38315000,7136000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-403000,N/A,6.01,50977560,0,-Infinity,4.116438356164384,1.1238505113494637,0.14145011958387746,306375135.59999996,16.872109678739513,247362000,-17.720689134340063,-20.22728273150118,-20.22728273150118,Infinity,0.0344446257319483,-0.606,N/A,59013135.599999964,N/A,Healthcare,Biotechnology,11886,EQUITY,71434.86,24.29%,0,0,0,0,1,0,1,0,0,0,0,0,0,1,43,46
FSTR,42218000,42380000,-162000,-432000,3.89,42758000,-29366000,N/A,537459000,11159000,524175000,0,13284000,524175000,103613000,0,3.99,N/A,10752000,-108000,42650000,42650000,15392000,N/A,42758000,20413000,973000,N/A,-11755000,-7685000,20413000,-7685000,-11755000,973000,85719000,585000,171090000,181851000,162108000,76389000,N/A,344544000,182436000,344544000,173454000,N/A,N/A,40008000,N/A,73877000,25138000,99577000,418537000,118922000,-30016000,N/A,N/A,N/A,11243000,N/A,-1351000,N/A,N/A,N/A,98932000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.45,10830095,0.2212671106075068,7.935489032651794,7.056555269922879,1.629536427843189,0.8885746234295863,297286107.75,2.2706672426658288,0,12.378680226618371,23.378061347541053,23.378061347541053,0,-221.06293285155073,0.969,N/A,297286107.75,0.5531326254653843,Industrials,Railroads,26236,EQUITY,720178.2,14.17%,1,0,0,0,1,0,1,0,1,1,1,0,0,1,23,30
REFI,38523234,38523234,0,0,1.9999999999999998,38523234,0,N/A,55721994,19606245,17198759,0,38523234,17198759,17198759,0,2.05,7432876,19127257,0,38523234,38523234,38523235,N/A,38523234,36835537,-1941724,N/A,-30005817,-8771444,36835537,-8771444,-30005817,-1941724,0,0,0,295466758,70445979,70445979,54000000,365912737,295466758,365912737,365912737,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1138284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56860278,55721994,63154870,17263209,N/A,N/A,N/A,N/A,N/A,N/A,16.1,19634482,0,69.134701102046,8.050000000000002,1.069884011114374,0.23842268916085646,316115160.20000005,5.1942316963186785,365912737,10.527983889229853,13.038094119542206,11.023433021346197,NaN,0,0.273,N/A,4202423.200000048,0.07541767439262938,Real Estate,REIT - Mortgage,83204,EQUITY,1339584.4000000001,12.42%,0,0,1,1,1,0,1,0,0,0,0,0,0,0,19,23
RBB,44024000,44024000,0,9671000,1.8599999999999999,34353000,13370000,N/A,5406000,37213437,-42317000,0,47723000,-42317000,-42317000,0,1.8599999999999999,N/A,37149203,0,34353000,34353000,47723000,N/A,34353000,32209000,18599000,N/A,-105045000,91435000,32209000,91435000,-105045000,18599000,0,72000,0,509656000,3480749000,3480749000,119433000,3990477000,509728000,3990477000,3990477000,N/A,24839000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3300000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95630000,99056000,216938000,67907000,N/A,N/A,N/A,20000000,N/A,N/A,17.71,17720416,0,635.4605993340732,9.521505376344088,0.6156784939418671,6.82863998053864,313828567.36,1.1464420445139825,3990477000,0.8608745270302273,6.739476740536129,5.460128647516296,NaN,28.015841418184106,0.947,N/A,-3557215432.64,-658.0124736662967,Financial Services,Banks - Regional,4280,EQUITY,75798.8,10.50%,0,0,1,1,1,0,0,0,0,0,0,1,0,1,16,21
SMLR,40899000,40899000,0,0,5.13,40899000,6985000,N/A,56294000,7980118,8410000,0,47884000,35361000,30602000,0,5.66,N/A,7228961,0,40899000,40899000,20933000,N/A,40899000,24410000,-48380000,N/A,117192000,-189982000,24410000,-189982000,117192000,-48380000,2765000,0,217140000,230750000,9078000,6313000,N/A,239828000,230750000,239828000,22688000,N/A,N/A,140000,N/A,358000,2430000,22330000,4759000,51535000,5727000,N/A,N/A,N/A,3743000,579000,25231000,1258000,4792000,26951000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.92,9596000,0.9154616833055033,72.6525029310406,8.366471734892787,1.7848767930660887,0.03934127843986999,411860320,3.593853952162205,0,17.053471654685858,17.724377031419287,17.724377031419287,9.298534976229748,14.587336062150197,1.335,N/A,411860320,7.316238320247273,Healthcare,Medical Devices,755273,EQUITY,32416317.16,11.95%,1,1,1,1,1,-10,1,0,1,1,1,1,0,0,18,18
BCML,29982000,29982000,0,6092000,2.1,23890000,8944000,N/A,129767000,22369166,96933000,0,32834000,96933000,96933000,0,2.1,38673000,22369166,0,23890000,23890000,32834000,N/A,23890000,30778000,-650000,N/A,-39582000,8154000,30778000,8154000,-39582000,-650000,0,0,0,321681000,2240659000,2240659000,N/A,2562340000,321681000,2562340000,2562340000,N/A,13777000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3994000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87100000,91094000,129767000,63230000,N/A,N/A,N/A,8964000,N/A,N/A,27.5,11121475,0,18.409919316929575,13.095238095238095,0.9507573108141295,6.965468896204625,305840562.5,1.1435653528716327,2562340000,0.9323508980072902,7.426612078425521,7.426612078425521,NaN,27.240056039471277,0.822,N/A,-2256499437.5,-17.38885415783674,Financial Services,Banks - Regional,32115,EQUITY,883162.5,7.64%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,10,14
CBAN,44841000,44841000,0,44841000,1.26,22034000,5766000,308000,134453000,35139988,106653000,0,27800000,106653000,106653000,0,1.26,N/A,35139988,0,22034000,22034000,27800000,27492000,22034000,32417000,3513000,N/A,-75779000,46875000,32417000,46875000,-75779000,3513000,0,0,0,276052000,2789051000,2789051000,N/A,3065103000,276052000,3065103000,3065103000,N/A,37983000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-25000,3900000,N/A,3249000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70578000,74478000,134453000,81149000,N/A,N/A,N/A,38371000,22807000,N/A,16.87,17520136,0,16.387882754568512,13.38888888888889,1.0706848503905062,10.103353715966557,295564694.32,1.0989770355579729,3065103000,0.71886654379967,7.981829510382102,7.981829510382102,NaN,20.741007194244602,0.626,N/A,-2769538305.68,-20.5985608776301,Financial Services,Banks - Regional,48793,EQUITY,823137.91,7.47%,0,0,1,0,1,0,0,0,0,0,0,1,1,1,9,14
FLIC,29923000,29923000,0,7831000,0.98,22092000,1843000,N/A,-69142000,67837519,-93077000,0,23935000,-93077000,-93077000,0,0.97,N/A,67612685,0,22092000,22092000,23935000,N/A,22092000,22285000,-10249000,N/A,-62353000,29819000,22285000,29819000,-62353000,-10249000,0,0,0,376196000,3833128000,3833128000,430000000,4209324000,376196000,4209324000,4209324000,N/A,30687000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2552000,1300000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76682000,77982000,165382000,63026000,N/A,N/A,N/A,10279000,N/A,N/A,13.17,22595349,0,-31.95163576407972,13.438775510204081,0.7910258118906103,10.189177981690396,297580746.33,1.09814334402608,4209324000,0.5248348665961565,5.872470733341131,2.7402765580578423,NaN,7.700020889910173,0.749,N/A,-3481743253.67,N/A,Financial Services,Banks - Regional,26411,EQUITY,347832.87,7.44%,0,0,0,0,1,0,0,0,0,0,0,0,1,1,9,12
LWAY,13154000,13154000,0,0,0.86,13154000,5736000,N/A,181979000,15234000,163089000,0,18890000,163089000,29577000,0,0.89,N/A,14748000,0,13154000,13154000,18892000,N/A,13154000,20338000,7926000,N/A,-5777000,-6635000,20338000,-6635000,-5777000,7926000,3080000,0,46543000,71523000,19786000,16706000,N/A,91309000,71523000,91309000,44766000,N/A,26310000,11117000,13740000,8441000,842000,36325000,133510000,48469000,N/A,N/A,N/A,6493000,4747000,N/A,N/A,N/A,N/A,-2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.15,N/A,0.266343918803818,7.228306562845163,24.593023255813954,NaN,0.27663828418830305,NaN,2.6796360589009938,0,14.406027883341183,18.391286718957538,18.391286718957538,0,30.365272631021707,0.996,N/A,NaN,NaN,Consumer Defensive,Packaged Foods,25880,EQUITY,547362,4.07%,1,0,0,0,0,0,1,0,1,1,1,1,0,1,3,10
