Ticker,equity_attributable_to_parent,other_noncurrent_assets,equity_attributable_to_noncontrolling_interest,accounts_payable,current_assets,fixed_assets,current_liabilities,liabilities_and_equity,noncurrent_assets,liabilities,noncurrent_liabilities,assets,other_current_liabilities,equity,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities_continuing,net_cash_flow,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_from_investing_activities,net_cash_flow_continuing,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,comprehensive_income_loss,cost_of_revenue,net_income_loss_attributable_to_parent,income_tax_expense_benefit_deferred,operating_expenses,diluted_average_shares,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss,basic_average_shares,costs_and_expenses,preferred_stock_dividends_and_other_adjustments,research_and_development,income_tax_expense_benefit,net_income_loss_available_to_common_stockholders_basic,selling_general_and_administrative_expenses,basic_earnings_per_share,participating_securities_distributed_and_undistributed_earnings_loss_basic,benefits_costs_expenses,other_operating_expenses,diluted_earnings_per_share,operating_income_loss,income_tax_expense_benefit_current,income_loss_from_continuing_operations_after_tax,income_loss_from_continuing_operations_before_tax,revenues,gross_profit,other_current_assets,temporary_equity_attributable_to_parent,prepaid_expenses,temporary_equity,interest_expense_operating,nonoperating_income_loss,intangible_assets,long_term_debt,wages,other_noncurrent_liabilities,exchange_gains_losses,inventory,other_comprehensive_income_loss_attributable_to_parent,income_loss_before_equity_method_investments,cash,noncurrent_prepaid_expenses,provision_for_loan_lease_and_other_losses,noninterest_expense,interest_and_dividend_income_operating,noninterest_income,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,depreciation_and_amortization,common_stock_dividends,redeemable_noncontrolling_interest,net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_loss_from_equity_method_investments,undistributed_earnings_loss_allocated_to_participating_securities_basic,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
PCB,362300000,N/A,0,N/A,2889833000,8414000,2527533000,2889833000,0,2527533000,0,2889833000,N/A,362300000,44655000,-299878000,714000,255937000,44655000,255937000,-299878000,714000,0,31681000,31681000,31681000,N/A,24688000,3019000,-31501000,14304488,0,24688000,14211612,-31501000,536000,N/A,9547000,24152000,N/A,1.6900000000000002,584000,-31501000,N/A,1.6800000000000002,34235000,N/A,24688000,34235000,2734000,N/A,N/A,N/A,N/A,N/A,63949000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6993000,N/A,N/A,N/A,3097000,60598000,175449000,10553000,84280000,87377000,N/A,N/A,N/A,N/A,N/A,48000,19.65,14380651,0,902.9992684711045,11.69642857142857,0.7799607842947832,6.976353850400221,282579792.15,1.143341353011019,2889833000,0.8543054218011906,6.814242340601711,6.814242340601711,NaN,27.886665693004236,0.637,N/A,-2607253207.85,-953.6405295720556,Financial Services,Banks - Regional,11751,EQUITY,230907.15,8.55%,0,0,1,1,1,0,0,0,0,0,0,1,1,1,12,18
FNLC,256783000,N/A,0,N/A,3142563000,N/A,2885780000,3142563000,0,2885780000,0,3142563000,N/A,256783000,25364000,-175758000,5242000,155636000,25364000,155636000,-175758000,5242000,0,44393000,44393000,44393000,N/A,26442000,34000,112661000,11138481,0,26442000,11051621,112661000,0,N/A,5552000,26442000,N/A,2.39,0,112661000,N/A,2.38,31994000,N/A,26442000,31994000,144655000,N/A,N/A,N/A,N/A,N/A,23334000,N/A,N/A,95000000,N/A,N/A,N/A,N/A,17951000,N/A,N/A,N/A,741000,46198000,144655000,16026000,62166000,62210000,N/A,N/A,N/A,N/A,N/A,N/A,26.26,11155528,0,18.279354325809685,11.033613445378153,1.1408238289917947,11.238205021360448,292944165.28000003,1.0889821815938845,3142563000,0.8414151124416599,10.297410654132088,7.516565610049376,NaN,17.353253735075327,0.524,N/A,-2754618834.72,-19.042679718779162,Financial Services,Banks - Regional,4342,EQUITY,114020.92000000001,9.06%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,13,17
NREF,335844000,N/A,0,N/A,5685839000,N/A,5153068000,5685839000,0,5153068000,0,5685839000,N/A,335844000,28053000,837792000,25788000,-840057000,28053000,-840057000,837792000,25788000,0,38741000,0,38741000,N/A,38741000,N/A,34064000,21922000,7668000,38741000,17394000,-28470000,-3496000,N/A,N/A,22952000,N/A,1.33,-3496000,-28470000,N/A,1.33,-23793000,N/A,38741000,38741000,10271000,N/A,N/A,110692000,N/A,196927000,N/A,62534000,N/A,815529000,N/A,N/A,N/A,N/A,N/A,42738000,N/A,N/A,-2657000,N/A,N/A,N/A,12928000,10271000,N/A,N/A,86235000,7668000,-3997000,N/A,16.45,17461129,0,377.18819978580467,12.368421052631577,0.5391351482156498,15.343635735639166,287235572.05,1.1033890878210806,5685839000,0.6813594264628315,11.53541525231953,3.3647653714304573,NaN,0,1.662,N/A,-4583074427.95,-446.21501586505696,Real Estate,REIT - Mortgage,20325,EQUITY,334346.25,8.09%,0,0,1,1,1,0,0,0,0,0,0,0,0,1,11,15
GHI,306026766,N/A,0,N/A,1579700160,4906264,1196267250,1579700160,0,1196267250,0,1579700160,N/A,306026766,17994177,-105199890,-16428475,70777238,17994177,70777238,-105199890,-16428475,0,-8357266,-29680599,-8357266,N/A,21323333,N/A,70176762,N/A,0,21323333,N/A,70176762,2991671,N/A,32447,18331662,N/A,0.76,2991671,69915619,N/A,0.76,21094637,N/A,21323333,21355780,91271399,N/A,N/A,77406144,N/A,77406144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1036308,N/A,N/A,N/A,-58995699,-60032007,N/A,N/A,N/A,N/A,N/A,N/A,12.55,23270685,0,23.3625574206439,16.513157894736842,0.7616641376714378,3.909028173045491,292047096.75,1.3205244563871492,1579700160,1.3498341989153182,6.9677999995595155,6.9677999995595155,NaN,0.15193544792089075,0.753,N/A,-1287653063.25,-14.107957995143693,Financial Services,Mortgage Finance,37595,EQUITY,471817.25,6.06%,0,0,1,1,1,0,0,0,0,0,0,0,1,1,7,12
PCYO,133587000,N/A,0,2230000,28202000,N/A,7912000,149688000,121486000,16101000,8189000,149688000,5682000,133587000,9114000,-8892000,-297000,-519000,9114000,-519000,-8892000,-297000,0,13485000,0,13485000,9030000,13485000,N/A,7878000,72444166,0,13485000,72243326,11075000,0,N/A,4553000,13485000,N/A,0.55,0,11075000,N/A,0.55,12205000,N/A,13485000,18038000,29113000,20083000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6880000,N/A,1309000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.63,24088734,0.6898292858860303,46.31951361934531,21.145454545454545,2.097149995283972,0.1205281951088055,280151976.42,3.564459049544995,28202000,9.008738175404842,10.094545127894182,9.600119601045085,0,25.241157556270092,1.049,N/A,258829976.42000002,8.890529193830936,Utilities,Utilities - Regulated Water,18197,EQUITY,211631.11000000002,4.73%,1,1,1,1,0,0,1,0,0,0,1,1,0,1,4,12
SFST,318748000,N/A,0,N/A,4109849000,91533000,3791101000,4109849000,0,3791101000,0,4109849000,N/A,318748000,24037000,-121631000,-10243000,87351000,24037000,87351000,-121631000,-10243000,0,14630000,14630000,14630000,N/A,13786000,N/A,-12758000,16214403,0,13786000,16174208,-12758000,0,N/A,4136000,13786000,N/A,1.7100000000000002,0,-12758000,N/A,1.7,17922000,N/A,13786000,17922000,5164000,N/A,N/A,N/A,N/A,N/A,118914000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,844000,N/A,N/A,N/A,-1150000,71073000,195491000,11268000,77727000,76577000,N/A,N/A,N/A,N/A,N/A,N/A,34.16,N/A,0,266.9635941130906,20.094117647058823,NaN,11.893724823371441,NaN,1.0840779499148137,4109849000,0.3354381146363285,4.325046745391344,4.325046745391344,NaN,23.077781497600714,0.878,N/A,NaN,NaN,Financial Services,Banks - Regional,7871,EQUITY,268873.36,4.98%,0,0,1,1,0,0,0,0,0,0,0,1,0,1,4,8
EM,822362000,1917497000,276710000,8263000,394582000,230090000,150345000,2542169000,2147587000,1443097000,1292752000,2542169000,142082000,1099072000,78133000,-13783000,62608000,-1742000,78133000,-1742000,-13783000,62608000,0,6273000,0,6273000,N/A,3367000,553000,259100000,92081976,2906000,6273000,91141215,267275000,0,N/A,8601000,3367000,34833000,0.04,0,267275000,224267000,0.04,23049000,N/A,6273000,14874000,282149000,N/A,N/A,N/A,N/A,N/A,12577000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14874000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.13,259575283,0,2.223293366271013,28.249999999999996,0.26687975836887845,1.3130140700518256,293320069.78999996,2.6245102929927833,394582000,0.24675778832957213,0.5707542363011704,0.5707542363011704,NaN,57.82573618394514,0.683,N/A,-101261930.21000004,-0.35889522986081834,Consumer Cyclical,Personal Services,289653,EQUITY,327307.88999999996,3.54%,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2,7
CZFS,298654000,N/A,0,N/A,3026468000,21237000,2727814000,3026468000,0,2727814000,0,3026468000,N/A,298654000,6221000,-79041000,-1670000,71150000,6221000,71150000,-79041000,-1670000,0,14552000,14552000,14552000,N/A,7536000,871000,-6740000,4751224,0,7536000,4749679,-6740000,0,N/A,1714000,7536000,N/A,1.59,0,-6740000,N/A,1.59,9250000,N/A,7536000,9250000,2510000,N/A,N/A,N/A,N/A,N/A,3890000,N/A,3083000,N/A,N/A,N/A,N/A,N/A,7016000,N/A,N/A,N/A,100000,16029000,38689000,3755000,21524000,21324000,N/A,0.49,N/A,N/A,N/A,N/A,60.47,4759612,0,300.2390438247012,38.0314465408805,0.9637029393210873,9.133693170022836,287813737.64,1.109484737595745,3026468000,0.24900312839917688,2.523321301573058,2.523321301573058,NaN,18.52972972972973,0.592,N/A,-2738654262.36,-1091.097315681275,Financial Services,Banks - Regional,5792,EQUITY,350242.24,2.63%,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,4
COFS,247746000,N/A,0,N/A,2726003000,27135000,2478257000,2726003000,0,2478257000,0,2726003000,N/A,247746000,-6412000,-60297000,44936000,111645000,-6412000,111645000,-60297000,44936000,0,3203000,-4145000,3203000,N/A,7348000,N/A,-5922000,8615500,0,7348000,8567548,-5922000,0,N/A,1925000,7348000,N/A,0.86,0,-5922000,N/A,0.85,9273000,N/A,7348000,9273000,3351000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,425000,15417000,31690000,4867000,19823000,20248000,N/A,N/A,N/A,N/A,N/A,N/A,31.79,8965483,0,219.27782751417487,37.4,1.1504230323395734,10.003217004512686,285012704.57,1.099967840300663,2726003000,0.26955216116783437,2.9659409233650593,2.9659409233650593,NaN,20.759193357058127,0.739,N/A,-2440990295.43,-728.4363758370636,Financial Services,Banks - Regional,47202,EQUITY,1500551.58,2.67%,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4
GWRS,48841000,19537000,0,1284000,28100000,346707000,17292000,402917000,374817000,354076000,336784000,402917000,16008000,48841000,18527000,-22945000,14413000,18831000,18527000,18831000,-22945000,14413000,0,6489000,0,6489000,N/A,6489000,2068000,42099000,48593995,0,6489000,48405607,43023000,0,N/A,2297000,6489000,N/A,0.27,0,43023000,N/A,0.27,9710000,N/A,6489000,8786000,51809000,N/A,N/A,N/A,N/A,N/A,N/A,-924000,8573000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.48,24176113,0,12.524850894632205,42.51851851851852,5.682557221187118,7.249564914723286,277541777.24,1.625028915105251,28100000,1.6105053894474544,13.285968755758482,13.285968755758482,NaN,26.14386524015479,1.004,N/A,249441777.24,4.814641804319713,Utilities,Utilities - Regulated Water,11195,EQUITY,128518.6,2.35%,0,0,1,0,0,0,1,0,0,0,0,1,0,1,-1,3
