Ticker,gross_profit,net_income_loss_attributable_to_parent,basic_average_shares,provision_for_loan_lease_and_other_losses,cost_of_revenue,nonoperating_income_loss,diluted_earnings_per_share,preferred_stock_dividends_and_other_adjustments,net_income_loss_available_to_common_stockholders_basic,income_tax_expense_benefit,operating_income_loss,costs_and_expenses,revenues,other_operating_expenses,diluted_average_shares,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_attributable_to_noncontrolling_interest,basic_earnings_per_share,operating_expenses,income_loss_from_continuing_operations_after_tax,benefits_costs_expenses,net_income_loss,income_loss_from_continuing_operations_before_tax,depreciation_and_amortization,noncurrent_assets,other_noncurrent_liabilities,other_noncurrent_assets,current_liabilities,fixed_assets,long_term_debt,other_current_assets,current_assets,inventory,liabilities,accounts_payable,equity_attributable_to_noncontrolling_interest,assets,liabilities_and_equity,equity_attributable_to_parent,other_current_liabilities,noncurrent_liabilities,equity,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_investing_activities,net_cash_flow,net_cash_flow_from_investing_activities_continuing,exchange_gains_losses,research_and_development,net_cash_flow_discontinued,net_cash_flow_from_operating_activities_discontinued,accounts_receivable,wages,intangible_assets,income_loss_from_discontinued_operations_net_of_tax,interest_expense_operating,selling_general_and_administrative_expenses,income_loss_from_equity_method_investments,income_tax_expense_benefit_current,income_tax_expense_benefit_deferred,income_loss_before_equity_method_investments,undistributed_earnings_loss_allocated_to_participating_securities_basic,cash,interest_income_expense_operating_net,interest_income_expense_after_provision_for_losses,other_comprehensive_income_loss_attributable_to_parent,common_stock_dividends,temporary_equity,redeemable_noncontrolling_interest,temporary_equity_attributable_to_parent,interest_and_dividend_income_operating,cost_of_revenue_goods,prepaid_expenses,net_cash_flow_from_investing_activities_discontinued,noninterest_income,noninterest_expense,interest_and_debt_expense,commitments_and_contingencies,cost_of_revenue_services,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,redeemable_noncontrolling_interest_preferred,noncurrent_prepaid_expenses,net_income_loss_attributable_to_redeemable_noncontrolling_interest,interest_payable,redeemable_noncontrolling_interest_common,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,other_operating_income_expenses,income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,long_term_investments,net_cash_flow_from_financing_activities_discontinued,stockPrice,totalShares,totalEmployees,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,profitPerEmployee,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,profitPerEmployeeCheck,totalPasses
AREN,75105000,126403000,51501624,N/A,67710000,-12032000,3.0999999999999996,0,126403000,1094000,43613000,2219000,33800000,27945000,51692314,0,0,3.11,31492000,30487000,2219000,126403000,31581000,3547000,76714000,3242000,76653000,17809000,61000,110531000,41997000,44646000,N/A,131582000,2000000,0,121360000,121360000,-10390000,15809000,113773000,-10390000,0,126403000,0,126403000,-1165000,17562000,-1165000,17562000,6750000,-9647000,6750000,-9647000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95916000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,168000,N/A,168000,N/A,N/A,2649000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.18,47465749,198,2.222041420118343,373.9733727810651,1.3483870967741935,-19.409785836431226,0,198406830.82,2.506934695940255,2649000,104.1554054054054,0,30.444073855863234,0,3.4641081663025237,0.827,N/A,306288830.82,9.061799728402367,Communication Services,Internet Content & Information,88158,EQUITY,368500.44,74.16%,638398.9898989899,1,1,1,1,1,0,1,1,0,1,1,0,0,1,143,2.703247525699617,155.70324752569962
INCR,1199571000,71221000,309713000,N/A,4219399000,-132491000,0.6900000000000001,0,71221000,11667000,215379000,5203591000,5418970000,372104000,310790000,0,0,0.7000000000000001,984192000,71221000,5336082000,71221000,82888000,N/A,6123621000,312903000,5278491000,1627158000,236697000,2641566000,N/A,1951760000,N/A,4581627000,137017000,0,8075381000,8075381000,3493754000,1490141000,2954469000,3493754000,88260000,88260000,0,88260000,-178490000,252934000,-178490000,252934000,-26654000,-101098000,-23712000,-101098000,2942000,N/A,N/A,N/A,N/A,N/A,608433000,N/A,113194000,612088000,N/A,N/A,-36697000,N/A,N/A,N/A,N/A,N/A,185551000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.125,54681335,320,0.22136513027383434,1.3142903540709767,1.6304347826086956,0.01760756535090908,1.3113765308032563,61516501.875,1.1994901539985667,1951760000,0.8819521951967344,2.0385236052681446,1.1608359466172913,0,14.07562011388862,0.58,N/A,751322501.875,0.1386467357957324,Healthcare,Drug Manufacturers - Specialty & Generic,57424,EQUITY,64602,61.33%,222565.625,1,0,0,0,1,0,0,0,0,0,1,1,0,1,117,2.1935115194143755,124.19351151941437
MSW,N/A,11665000,22690169,N/A,N/A,N/A,0.5,0,11665000,N/A,51200000,67637000,99838000,24694000,23331548,0,42963000,0.52,48638000,32201000,67637000,54628000,32201000,23944000,0,N/A,N/A,373379000,N/A,N/A,N/A,915136000,N/A,373379000,N/A,400310000,915136000,915136000,141447000,N/A,0,541757000,0,54628000,0,54628000,-93287000,57579000,-93287000,57579000,26576000,62284000,26576000,62284000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22427000,19178000,N/A,211000,N/A,N/A,31990000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-163000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.899,12975000,35,0,54.716640958352535,1.798,0.021530916997842205,0.6892001395459588,11664525,2.45095733825416,915136000,5.969385971046926,10.083487615296157,5.943808755585992,NaN,0,,N/A,-903471475,-9.04937473707406,Industrials,Engineering & Construction,262085,EQUITY,235614.415,55.62%,1560800,0,0,1,1,1,0,1,0,0,0,0,0,0,1,106,2.8778028923184524,113.87780289231846
GREE,N/A,11958000,15659000,N/A,N/A,11654000,0.75,0,11958000,0,304000,3262000,15220000,11847000,15891000,0,0,0.76,14916000,11958000,3262000,11958000,11958000,N/A,28767000,29646000,9032000,24480000,19735000,45849000,19189000,21800000,N/A,99975000,2467000,0,50567000,50567000,-49408000,22013000,75495000,-49408000,11958000,11958000,0,11958000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3069000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2611000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.54,15798997,35,0,78.5676741130092,2.0533333333333332,-0.49243959237370466,0,24330455.38,0.8905228758169934,2611000,23.647833567346293,0,0,NaN,0,3.26,N/A,67568455.38,4.439451733245729,Financial Services,Capital Markets,234924,EQUITY,361782.96,48.70%,341657.14285714284,0,0,1,1,1,0,0,1,0,0,0,0,0,1,92,2.4561905667800685,99.45619056678007
CLW,113100000,142200000,16229724,N/A,1443000000,-26600000,8.4,0,142200000,-16000000,-65200000,1218700000,1556100000,71900000,N/A,0,100000,8.4,178300000,-75800000,1218700000,142300000,337400000,N/A,1073500000,272600000,54900000,232400000,1015900000,273500000,43000000,487900000,283200000,778500000,N/A,0,1561400000,1561400000,783000000,200800000,546100000,783000000,100000,142400000,0,142400000,-846800000,-27800000,-846800000,-36300000,-8000000,873500000,-1100000,875100000,N/A,N/A,6900000,8500000,161700000,31600000,2700000,218100000,19200000,106400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.99,16038337,2200,0.07268170426065163,9.144656513077566,2.1416666666666666,0.3685396380508366,0.9942528735632183,288529682.63,2.0993975903614457,0,9.113615985653901,18.173690932311622,-7.174633222905821,0,-4.742145820983995,0.215,N/A,562029682.63,0.3611783835421888,Basic Materials,Paper & Paper Products,125590,EQUITY,2259364.0999999996,46.69%,64681.818181818184,0,0,0,0,1,0,1,1,1,0,1,0,0,0,88,1.0965174390280197,94.09651743902802
NRIM,201544000,63094000,11111558,3484000,46532000,N/A,11.12,0,63094000,18114000,81208000,166868000,248076000,N/A,11401857,0,0,11.31,120336000,63094000,166868000,63094000,78839000,N/A,0,N/A,N/A,2996669000,38346000,N/A,N/A,3312332000,N/A,2996669000,N/A,0,3312332000,3312332000,315663000,N/A,0,315663000,58420000,69347000,0,69347000,226816000,140313000,226816000,140313000,109816000,-257313000,109816000,-257313000,N/A,N/A,N/A,N/A,N/A,N/A,950000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,131076000,127592000,5983000,N/A,N/A,N/A,N/A,174124000,N/A,N/A,N/A,73952000,120336000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.13,22090668,503,0.8124284493461681,25.433334945742438,2.439748201438849,1.8986064975622736,9.49325388151288,599319822.84,1.1053379602485294,3312332000,1.9048211350794546,19.987771769260256,19.987771769260256,0,22.975938304646178,0.991,N/A,-2713012177.16,-10.936213810122704,Financial Services,Banks - Regional,179286,EQUITY,4864029.18,40.99%,125435.38767395627,1,1,1,1,1,-10,0,0,1,1,1,1,0,0,76,1.7145778365377788,76.71457783653779
ORMP,N/A,43809000,41515629,N/A,N/A,68090000,1,0,43809000,11936000,-13011000,N/A,N/A,N/A,42915789,0,42000,1.04,N/A,43808000,N/A,43851000,55744000,N/A,84376000,N/A,83762000,6119000,614000,N/A,N/A,136117000,N/A,18163000,560000,-952000,220493000,220493000,203282000,5326000,12044000,202330000,0,43851000,0,43851000,-1927000,-10590000,-1927000,-10590000,10034000,22551000,10075000,22551000,41000,5854000,N/A,N/A,N/A,233000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.95,39802455,13,0,Infinity,2.95,0.5803254201057678,0.0897691889487471,117417242.25,22.244974669063573,136117000,19.8877061856839,21.673009440023723,21.651757030593586,Infinity,21.412169919632607,1.169,N/A,-18699757.75,N/A,Healthcare,Biotechnology,103399,EQUITY,305027.05000000005,33.90%,3373153.846153846,0,0,1,1,1,0,1,1,1,1,0,1,0,1,62,2.943397182901227,73.94339718290122
OPHC,N/A,15746000,9471754298,2108000,N/A,N/A,1.3800000000000001,0,15746000,5279000,21025000,41534000,62559000,N/A,9847694742,0,0,1.3699999999999999,41534000,15746000,41534000,15746000,21025000,N/A,0,N/A,N/A,966155000,2308000,N/A,N/A,1083043000,N/A,966155000,N/A,0,1083043000,1083043000,116888000,N/A,0,116888000,-269000,15477000,0,15477000,120824000,17164000,120824000,17164000,103487000,-34501000,103487000,-34501000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-378000,N/A,N/A,N/A,39953000,37703000,-5837000,N/A,N/A,N/A,N/A,62559000,N/A,N/A,N/A,6115000,22793000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.24,11533943,73,0,25.169839671350246,3.072463768115942,0.4183827109711861,8.265647457395113,48903918.32,1.1209826580621123,1083043000,1.4538665593148195,13.47101498870714,13.47101498870714,NaN,25.108204518430437,0.289,N/A,-1034139081.68,-16.530620401221245,Financial Services,Banks - Regional,5990,EQUITY,25397.600000000002,32.55%,215698.6301369863,0,0,1,1,1,0,0,0,0,0,0,1,0,1,60,2.1709032845318537,67.17090328453186
OFS,N/A,3230000,13398078,N/A,N/A,N/A,1.03,0,3230000,N/A,N/A,0,13764000,N/A,13398078,0,0,1.03,N/A,3230000,0,3230000,13764000,N/A,0,N/A,N/A,241836000,N/A,N/A,N/A,378150000,N/A,241836000,N/A,0,378150000,378150000,136314000,N/A,0,136314000,0,3230000,0,3230000,-30625000,15355000,-30625000,15355000,0,15270000,0,15270000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16179000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.6,13398078,53,0,23.46701540249927,4.466019417475728,0.45212640521149694,1.7741097759584488,61631158.8,1.5636629782166427,378150000,0.8541584027502315,2.3695291752864707,2.3695291752864707,NaN,0,0.902,N/A,-316518841.2,-22.996137837837836,Financial Services,Asset Management,51593,EQUITY,237327.8,22.39%,60943.3962264151,0,0,1,1,1,0,1,0,0,0,0,0,0,1,39,1.0453182886000283,45.04531828860003
CAAS,113700000,28834000,90540917,N/A,564935000,N/A,0.96,0,28834000,7086000,39244000,634212000,678635000,18600000,90540917,0,8241000,0.96,79396000,37337000,634212000,37090000,44423000,N/A,248564000,N/A,140485000,442041000,108079000,N/A,474348000,596788000,122440000,446188000,N/A,41616000,845352000,845352000,357548000,N/A,4147000,399164000,-5855000,31235000,7751000,23469000,3373000,17415000,3373000,17415000,-43882000,-64670000,-45318000,-64670000,-1436000,31050000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29746000,-247000,N/A,N/A,44423000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.19,30170702,4414,0.1675421986782291,5.46538271677706,4.364583333333334,0.31670000646350877,1.1178062149893278,126415241.38000001,1.3500738619268349,0,4.387521411199121,9.291920113036246,9.353799440831336,27.308707124010557,15.95119645228823,0.861,N/A,126415241.38000001,0.18627869381921064,Consumer Cyclical,Auto Parts,14697,EQUITY,61580.43000000001,22.91%,8402.80924331672,0,0,0,0,1,0,0,0,0,0,1,1,0,1,40,0.1601057215459445,44.160105721545946
