Ticker,net_cash_flow,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_from_investing_activities,net_cash_flow_continuing,net_cash_flow_from_operating_activities,noninterest_income,benefits_costs_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_attributable_to_parent,net_income_loss,preferred_stock_dividends_and_other_adjustments,basic_earnings_per_share,costs_and_expenses,diluted_earnings_per_share,provision_for_loan_lease_and_other_losses,interest_income_expense_after_provision_for_losses,revenues,interest_income_expense_operating_net,income_loss_from_continuing_operations_before_tax,income_tax_expense_benefit,diluted_average_shares,net_income_loss_available_to_common_stockholders_basic,basic_average_shares,noninterest_expense,income_loss_from_continuing_operations_after_tax,net_income_loss_attributable_to_noncontrolling_interest,interest_and_dividend_income_operating,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,current_liabilities,assets,equity,current_assets,liabilities,fixed_assets,liabilities_and_equity,noncurrent_liabilities,equity_attributable_to_noncontrolling_interest,equity_attributable_to_parent,noncurrent_assets,temporary_equity,income_loss_before_equity_method_investments,operating_expenses,nonoperating_income_loss,income_tax_expense_benefit_current,operating_income_loss,income_tax_expense_benefit_deferred,income_loss_from_equity_method_investments,interest_expense_operating,other_current_liabilities,prepaid_expenses,other_current_assets,inventory,accounts_payable,other_noncurrent_assets,wages,cash,gross_profit,cost_of_revenue,selling_general_and_administrative_expenses,research_and_development,other_operating_expenses,intangible_assets,long_term_debt,other_comprehensive_income_loss_attributable_to_parent,exchange_gains_losses,common_stock_dividends,temporary_equity_attributable_to_parent,depreciation_and_amortization,accounts_receivable,net_cash_flow_discontinued,net_cash_flow_from_operating_activities_discontinued,income_loss_from_discontinued_operations_net_of_tax,other_noncurrent_liabilities,undistributed_earnings_loss_allocated_to_participating_securities_basic,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
KRRO,17090000,-73686000,-122237000,213011000,213011000,-122237000,17088000,-73686000,N/A,N/A,0,-87808000,-87808000,0,140.73000000000002,N/A,140.73000000000002,N/A,N/A,-214000,N/A,-87770000,38000,27561277,-87808000,27561277,N/A,-87808000,0,N/A,-87239000,0,-87239000,371000,13610000,243543000,179632000,152783000,63911000,29111000,243543000,50301000,0,179632000,90760000,N/A,N/A,95763000,N/A,N/A,-95763000,N/A,N/A,N/A,7660000,N/A,N/A,N/A,5950000,61649000,N/A,N/A,N/A,N/A,N/A,62096000,33667000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.07,9368262,0,41031.77570093458,0.1781425424571875,1.30746375,0.3557885009352454,234862328.34,11.225789860396768,152783000,-36.05441338901139,-48.88215908078738,-48.88215908078738,Infinity,-0.043294975504158596,,N/A,82079328.34,N/A,Healthcare,Biotechnology,20980,EQUITY,525968.6,561.35%,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1117,1122
SLI,-17408000,24380000,-35094000,4681000,4681000,-34259000,-6033000,12607000,N/A,185572000,0,9748000,13947000,0,2.45,184773000,2.44,N/A,N/A,202673000,N/A,17101000,5304000,3870000,9748000,3871000,N/A,14929000,4199000,N/A,13341000,0,11847000,990000,46305000,130269000,78232000,74542000,52037000,18222000,130269000,5732000,0,78232000,55727000,N/A,N/A,51165000,N/A,N/A,17900000,N/A,N/A,174000,21954000,N/A,16265000,24370000,19857000,21830000,4494000,N/A,68287000,134386000,36551000,N/A,7946000,15675000,11500000,N/A,-437000,N/A,N/A,4410000,33907000,-10938000,-11773000,-2049000,N/A,N/A,1.3,188133313,0.3369319050884923,6.8815283732909664,0.5327868852459017,3.1262566072706823,0.6651625933121996,244573306.9,1.6098045567433323,0,10.706307717108444,17.827743123018713,16.63732001961396,0,31.015730074264663,1.763,N/A,256073306.9,1.2634801226606405,Basic Materials,Other Industrial Metals & Mining,579162,EQUITY,752910.6,187.69%,1,0,0,0,1,0,1,0,1,1,1,1,0,1,370,378
REI,-138581,202877238,-164822312,-38193507,-38193507,-164822312,-138581,202877238,N/A,243620057,0,112709274,112709274,0,0.5700000000000001,232652984,0.5700000000000001,N/A,N/A,382829586,N/A,139209529,26500255,200921113,112709274,199573929,N/A,112709274,0,N/A,112709274,0,112709274,0,97591993,1399765010,851310143,52819112,548454867,1326747039,1399765010,450862874,0,851310143,1346945898,N/A,N/A,232195411,-10967073,N/A,150176602,N/A,N/A,N/A,7448862,2076896,46114236,4627980,90143131,20198859,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.28,198196034,0,29.441108556327723,2.245614035087719,0.29800058839425814,0.6442480117378326,253690923.52,0.5412238276556152,2076896,8.052013959114467,13.239507942759236,13.239507942759236,NaN,19.03623637718076,1.425,N/A,251614027.52,0.6572481248092461,Energy,Oil & Gas E&P,1878137,EQUITY,2404015.36,44.53%,0,0,1,1,1,0,0,0,0,0,0,1,0,0,84,88
AOMR,1769000,-243720000,71258000,174231000,174231000,71258000,1769000,-243720000,N/A,26978000,93000,72404000,72404000,0,2.9800000000000004,26978000,2.9400000000000004,0,35302000,103108000,35302000,76130000,3726000,73862467,72404000,73358592,18310000,72404000,0,103108000,80135000,0,80135000,7731000,2038768000,2303866000,265098000,2303866000,2038768000,N/A,2303866000,0,0,265098000,0,N/A,N/A,26978000,N/A,N/A,76130000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81000,9.97,23511272,0,70.22151530434108,3.391156462585034,0.8842291599333076,7.690620072576934,234407381.84,1.1300285270320114,2303866000,3.14271750179915,27.312163803574528,27.312163803574528,NaN,4.8942598187311175,1.402,N/A,-2069458618.16,-20.07078614811654,Real Estate,REIT - Mortgage,298276,EQUITY,2973811.72,29.49%,0,0,1,1,1,0,0,0,1,1,0,0,0,0,53,58
PKBK,45709000,35677000,-39239000,49271000,49271000,-39239000,45709000,35677000,4643000,84354000,22000,28287000,28287000,22000,2.36,84354000,2.34,95000,58509000,122085000,58604000,37731000,9444000,12134672,28265000,11960769,25421000,28287000,0,122085000,28663000,0,28663000,201000,1768949000,2065409000,296460000,2065409000,1768949000,5365000,2065409000,0,0,296460000,0,N/A,N/A,84354000,N/A,N/A,37731000,N/A,N/A,49404000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.97,11884594,0,23.16992259491338,8.534188034188034,0.8005644679889361,5.966906159346961,237335342.17999998,1.1675910385206132,2065409000,1.3695592495239441,9.541590771098967,9.541590771098967,NaN,25.029816331398585,0.735,N/A,-1828073657.82,-14.973777759921365,Financial Services,Banks - Regional,3051,EQUITY,60928.469999999994,11.72%,0,0,1,1,1,0,0,0,0,0,0,1,1,1,18,24
ONIT,10400000,-573800000,401300000,182900000,182900000,401300000,10400000,-573800000,N/A,936700000,500000,33900000,33900000,500000,4.28,436500000,4.13,N/A,N/A,976000000,N/A,39300000,5300000,8087535,33400000,7816093,N/A,34000000,0,N/A,36300000,0,36300000,2400000,15942500000,16435400000,442900000,16435400000,15942500000,11000000,16435400000,0,0,442900000,0,49900000,16400000,436500000,-404100000,6600000,539500000,-200000,22900000,288900000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.32,7873053,0,3.4733606557377046,7.825665859564165,0.5162448223980524,35.995710092571684,254457072.96,1.03091735925984,16435400000,0.2062620927996885,7.654097990517046,7.676676450666065,NaN,13.486005089058525,1.988,N/A,-16180942927.04,-16.578834966229508,Financial Services,Mortgage Finance,11171,EQUITY,361046.72000000003,12.78%,0,0,0,0,1,0,0,0,0,0,0,1,0,1,20,23
TSBK,6050000,15097000,1084000,-10131000,-10131000,1084000,6050000,15097000,11035000,0,0,24847000,24847000,0,3.1100000000000003,0,3.09,842000,64291000,97587000,65133000,97587000,6290000,16057294,24847000,15980718,44189000,24847000,0,97587000,24035000,0,24117000,-730000,1660281000,1909480000,249199000,1909480000,1660281000,21617000,1909480000,0,0,249199000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.02,7960127,0,25.461383176037796,10.362459546925567,1.0228101498802162,6.662470555660335,254883266.54000002,1.1500944719598671,1909480000,1.3012443178247481,9.970746271052452,9.970746271052452,NaN,6.445530654697859,0.571,N/A,-1654596733.46,-16.955093746708066,Financial Services,Banks - Regional,4043,EQUITY,129456.86000000002,9.65%,0,0,1,1,1,0,0,0,0,0,0,0,0,1,14,18
CHMG,4860000,27200000,-43379000,21039000,21039000,-43379000,4860000,27200000,23045000,97775000,0,21559000,21559000,0,4.52,97775000,4.52,1703000,70433000,125000000,72136000,27225000,5666000,9543000,21559000,4772000,66253000,21559000,0,125000000,55103000,0,55103000,55103000,2553561000,2774215000,220654000,2774215000,2553561000,N/A,2774215000,0,0,220654000,0,N/A,N/A,97775000,N/A,N/A,27225000,N/A,N/A,51725000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33544000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.65,4771000,0,17.2472,11.426991150442479,1.116780797085029,11.572692994461917,246422150,1.0864103109344168,2774215000,0.7771207350547813,9.770500421474344,9.770500421474344,NaN,20.811753902662993,0.146,N/A,-2527792850,-20.2223428,Financial Services,Banks - Regional,4180,EQUITY,215897,8.75%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,12,16
BTMD,11814000,15556000,-1974000,-1768000,-1768000,-1974000,11814000,15556000,N/A,35529000,0,10702000,12657000,0,0.34,35529000,0.33,N/A,N/A,51384000,N/A,15855000,3198000,32260809,10702000,31045174,N/A,12657000,1955000,N/A,-8000,-12657000,12649000,-12665000,46510000,101252000,-126824000,69983000,228076000,5813000,101252000,181566000,3518000,-130342000,31269000,N/A,N/A,39200000,3671000,N/A,12184000,N/A,N/A,N/A,37068000,2776000,51007000,16200000,4374000,19790000,5068000,N/A,N/A,N/A,24028000,N/A,15172000,5666000,110938000,-8000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70628000,N/A,4.37,31112663,0,24.63218122372723,13.242424242424242,-1.0720552680092095,0,135962337.31,1.5046871640507418,2776000,12.500493817406074,0,0,NaN,20.170293282876063,1.072,N/A,244124337.31,4.750979630040479,Healthcare,Medical Care Facilities,65303,EQUITY,285374.11,7.55%,0,0,1,1,1,0,1,0,0,0,0,1,0,1,10,16
FLXS,8477000,23808000,8990000,-24321000,-24321000,8990000,8477000,23808000,N/A,194828000,0,19919000,19919000,0,3.8299999999999996,402291000,3.6,N/A,N/A,430531000,N/A,131144000,7850000,16715000,19919000,15599000,N/A,19919000,0,N/A,19919000,0,19919000,0,50868000,271547000,161920000,149051000,109627000,36414000,271547000,58759000,0,161920000,122496000,N/A,N/A,63777000,N/A,N/A,28279000,-1537000,N/A,561000,43386000,N/A,58009000,91042000,N/A,86082000,7482000,N/A,92056000,338475000,69048000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.99,5269367,0.21381967849005065,4.626612253240765,12.497222222222222,1.4641108036684782,0.677044219367589,237068821.33,2.9301525517024456,0,7.335378405948141,12.30175395256917,12.30175395256917,0,5.985786616238639,0.335,N/A,237068821.33,0.5506428603979737,Consumer Cyclical,"Furnishings, Fixtures & Appliances",15661,EQUITY,704588.39,8.00%,1,0,0,0,1,0,1,0,0,0,1,0,0,1,11,16
