Ticker,net_income_loss_attributable_to_noncontrolling_interest,other_operating_expenses,cost_of_revenue,benefits_costs_expenses,income_loss_from_continuing_operations_before_tax,depreciation_and_amortization,income_tax_expense_benefit,participating_securities_distributed_and_undistributed_earnings_loss_basic,nonoperating_income_loss,net_income_loss_available_to_common_stockholders_basic,income_loss_from_continuing_operations_after_tax,provision_for_loan_lease_and_other_losses,diluted_average_shares,preferred_stock_dividends_and_other_adjustments,net_income_loss,basic_average_shares,gross_profit,operating_income_loss,net_income_loss_attributable_to_parent,basic_earnings_per_share,operating_expenses,costs_and_expenses,revenues,diluted_earnings_per_share,equity_attributable_to_noncontrolling_interest,assets,equity_attributable_to_parent,other_noncurrent_liabilities,current_liabilities,fixed_assets,long_term_debt,equity,accounts_payable,inventory,current_assets,other_noncurrent_assets,liabilities,noncurrent_assets,other_current_assets,noncurrent_liabilities,liabilities_and_equity,other_current_liabilities,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,net_cash_flow_continuing,net_cash_flow_from_investing_activities,net_cash_flow,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,exchange_gains_losses,research_and_development,intangible_assets,accounts_receivable,wages,selling_general_and_administrative_expenses,interest_expense_operating,income_loss_from_discontinued_operations_net_of_tax,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,income_loss_before_equity_method_investments,income_tax_expense_benefit_deferred,income_loss_from_equity_method_investments,undistributed_earnings_loss_allocated_to_participating_securities_basic,income_tax_expense_benefit_current,cash,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,other_comprehensive_income_loss_attributable_to_parent,common_stock_dividends,temporary_equity,redeemable_noncontrolling_interest,temporary_equity_attributable_to_parent,interest_and_dividend_income_operating,cost_of_revenue_goods,prepaid_expenses,net_cash_flow_from_investing_activities_discontinued,noninterest_expense,noninterest_income,interest_and_debt_expense,commitments_and_contingencies,cost_of_revenue_services,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,redeemable_noncontrolling_interest_preferred,noncurrent_prepaid_expenses,net_income_loss_attributable_to_redeemable_noncontrolling_interest,interest_payable,redeemable_noncontrolling_interest_common,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,other_operating_income_expenses,income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,long_term_investments,net_cash_flow_from_financing_activities_discontinued,stockPrice,totalShares,totalEmployees,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,profitPerEmployee,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,profitPerEmployeeCheck,totalPasses
AREN,0,27945000,67710000,2219000,31581000,3547000,1094000,0,-12032000,126403000,30487000,N/A,51692314,0,126403000,51501624,75105000,43613000,126403000,3.11,31492000,2219000,33800000,3.0999999999999996,0,121360000,-10390000,3242000,17809000,61000,110531000,-10390000,2000000,N/A,44646000,76653000,131582000,76714000,41997000,113773000,121360000,15809000,126403000,0,126403000,0,6750000,-9647000,6750000,-9647000,-1165000,17562000,-1165000,17562000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95916000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,168000,N/A,168000,N/A,N/A,2649000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.18,47465749,198,2.222041420118343,373.9733727810651,1.3483870967741935,-19.409785836431226,0,198406830.82,2.506934695940255,2649000,104.1554054054054,0,30.444073855863234,0,3.4641081663025237,0.827,N/A,306288830.82,9.061799728402367,Communication Services,Internet Content & Information,88158,EQUITY,368500.44,2.744020942384935,638398.9898989899,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,2.703247525699617,12.703247525699616
ORMP,42000,N/A,N/A,N/A,55744000,N/A,11936000,0,68090000,43809000,43808000,N/A,42915789,0,43851000,41515629,N/A,-13011000,43809000,1.04,N/A,N/A,N/A,1,-952000,220493000,203282000,N/A,6119000,614000,N/A,202330000,560000,N/A,136117000,83762000,18163000,84376000,N/A,12044000,220493000,5326000,43851000,0,43851000,0,10034000,22551000,10075000,22551000,-1927000,-10590000,-1927000,-10590000,41000,5854000,N/A,N/A,233000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.95,39802455,13,0,Infinity,2.95,0.5803254201057678,0.0897691889487471,117417242.25,22.244974669063573,136117000,19.8877061856839,21.673009440023723,21.651757030593586,Infinity,21.412169919632607,1.169,N/A,-18699757.75,N/A,Healthcare,Biotechnology,103399,EQUITY,305027.05000000005,2.452131359178812,3373153.846153846,0,0,1,1,1,0,1,1,1,1,0,1,0,1,-1,2.943397182901227,10.943397182901228
MSGM,-278987,4978531,2588843,6273947,3150191,63912,N/A,0,N/A,3410733,3150191,0,4714277,0,3150191,4714277,6835295,2012425,3429178,0.42000000000000015,6931367,6273947,9424138,0.42000000000000015,941505,10101113,5853330,N/A,3297662,32423,N/A,6794835,973930,N/A,6343250,30940,3306278,3757863,N/A,8616,10101113,2323732,4591161,2343059,4661520,70359,3277133,529744,3277133,529744,1503543,1243846,1503543,1243846,N/A,1888924,3694500,N/A,N/A,N/A,49461,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-49461,-49461,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.16,5078450,39,0.7252965735433841,33.42683436936089,7.523809523809521,2.361779498692757,0.48658694434817035,16047902,1.9235597826581379,6343250,31.18657320237879,46.361552561614815,46.361552561614815,27.634857017875603,0,1.794,N/A,9704652,1.0297654809384158,Communication Services,Electronic Gaming & Multimedia,34939,EQUITY,110407.24,1.7680964744501773,80774.1282051282,1,1,1,1,1,0,1,1,1,1,1,0,0,1,-2,1.2976413912269118,10.297641391226911
UTMD,0,N/A,16572000,24726000,13906000,N/A,2995000,0,N/A,11622000,11622000,N/A,9724000,0,11622000,9724000,22060000,11863000,11622000,3.5399999999999996,10197000,24726000,38632000,3.54,0,121975000,118252000,N/A,3011000,10000000,N/A,118252000,768000,8118000,96532000,14051000,3723000,25443000,88414000,712000,121975000,2243000,13792000,2170000,13792000,0,-4233000,-271000,-4185000,-271000,-18114000,14152000,-18114000,14152000,48000,577000,1392000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-583000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.75,3203672,167,0.571029198591841,30.0838682957134,16.031073446327685,1.5374656327165712,0.03148361127084531,181808386,32.0597808037197,0,9.528182004509121,9.82816358285695,9.82816358285695,2.615593834995467,21.537465842082554,0.327,N/A,181808386,4.7061603334023605,Healthcare,Medical Instruments & Supplies,13975,EQUITY,793081.25,1.0651814122318544,69592.81437125748,1,1,1,1,1,0,1,1,0,0,1,1,0,1,-3,1.1611714396499455,8.161171439649946
MSW,42963000,24694000,N/A,67637000,32201000,23944000,N/A,0,N/A,11665000,32201000,N/A,23331548,0,54628000,22690169,N/A,51200000,11665000,0.52,48638000,67637000,99838000,0.5,400310000,915136000,141447000,N/A,373379000,N/A,N/A,541757000,N/A,N/A,915136000,N/A,373379000,0,N/A,0,915136000,N/A,54628000,0,54628000,0,26576000,62284000,26576000,62284000,-93287000,57579000,-93287000,57579000,N/A,N/A,N/A,N/A,N/A,N/A,19178000,22427000,N/A,N/A,31990000,N/A,211000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-163000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.899,12975000,35,0,54.716640958352535,1.798,0.021530916997842205,0.6892001395459588,11664525,2.45095733825416,915136000,5.969385971046926,10.083487615296157,5.943808755585992,NaN,0,,N/A,-903471475,-9.04937473707406,Industrials,Engineering & Construction,262085,EQUITY,235614.415,2.660237539876034,1560800,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,2.8778028923184524,7.877802892318453
LFVN,0,101350000,45118000,216971000,11906000,N/A,1772000,0,9000,10134000,10134000,N/A,39425000,0,10134000,36983000,183759000,11897000,10134000,0.8200000000000001,171862000,216971000,228877000,0.77,0,61579000,33157000,N/A,18829000,5997000,N/A,33157000,4356000,20594000,45048000,10289000,28422000,16531000,24454000,9593000,61579000,14473000,9904000,-1771000,10584000,0,-1372000,-1461000,-1505000,-1461000,-10067000,10156000,-10067000,10156000,-133000,1300000,245000,N/A,N/A,69212000,N/A,N/A,N/A,N/A,N/A,2811000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.07,12701187,238,0.8028722851138385,4.427705710927703,7.883116883116883,2.325186388696203,0.8571945592182646,77096205.09,2.392479685591375,0,16.45690901118888,30.563681877130016,30.563681877130016,0.7074483426662096,14.883252141777255,0.325,N/A,77096205.09,0.3368455768382144,Consumer Defensive,Packaged Foods,352085,EQUITY,2137155.95,1.7250291478369126,42579.83193277311,1,1,0,0,1,0,1,1,1,1,1,1,0,0,-2,0.768807444723371,7.768807444723371
GREE,0,11847000,N/A,3262000,11958000,N/A,0,0,11654000,11958000,11958000,N/A,15891000,0,11958000,15659000,N/A,304000,11958000,0.76,14916000,3262000,15220000,0.75,0,50567000,-49408000,29646000,24480000,19735000,45849000,-49408000,2467000,N/A,21800000,9032000,99975000,28767000,19189000,75495000,50567000,22013000,11958000,11958000,11958000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3069000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2611000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.54,15798997,35,0,78.5676741130092,2.0533333333333332,-0.49243959237370466,0,24330455.38,0.8905228758169934,2611000,23.647833567346293,0,0,NaN,0,3.26,N/A,67568455.38,4.439451733245729,Financial Services,Capital Markets,234924,EQUITY,361782.96,2.6132182211041153,341657.14285714284,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2.4561905667800685,7.4561905667800685
INCR,0,372104000,4219399000,5336082000,82888000,N/A,11667000,0,-132491000,71221000,71221000,N/A,310790000,0,71221000,309713000,1199571000,215379000,71221000,0.7000000000000001,984192000,5203591000,5418970000,0.6900000000000001,0,8075381000,3493754000,312903000,1627158000,236697000,2641566000,3493754000,137017000,N/A,1951760000,5278491000,4581627000,6123621000,N/A,2954469000,8075381000,1490141000,88260000,88260000,88260000,0,-26654000,-101098000,-23712000,-101098000,-178490000,252934000,-178490000,252934000,2942000,N/A,608433000,N/A,N/A,612088000,113194000,N/A,N/A,N/A,N/A,-36697000,N/A,N/A,N/A,N/A,N/A,N/A,185551000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.125,54681335,320,0.22136513027383434,1.3142903540709767,1.6304347826086956,0.01760756535090908,1.3113765308032563,61516501.875,1.1994901539985667,1951760000,0.8819521951967344,2.0385236052681446,1.1608359466172913,0,14.07562011388862,0.58,N/A,751322501.875,0.1386467357957324,Healthcare,Drug Manufacturers - Specialty & Generic,57424,EQUITY,64602,2.6913259489609507,222565.625,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2.1935115194143755,7.1935115194143755
SMLR,0,12158000,636000,-16312000,23803000,88000,6901000,0,29193000,16902000,16902000,N/A,16545198,0,16902000,14848408,6855000,-5390000,16902000,1.14,12245000,12881000,7491000,1.07,0,596677000,459749000,N/A,27216000,N/A,N/A,459749000,200000,485000,53506000,N/A,136928000,543171000,53021000,109712000,596677000,23572000,16902000,0,16902000,0,-3305000,-47779000,-3305000,-47779000,77424000,-32950000,77424000,-32950000,N/A,N/A,N/A,N/A,3444000,N/A,N/A,N/A,N/A,N/A,N/A,7133000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.695,15285092,79,0.9150981177412896,225.63075690828995,15.602803738317757,0.5550520195584983,0.2978320779381793,255184610.94,1.965975896531452,0,2.832688372436008,3.6763538365499433,3.6763538365499433,0,28.99214384741419,1.35,N/A,255184610.94,34.06549338406087,Healthcare,Medical Devices,168939,EQUITY,2820436.605,1.088541159230182,213949.3670886076,1,1,1,1,1,0,1,0,0,0,1,1,0,0,-3,2.164953293986712,7.164953293986712
NREF,30542000,N/A,N/A,-56484000,114251000,N/A,N/A,-3496000,91367000,72210000,114251000,24586000,29357000,-874000,114251000,17670000,N/A,22884000,90479000,4.1,34883000,-56484000,57767000,2.91,0,5278074000,375423000,N/A,4503098000,N/A,720898000,375423000,N/A,N/A,5278074000,N/A,4503098000,0,N/A,0,5278074000,N/A,114251000,0,114251000,0,-17146000,500261000,-17146000,500261000,-549218000,31811000,-549218000,31811000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115157000,N/A,-906000,N/A,N/A,N/A,33181000,57767000,N/A,N/A,399553000,93989000,305564000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17831000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.05,17721828,1,0,197.7790087766372,4.828178694158075,0.3212895410954662,11.994731276453495,248991683.4,1.1720984086955246,5278074000,2.164634296525589,30.432605354493464,10.4213090873932,NaN,0,1.204,N/A,-4308184316.6,-74.57864034137138,Real Estate,REIT - Mortgage,22858,EQUITY,321154.9,2.140930645305262,114251000,0,0,1,1,1,0,0,0,1,0,0,0,0,1,-1,2.998328365765381,6.998328365765381
