Ticker,fixed_assets,other_current_liabilities,other_current_assets,equity_attributable_to_parent,inventory,liabilities_and_equity,noncurrent_assets,noncurrent_liabilities,long_term_debt,current_liabilities,other_noncurrent_liabilities,assets,other_noncurrent_assets,liabilities,current_assets,equity,accounts_payable,equity_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities,net_cash_flow,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_investing_activities_continuing,operating_income_loss,net_income_loss_attributable_to_noncontrolling_interest,other_operating_expenses,cost_of_revenue,operating_expenses,income_tax_expense_benefit,depreciation_and_amortization,net_income_loss,diluted_earnings_per_share,net_income_loss_attributable_to_parent,benefits_costs_expenses,provision_for_loan_lease_and_other_losses,revenues,basic_average_shares,costs_and_expenses,gross_profit,income_loss_from_continuing_operations_before_tax,preferred_stock_dividends_and_other_adjustments,diluted_average_shares,basic_earnings_per_share,nonoperating_income_loss,income_loss_from_continuing_operations_after_tax,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_available_to_common_stockholders_basic,exchange_gains_losses,research_and_development,income_loss_from_equity_method_investments,interest_expense_operating,income_loss_before_equity_method_investments,income_loss_from_discontinued_operations_net_of_tax,selling_general_and_administrative_expenses,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,accounts_receivable,intangible_assets,wages,undistributed_earnings_loss_allocated_to_participating_securities_basic,income_tax_expense_benefit_deferred,income_tax_expense_benefit_current,interest_income_expense_operating_net,interest_income_expense_after_provision_for_losses,other_comprehensive_income_loss_attributable_to_parent,cash,common_stock_dividends,redeemable_noncontrolling_interest,temporary_equity,temporary_equity_attributable_to_parent,interest_and_dividend_income_operating,cost_of_revenue_goods,prepaid_expenses,cost_of_revenue_services,net_cash_flow_from_investing_activities_discontinued,noninterest_expense,noninterest_income,interest_and_debt_expense,commitments_and_contingencies,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,noncurrent_prepaid_expenses,redeemable_noncontrolling_interest_preferred,net_income_loss_attributable_to_redeemable_noncontrolling_interest,interest_payable,redeemable_noncontrolling_interest_common,other_operating_income_expenses,long_term_investments,net_cash_flow_from_financing_activities_discontinued,stockPrice,totalShares,totalEmployees,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,profitPerEmployee,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,profitPerEmployeeCheck,totalPasses
ORMP,614000,5326000,N/A,203282000,N/A,220493000,84376000,12044000,N/A,6119000,N/A,220493000,83762000,18163000,136117000,202330000,560000,-952000,0,0,43851000,43851000,-10590000,22551000,10075000,-1927000,-1927000,-10590000,10034000,22551000,-13011000,42000,N/A,N/A,N/A,11936000,N/A,43851000,0.9999999999999999,43809000,N/A,N/A,N/A,83191565,N/A,N/A,55744000,0,85604778,1.04,68090000,43808000,0,43809000,41000,5854000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.95,39802455,13,0,Infinity,2.9500000000000006,0.5803254201057678,0.0897691889487471,117417242.25,22.244974669063573,136117000,19.8877061856839,21.673009440023723,21.651757030593586,Infinity,21.412169919632607,1.169,N/A,-18699757.75,N/A,Healthcare,Biotechnology,103399,EQUITY,305027.05000000005,2.452131359178812,3373153.846153846,0,0,1,1,1,0,1,1,1,1,0,1,0,1,-1,2.943397182901227,10.943397182901228
UTMD,10000000,2243000,88414000,118252000,8118000,121975000,25443000,712000,N/A,3011000,N/A,121975000,14051000,3723000,96532000,118252000,768000,0,0,2170000,13792000,13792000,14152000,-271000,-4185000,-18114000,-18114000,14152000,-4233000,-271000,11863000,0,N/A,16572000,10197000,5923000,N/A,11622000,3.54,11622000,24726000,N/A,38632000,9724000,24726000,22060000,13906000,0,9724000,3.5399999999999996,N/A,11622000,0,11622000,48000,577000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1392000,N/A,N/A,-583000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.75,3203672,167,0.571029198591841,30.0838682957134,16.031073446327685,1.5374656327165712,0.03148361127084531,181808386,32.0597808037197,0,9.528182004509121,9.82816358285695,9.82816358285695,2.615593834995467,42.59312526966777,0.327,N/A,181808386,4.7061603334023605,Healthcare,Medical Instruments & Supplies,13975,EQUITY,793081.25,1.0651814122318544,69592.81437125748,1,1,1,1,1,0,1,1,0,0,1,1,0,1,-3,1.1611714396499455,8.161171439649946
MSW,N/A,N/A,N/A,141447000,N/A,915136000,0,0,N/A,373379000,N/A,915136000,N/A,373379000,915136000,541757000,N/A,400310000,0,0,54628000,54628000,57579000,62284000,26576000,-93287000,-93287000,57579000,26576000,62284000,51200000,42963000,24694000,N/A,48638000,N/A,23944000,54628000,0.5,11665000,67637000,N/A,99838000,22690169,67637000,N/A,32201000,0,23331548,0.52,N/A,32201000,0,11665000,N/A,N/A,211000,19178000,31990000,22427000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-163000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.899,12975000,35,0,54.716640958352535,1.798,0.021530916997842205,0.6892001395459588,11664525,2.45095733825416,915136000,5.969385971046926,10.083487615296157,5.943808755585992,NaN,0,,N/A,-903471475,-9.04937473707406,Industrials,Engineering & Construction,262085,EQUITY,235614.415,2.660237539876034,1560800,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,2.8778028923184524,7.877802892318453
SMLR,N/A,23572000,53021000,459749000,485000,596677000,543171000,109712000,N/A,27216000,N/A,596677000,N/A,136928000,53506000,459749000,200000,0,0,0,16902000,16902000,-32950000,-47779000,-3305000,77424000,77424000,-32950000,-3305000,-47779000,-5390000,0,12158000,636000,12245000,6901000,88000,16902000,1.07,16902000,-16312000,N/A,7491000,14848408,12881000,6855000,23803000,0,16545198,1.14,29193000,16902000,0,16902000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3444000,N/A,7133000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.695,15285092,79,0.9150981177412896,225.63075690828995,15.602803738317757,0.5550520195584983,0.2978320779381793,255184610.94,1.965975896531452,0,2.832688372436008,3.6763538365499433,3.6763538365499433,0,28.99214384741419,1.35,N/A,255184610.94,34.06549338406087,Healthcare,Medical Devices,168939,EQUITY,2820436.605,1.088541159230182,213949.3670886076,1,1,1,1,1,0,1,0,0,0,1,1,0,0,-3,2.164953293986712,7.164953293986712
NREF,N/A,N/A,N/A,375423000,N/A,5278074000,0,0,720898000,4503098000,N/A,5278074000,N/A,4503098000,5278074000,375423000,N/A,0,0,0,114251000,114251000,31811000,500261000,-17146000,-549218000,-549218000,31811000,-17146000,500261000,22884000,30542000,N/A,N/A,34883000,N/A,N/A,114251000,2.86,90479000,-56484000,24586000,57767000,35356000,-56484000,N/A,114251000,-874000,70932000,4.1,91367000,114251000,-3496000,72210000,N/A,N/A,-906000,N/A,115157000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57767000,33181000,N/A,N/A,N/A,93989000,399553000,305564000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17831000,N/A,N/A,N/A,N/A,N/A,14.05,17721828,1,0,197.7790087766372,4.912587412587413,0.3212895410954662,11.994731276453495,248991683.4,1.1720984086955246,5278074000,2.164634296525589,30.432605354493464,10.4213090873932,NaN,0,1.204,N/A,-4308184316.6,-74.57864034137138,Real Estate,REIT - Mortgage,22858,EQUITY,321154.9,2.127900595620919,114251000,0,0,1,1,1,0,0,0,1,0,0,0,0,1,-1,2.998328365765381,6.998328365765381
SWKH,N/A,N/A,N/A,254206000,N/A,289362000,273032000,32282000,32969000,2874000,N/A,289362000,N/A,35156000,16330000,254206000,N/A,0,0,0,22727000,22727000,23876000,22276000,-6972000,-53124000,-53124000,23876000,-6972000,22276000,24942000,0,17168000,N/A,20186000,6934000,N/A,22727000,1.85,22727000,15467000,N/A,45128000,12136000,15467000,N/A,29661000,0,12143000,1.8599999999999999,N/A,22727000,0,22727000,N/A,2118000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.13,12095906,9,0,50.361194823612834,9.259459459459459,0.8150982658945893,0.13829728645271944,207202869.78,5.681976339596381,16330000,7.854175738348506,8.940386930284888,7.913989727518064,Infinity,23.377499072856615,0.366,N/A,223841869.78,4.9601548878744905,Financial Services,Asset Management,9175,EQUITY,157167.75,1.573399352799178,2525222.222222222,0,0,1,1,1,0,1,0,0,0,0,1,0,1,-2,2.924408161270197,6.924408161270197
HNNA,524000,N/A,75718000,97736000,N/A,160459000,83944000,56710000,N/A,6013000,N/A,160459000,83420000,62723000,76515000,97736000,N/A,0,0,0,9960000,9960000,13792000,-627000,8509000,-4656000,-4656000,13792000,8509000,-627000,13145000,0,N/A,N/A,22393000,3660000,N/A,9960000,1.27,9960000,21918000,N/A,35538000,7787924,21918000,N/A,13620000,0,7828947,1.28,N/A,9960000,0,9960000,N/A,N/A,N/A,2293000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,911000,2749000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,797000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.46,7891917,18,0,28.026338004389668,7.448818897637796,0.7638693502905788,0.6417594335761644,74657534.82000001,12.724929319807085,797000,6.207193114752055,10.1907178521732,10.1907178521732,NaN,26.87224669603524,0.59,N/A,73860534.82000001,2.078353728966177,Financial Services,Asset Management,100323,EQUITY,949055.5800000001,1.7772747131154043,553333.3333333334,0,0,1,1,1,0,1,0,0,0,0,1,0,1,-2,2.658530418451379,6.658530418451379
HTCO,178069000,31346000,14223000,49844000,1043000,270623000,39290000,185847000,134255000,34932000,51592000,270623000,N/A,220779000,49669000,49844000,3586000,0,0,7847000,7847000,7847000,36411000,-27433000,2281000,-6697000,-6697000,36411000,2281000,-27433000,17442000,0,56925000,68272000,135816000,5366000,N/A,7769000,0.5700000000000001,7769000,174118000,N/A,187253000,40785450,171002000,118981000,13135000,0,40960542,N/A,-4307000,10394000,0,7769000,N/A,N/A,N/A,4319000,N/A,N/A,29553000,N/A,N/A,31650000,3827000,N/A,N/A,N/A,N/A,N/A,N/A,78000,N/A,0.595,N/A,N/A,N/A,N/A,41835000,2753000,68272000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.966,7385324,31,0.6354023700554864,4.148932193342697,15.729824561403506,1.3284811609020142,4.429399727148704,66216814.984,1.4218767891904271,2753000,2.870783340662102,15.586630286493861,5.64587531708483,0,40.852683669585076,-0.55,N/A,197718814.984,1.0558913073969443,Industrials,Marine Shipping,26054,EQUITY,233600.164,1.0815182818121911,250612.90322580645,1,1,0,0,1,0,0,0,1,0,1,1,0,1,-3,2.2748975090038064,6.274897509003806
KEQU,23155000,15534000,78141000,69852000,35499000,189075000,75435000,71548000,35250000,45810000,36298000,189075000,35217000,117358000,113640000,71717000,22660000,1865000,285000,-803000,10939000,11224000,8667000,-32281000,-15985000,7981000,7981000,8667000,-15633000,-32281000,19667000,285000,N/A,202448000,63400000,3770000,N/A,12027000,3.9400000000000004,11742000,269718000,N/A,285515000,8587000,269718000,83067000,15797000,0,8948000,4.1,N/A,11961000,0,11742000,-352000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17063000,7616000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,2866384,1239,0.2909374288566275,4.212388140728158,9.64467005076142,1.5187834404673926,1.636404199841042,108922592,2.4806810740013097,0,6.3609678698929,16.770082407239567,11.181953312703918,0,23.865290878014815,0.607,N/A,144172592,0.5049562790046057,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4529,EQUITY,172102,1.5345414923084024,9707.021791767555,1,0,0,0,1,0,1,0,1,0,1,1,1,1,-2,0.184811441721852,6.184811441721852
OPHC,2308000,N/A,N/A,116888000,N/A,1083043000,0,0,N/A,966155000,N/A,1083043000,N/A,966155000,1083043000,116888000,N/A,0,0,-269000,15477000,15477000,17164000,-34501000,103487000,120824000,120824000,17164000,103487000,-34501000,21025000,0,N/A,N/A,41534000,5279000,N/A,15746000,1.3800000000000001,15746000,41534000,2108000,62559000,9448268923,41534000,N/A,21025000,0,9847694742,1.3699999999999999,N/A,15746000,0,15746000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-378000,N/A,39953000,37703000,-5837000,N/A,N/A,N/A,N/A,N/A,62559000,N/A,N/A,N/A,N/A,22793000,6115000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.24,11533943,73,0,25.169839671350246,3.072463768115942,0.4183827109711861,8.265647457395113,48903918.32,1.1209826580621123,1083043000,1.4538665593148195,13.47101498870714,13.47101498870714,NaN,25.108204518430437,0.289,N/A,-1034139081.68,-16.530620401221245,Financial Services,Banks - Regional,5990,EQUITY,25397.600000000002,2.4306871395641196,215698.6301369863,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-1,2.1709032845318537,6.170903284531853
