Ticker,liabilities,other_current_liabilities,fixed_assets,other_noncurrent_assets,current_liabilities,inventory,equity,noncurrent_assets,assets,equity_attributable_to_parent,accounts_payable,liabilities_and_equity,noncurrent_liabilities,equity_attributable_to_noncontrolling_interest,current_assets,other_current_assets,intangible_assets,diluted_average_shares,benefits_costs_expenses,basic_average_shares,income_loss_before_equity_method_investments,net_income_loss,operating_income_loss,costs_and_expenses,net_income_loss_attributable_to_parent,income_loss_from_continuing_operations_after_tax,operating_expenses,revenues,income_loss_from_continuing_operations_before_tax,basic_earnings_per_share,income_tax_expense_benefit_deferred,income_tax_expense_benefit,income_loss_from_equity_method_investments,participating_securities_distributed_and_undistributed_earnings_loss_basic,income_tax_expense_benefit_current,nonoperating_income_loss,net_income_loss_attributable_to_noncontrolling_interest,preferred_stock_dividends_and_other_adjustments,common_stock_dividends,net_income_loss_available_to_common_stockholders_basic,diluted_earnings_per_share,net_cash_flow_from_investing_activities,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow,net_cash_flow_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,exchange_gains_losses,net_cash_flow_from_operating_activities_continuing,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,long_term_debt,interest_income_expense_operating_net,interest_income_expense_after_provision_for_losses,interest_and_dividend_income_operating,noninterest_expense,noninterest_income,provision_for_loan_lease_and_other_losses,other_comprehensive_income_loss_attributable_to_parent,selling_general_and_administrative_expenses,research_and_development,cost_of_revenue,gross_profit,wages,interest_expense_operating,cash,depreciation_and_amortization,other_operating_expenses,income_loss_from_discontinued_operations_net_of_tax,temporary_equity,temporary_equity_attributable_to_parent,prepaid_expenses,other_noncurrent_liabilities,accounts_receivable,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_financing_activities_discontinued,net_cash_flow_discontinued,net_cash_flow_from_operating_activities_discontinued,interest_and_debt_expense,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
FOA,28493928000,N/A,N/A,N/A,28493928000,N/A,456456000,0,28950384000,312944000,N/A,28950384000,0,143512000,28950384000,N/A,225639000,23159304,81900000,9924671,N/A,203748000,209765000,81900000,84203000,203748000,80308000,290073000,208173000,8.48,N/A,4425000,N/A,0,N/A,N/A,119545000,0,N/A,84203000,7.5,-54660000,-54660000,109708000,-26321000,-26321000,-81369000,109708000,N/A,-81369000,23000,119558000,203771000,84213000,N/A,63061000,63061000,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9777000,70531000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.63,9926412,0,70.24024986813664,3.017333333333333,0.49212783611125716,62.42425995057574,224634703.56,1.0160194129780913,28950384000,0.7037834109557926,44.63694200536305,44.63694200536305,NaN,2.125635889380467,1.19,N/A,-28725749296.44,-99.02937983349018,Financial Services,Credit Services,35136,EQUITY,795127.6799999999,33.14%,0,0,1,1,1,0,0,0,1,1,0,0,0,1,61,67
EP,39540000000,3706000000,38013000000,29113000000,5101000000,555000000,31867000000,68886000000,71407000000,30531000000,1395000000,71407000000,34439000000,1336000000,2521000000,1966000000,1760000000,2220000000,11693000000,2220000000,2517000000,2720000000,4384000000,10716000000,2613000000,2720000000,736000000,15100000000,3407000000,1.17,647000000,687000000,890000000,15000000,40000000,-977000000,107000000,0,1.145,2613000000,1.17,-2629000000,-2629000000,-2887000000,118000000,119000000,5635000000,-2887000000,-1000000,5635000000,122000000,107000000,2842000000,2735000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.9,33632132,0,18.013245033112582,5.897435897435898,0.007282195085825462,1.2407820001882826,232061710.8,0.4942168202313272,0,3.8091503634097497,8.535475570339223,8.535475570339223,NaN,20.164367478720283,1.157,N/A,232061710.8,0.015368325218543047,Energy,Oil & Gas E&P,3218,EQUITY,22204.2,16.96%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,28,32
GPJA,108506000000,12292000000,104689000000,29465000000,15993000000,N/A,36674000000,134486000000,145180000000,33208000000,3701000000,145180000000,92513000000,3466000000,10694000000,10400000000,332000000,1102000000,21495000000,1096000000,5090000000,4260000000,7068000000,19656000000,4401000000,4260000000,19656000000,26724000000,5229000000,4.02,536000000,969000000,139000000,0,N/A,-1839000000,-141000000,0,2.86,4401000000,3.99,-9400000000,-9400000000,-208000000,180000000,180000000,9788000000,-208000000,N/A,9788000000,99000000,-141000000,4359000000,4500000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,294000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2743000000,23.05,N/A,0,15.940727436012573,5.776942355889724,NaN,2.958662812891967,NaN,0.6686675420496467,294000000,2.934288469486155,11.615858646452528,11.615858646452528,NaN,18.53126792885829,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,17.31%,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29,31
OVLY,1715062000,N/A,15792000,N/A,1715062000,N/A,185393000,0,1900455000,185393000,N/A,1900455000,0,0,1900455000,N/A,N/A,24758892,49358000,24652874,N/A,24805000,32243000,49358000,24805000,24805000,49358000,81601000,32243000,3.02,8126000,7438000,N/A,0,N/A,N/A,0,0,N/A,24805000,3,-103817000,-103817000,19848000,-54066000,-54066000,29903000,19848000,N/A,29903000,53425000,0,53425000,53425000,N/A,70102000,70592000,81601000,45229000,6880000,-490000,28620000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.07,N/A,0,30.39791179029669,9.023333333333333,NaN,9.250953380116833,NaN,1.108096966756887,1900455000,1.3052137514437332,13.379685317137108,13.379685317137108,NaN,23.06857302360202,0.273,N/A,NaN,NaN,Financial Services,Banks - Regional,1810,EQUITY,48996.7,11.08%,0,0,1,1,0,0,0,0,0,0,0,1,0,1,17,21
PWOD,2055556000,N/A,N/A,N/A,2055556000,N/A,203694000,0,2259250000,203694000,N/A,2259250000,0,0,2259250000,N/A,133000,22477717,83429000,22634217,N/A,19554000,23935000,83429000,19554000,19554000,83429000,107364000,23935000,2.65,N/A,4381000,N/A,0,N/A,N/A,0,0,N/A,19554000,2.68,-61159000,-61159000,52394000,4104000,4104000,12869000,52394000,N/A,12869000,9647000,0,29201000,29201000,N/A,57265000,59306000,107364000,44500000,9129000,-1952000,9647000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.56,7612878,0,18.21280876271376,11.402985074626864,1.1421522071342307,10.091391989945702,232649551.67999998,1.0990943569525715,2259250000,0.8655084651986278,9.59969365813426,9.59969365813426,NaN,18.303739293921037,0.487,N/A,-2026600448.32,-18.87597750009314,Financial Services,Banks - Regional,5708,EQUITY,174436.47999999998,8.77%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,12,16
FUNC,1742147000,N/A,30704000,N/A,1742147000,N/A,173979000,0,1916126000,173979000,N/A,1916126000,0,0,1916126000,N/A,N/A,6545000,4814000,6534000,N/A,16141000,21159000,4814000,16141000,16141000,4814000,25973000,21159000,2.46,N/A,5018000,N/A,0,N/A,N/A,0,0,N/A,16141000,2.46,1304000,1304000,-38304000,-18260000,-18260000,18740000,-38304000,N/A,18740000,12960000,0,29101000,29101000,120929000,58472000,55649000,90459000,49868000,15378000,2823000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.79,6471096,0,62.14530473953721,14.548780487804878,1.3311981666752883,10.013547612068123,231600525.84,1.0998647071687981,1916126000,0.8423767539295434,9.277556486702418,5.4732323300826025,NaN,23.715676544260127,0.762,N/A,-1563596474.1599998,-60.200842188426435,Financial Services,Banks - Regional,7400,EQUITY,264846,6.87%,0,0,1,1,1,0,0,0,0,0,0,1,1,1,8,14
MBCN,1646930000,N/A,20528000,N/A,1646930000,N/A,210705000,0,1857635000,210705000,N/A,1857635000,0,0,1857635000,N/A,N/A,8102964,83160000,8073153,N/A,14214000,16753000,83160000,14214000,14214000,83160000,99913000,16753000,1.7500000000000002,-1235000,2539000,N/A,0,N/A,N/A,0,0,N/A,14214000,1.7600000000000002,-49847000,-49847000,35670000,8371000,8371000,22548000,35670000,N/A,22548000,24163000,0,24163000,24163000,N/A,60500000,57762000,99913000,47911000,6902000,2707000,9949000,N/A,N/A,N/A,N/A,N/A,39413000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.8,8073708,0,14.226376947944711,15.227272727272725,1.0269114373175767,7.816283429439263,216375374.4,1.1279380422968797,1857635000,0.7651664616568917,6.745924396668328,6.745924396668328,NaN,15.15549453829165,0.7,N/A,-1641259625.6,-16.42688764825398,Financial Services,Banks - Regional,1935,EQUITY,51858,6.57%,0,0,1,0,1,0,0,0,0,0,0,1,1,1,8,13
BPRN,2093228000,N/A,17579000,N/A,2093228000,N/A,261502000,0,2354730000,261502000,N/A,2354730000,0,0,2354730000,N/A,N/A,6505,104567000,6418000,N/A,10297000,12273000,104567000,10297000,10297000,104567000,116840000,12273000,1.6199999999999999,-6000,1976000,N/A,0,N/A,N/A,0,0,N/A,10297000,1.5900000000000003,-156582000,-156582000,117430000,-25873000,-25873000,13279000,117430000,N/A,13279000,16004000,0,16004000,16004000,N/A,64535000,59304000,116840000,54938000,7907000,5231000,5707000,N/A,N/A,N/A,N/A,N/A,33046000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.78,6883000,0,8.812906538856556,20.616352201257858,0.8628031143165253,8.004634763787658,225624740,1.1249276237466725,2354730000,0.43729005023930556,3.9376371882433023,3.9376371882433023,NaN,16.10038295445286,0.537,N/A,-2129105260,-18.222400376583362,Financial Services,Banks - Regional,2101,EQUITY,68870.78,4.85%,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,7
LCNB,2093662000,N/A,41233000,N/A,2093662000,N/A,253246000,0,2346908000,253246000,N/A,2346908000,0,0,2346908000,N/A,11605000,14085254,93459000,14085254,N/A,7079000,7972000,93459000,7079000,7079000,93459000,101431000,7972000,0.4700000000000002,-951000,893000,N/A,40000,N/A,N/A,0,40000,N/A,7039000,0.4700000000000002,50678000,50678000,-116292000,-4048000,-4048000,61566000,-116292000,N/A,61566000,22304000,0,22011000,22011000,155662000,58741000,55210000,101431000,66260000,19022000,3531000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.49,14118040,0,6.979128668750185,32.957446808510625,0.8635415351081558,8.267305307882454,218688439.6,1.1209583972962207,2346908000,0.3016309118210002,2.7953057501401797,1.7311962593052714,NaN,11.201705970898143,0.78,N/A,-1972557560.4,-19.447284956275695,Financial Services,Banks - Regional,9839,EQUITY,152406.11000000002,3.03%,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
FVCB,2062452000,N/A,866000,N/A,2062452000,N/A,230830000,0,2293282000,230830000,N/A,2293282000,0,0,2293282000,N/A,N/A,-18173405,-7764000,-17660269,N/A,5094000,9333000,-7764000,5094000,5094000,-7764000,1569000,9333000,0.28,N/A,4239000,N/A,0,N/A,N/A,0,0,N/A,5094000,0.27,11251000,11251000,-26673000,2491000,2491000,17913000,-26673000,N/A,17913000,12113000,0,17207000,17207000,N/A,53334000,53328000,110682000,36217000,N/A,169000,12113000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.81,18204455,0,324.66539196940727,43.74074074074074,0.9313980572282632,8.934939132695057,214994613.55,1.1119201804454115,2293282000,0.22212706505349103,2.2068188710306287,2.2068188710306287,NaN,45.41947926711668,0.265,N/A,-2078287386.45,-1324.5936178776292,Financial Services,Banks - Regional,1677,EQUITY,19805.370000000003,2.29%,0,0,1,1,0,0,0,0,0,0,0,1,0,1,-1,3
