Ticker,current_assets,assets,other_noncurrent_assets,current_liabilities,other_current_assets,fixed_assets,equity_attributable_to_parent,noncurrent_assets,liabilities_and_equity,equity_attributable_to_noncontrolling_interest,noncurrent_liabilities,liabilities,inventory,equity,diluted_earnings_per_share,basic_average_shares,net_income_loss_available_to_common_stockholders_basic,income_tax_expense_benefit_deferred,cost_of_revenue,basic_earnings_per_share,gross_profit,net_income_loss_attributable_to_noncontrolling_interest,revenues,costs_and_expenses,net_income_loss_attributable_to_parent,benefits_costs_expenses,research_and_development,income_loss_from_continuing_operations_before_tax,income_tax_expense_benefit,participating_securities_distributed_and_undistributed_earnings_loss_basic,income_loss_from_continuing_operations_after_tax,preferred_stock_dividends_and_other_adjustments,other_operating_expenses,net_income_loss,operating_income_loss,operating_expenses,diluted_average_shares,net_cash_flow_from_investing_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_operating_activities_continuing,exchange_gains_losses,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow,net_cash_flow_from_financing_activities,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,other_comprehensive_income_loss,selling_general_and_administrative_expenses,interest_expense_operating,intangible_assets,prepaid_expenses,accounts_payable,other_current_liabilities,wages,depreciation_and_amortization,nonoperating_income_loss,common_stock_dividends,other_noncurrent_liabilities,long_term_debt,interest_income_expense_after_provision_for_losses,interest_and_dividend_income_operating,noninterest_expense,noninterest_income,interest_income_expense_operating_net,provision_for_loan_lease_and_other_losses,income_loss_before_equity_method_investments,income_loss_from_equity_method_investments,accounts_receivable,redeemable_noncontrolling_interest,temporary_equity,net_income_loss_attributable_to_redeemable_noncontrolling_interest,redeemable_noncontrolling_interest_preferred,noncurrent_prepaid_expenses,commitments_and_contingencies,cash,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_loss_from_discontinued_operations_net_of_tax,income_tax_expense_benefit_current,undistributed_earnings_loss_allocated_to_participating_securities_basic,temporary_equity_attributable_to_parent,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
MKTW,172495000,278351000,97602000,283972000,163502000,567000,-19477000,105856000,278351000,-227638000,241494000,525466000,N/A,-247115000,0.12,77253000,5060000,1893000,52714000,0.13999999999999999,370664000,63541000,423378000,357351000,5060000,352533000,8987000,70845000,2244000,0,68601000,0,292811000,68601000,66027000,304637000,80101000,-1027000,-99913000,-10608000,1000,-1027000,-88278000,-10608000,-99912000,-88278000,0,N/A,68602000,68602000,1000,N/A,N/A,7687000,8993000,N/A,N/A,N/A,2839000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0.6091,39562797,0.8754918772350004,16.203250995564247,5.075833333333334,-0.09751613480646662,0,24097699.6527,0.6074366486836731,8993000,24.645501543015833,0,0,2.424567802646062,3.1674782976921447,,N/A,15104699.6527,0.035676628574701566,Financial Services,Financial Data & Stock Exchanges,6834090,EQUITY,4162644.219,19.70%,1,1,1,0,1,0,0,1,0,0,1,0,0,0,34,40
MFIN,2880052000,2880052000,N/A,2448876000,N/A,N/A,362388000,0,2880052000,68788000,0,2448876000,N/A,431176000,1.6900000000000002,22616913,43078000,N/A,N/A,1.78,N/A,4535000,281768000,215144000,41566000,215144000,N/A,62842000,20524000,0,46101000,0,215343600,46101000,66624000,215144000,23735444,-323556000,60287000,106771000,N/A,-323556000,277072000,106771000,60287000,277072000,6046000,N/A,42767000,48813000,2713000,N/A,N/A,19508000,N/A,N/A,N/A,N/A,-199600,N/A,N/A,N/A,232037000,132846000,281768000,76299000,10077000,199540000,66694000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.34,23067748,0,16.361332727634082,4.934911242603549,0.44618675046848616,5.679527617492625,192385018.32,1.1760709811358354,2880052000,1.6007002651341018,10.691921628291,6.951160486902398,NaN,32.659686197129304,2.091,N/A,-2455629981.68,-8.71507758751881,Financial Services,Credit Services,7822,EQUITY,65235.479999999996,20.26%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,35,39
FF,176237000,256466000,3414000,29651000,150395000,76815000,213291000,80229000,256466000,0,13524000,43175000,24878000,213291000,0.8200000000000001,87526486,36090000,618000,235714000,0.8200000000000001,38125000,0,273839000,168489000,36090000,168489000,3959000,105350000,602000,0,36090000,0,9002000,36090000,25164000,12961000,87526006,-9556000,-72525000,56942000,N/A,-9556000,-119911000,56942000,-72525000,-119911000,0,N/A,36090000,36090000,12706000,N/A,N/A,N/A,964000,11587000,15340000,2724000,N/A,11528000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.52,43763243,0.13922414265316482,13.179276874367785,5.512195121951218,0.9274177455213767,0.20242298081025453,197809858.35999998,5.943711847829753,964000,14.072040738343484,16.920545170682306,16.920545170682306,10.384262295081967,0.5714285714285714,0.483,N/A,196845858.35999998,0.7188379243277984,Basic Materials,Specialty Chemicals,234889,EQUITY,1061698.2799999998,18.14%,0,0,1,0,1,0,1,0,1,1,1,0,0,0,31,37
AMPY,70157000,739216000,290188000,66168000,N/A,378871000,414670000,669059000,739216000,0,258378000,324546000,N/A,414670000,0.54,39783000,21569000,5650000,4290000,0.54,65568000,0,69858000,37258000,22652000,41144000,N/A,28714000,6062000,2166000,22652000,1083000,N/A,22652000,32600000,32968000,39783000,-18078000,-502000,15737000,N/A,-18078000,1839000,15737000,-502000,1839000,0,N/A,22652000,22652000,0,N/A,N/A,N/A,N/A,18107000,48061000,N/A,N/A,-3886000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,412000,1083000,N/A,4.85,39941920,0.9385897105556987,32.42577800681382,8.981481481481481,0.4671625919405792,0.7826609110859237,193718312,1.0602859388223915,70157000,3.0643276119564513,5.46265705259604,5.46265705259604,0,21.111652852267188,1.907,N/A,123561312,1.768749634973804,Energy,Oil & Gas E&P,318186,EQUITY,1543202.0999999999,11.13%,1,1,1,1,1,0,0,0,0,0,1,1,0,0,17,24
OPBK,2387980000,2387980000,N/A,2184377000,N/A,4961000,203603000,0,2387980000,0,0,2184377000,N/A,203603000,1.4,29742602,20879000,-648000,N/A,1.4,N/A,0,2851000,-26859000,21270000,-26859000,N/A,29710000,8440000,391000,21270000,391000,N/A,21270000,29710000,-26859000,29700453,-171900000,61016000,24721000,N/A,-171900000,208195000,24721000,61016000,208195000,0,8099000,29369000,29369000,29369000,N/A,69487000,N/A,N/A,N/A,N/A,N/A,1395000,N/A,N/A,N/A,N/A,63069000,134352000,49049000,15690000,64909000,1840000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,14819866,0,746.0540161346896,9.428571428571429,0.9608023025201003,10.728609106938503,195622231.2,1.0932087272480895,2387980000,0.8907109774788733,10.44680088210881,10.44680088210881,NaN,28.4079434533827,0.583,N/A,-2192357768.8,-768.9785229042442,Financial Services,Banks - Regional,11833,EQUITY,156195.6,10.61%,0,0,1,1,1,0,0,0,0,0,0,1,0,1,16,21
UTMD,101656000,129694000,14027000,3435000,92549000,10419000,124197000,28038000,129694000,0,2062000,5497000,9107000,124197000,4.28,3542000,15259000,-826000,18160000,4.28,25918000,0,44078000,26603000,15259000,26603000,838000,17475000,2947000,0,15259000,0,N/A,15259000,14951000,10967000,3541000,-289000,-225000,17226000,468000,-289000,-17162000,17226000,243000,-17162000,0,N/A,16028000,16028000,769000,N/A,N/A,3592000,N/A,999000,2436000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.61,3335156,0.5880030854394482,34.61817686827896,13.927570093457943,1.6007524268702142,0.04426032834931601,198808649.16,29.594177583697235,0,11.765386216787206,12.286126073898727,12.286126073898727,3.233274172389845,16.86409155937053,0.06,N/A,198808649.16,4.510382711556786,Healthcare,Medical Instruments & Supplies,9792,EQUITY,583701.12,7.18%,1,1,1,1,1,0,1,0,0,0,1,1,0,1,9,18
STRT,253934000,355895000,22689000,97575000,80856000,79272000,204536000,101961000,355895000,23619000,30165000,127740000,81511000,228155000,4.010000000000001,8012000,16148000,N/A,483476000,4.04,69323000,191000,552799000,532433000,16148000,532433000,N/A,20366000,4027000,0,16339000,0,N/A,16339000,18847000,50476000,8083000,-8385000,31638000,39960000,N/A,-8385000,63000,39960000,31638000,63000,-2632000,N/A,12199000,9567000,-6772000,N/A,1013000,N/A,N/A,50615000,31356000,15604000,N/A,1459000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91567000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.73,4172217,0.1254036277200212,2.955685520415196,12.401496259351617,0.9094008520961626,0.5598825359952664,207484351.41,2.602449397899052,0,4.590960817094929,7.161359602024938,7.161359602024938,0,19.77315133064912,1.126,N/A,207484351.41,0.37533416560087846,Consumer Cyclical,Auto Parts,16878,EQUITY,839342.94,8.06%,0,0,0,0,1,0,1,0,0,0,1,1,0,1,11,16
KINS,346994401,346994401,N/A,287324669,N/A,9299163,59669732,0,346994401,0,0,287324669,N/A,59669732,1.33,11143821,15865713,4638649,N/A,1.44,N/A,0,149645312,129138220,15865713,129138220,N/A,20507092,4641379,0,15865713,0,126656968,15865713,20507092,129138220,12251354,-19511732,18627829,39387072,N/A,-19511732,-1247511,39387072,18627829,-1247511,0,N/A,23945079,23945079,8079366,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2481252,N/A,N/A,N/A,17297587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.06,12349132,0,10.602211848774788,12.07518796992481,3.3237464502103005,4.815249865710809,198327059.92,1.2076735429911867,346994401,4.572325361526511,26.589214444603172,20.61357106644185,NaN,22.63304324182093,0.716,N/A,-131369754.08000001,-0.8778741700909415,Financial Services,Insurance - Property & Casualty,443002,EQUITY,7114612.119999999,8.28%,0,0,1,0,0,0,0,0,1,1,0,1,1,0,11,16
VABK,1614780000,1614780000,N/A,1448871000,N/A,15562000,165909000,0,1614780000,0,0,1448871000,N/A,165909000,2.8899999999999997,5374615,15573000,N/A,N/A,2.91,N/A,0,74703000,55854000,15573000,55854000,N/A,18849000,3276000,0,15573000,0,N/A,15573000,18849000,55854000,5378644,-28935000,775000,15138000,N/A,-28935000,14572000,15138000,775000,14572000,0,21469000,37042000,37042000,37042000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3200000000000003,N/A,N/A,44574000,74703000,33182000,7457000,44894000,282000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.38,5370912,0,20.846552347295287,12.588235294117649,1.1777165708912718,8.732925881055277,195393778.56,1.1145091592005085,1614780000,0.9644038197153793,9.386470896696382,9.386470896696382,NaN,17.38023237307019,0.668,N/A,-1419386221.44,-19.000391168226177,Financial Services,Banks - Regional,566,EQUITY,20591.08,7.94%,0,0,1,1,1,0,0,0,0,0,0,1,1,1,10,16
TZOO,27347000,50530000,21122000,34381000,N/A,470000,-2231000,23183000,50530000,4751000,13629000,48010000,N/A,2520000,1.0699999999999998,25022000,14066000,120000,10406000,1.06,73967000,59000,84373000,65175000,14066000,65175000,2343000,19198000,5538000,0,13660000,0,52464000,14125000,18126000,55841000,25343000,-64000,-4707000,14639000,231000,-64000,-19282000,14639000,-4476000,-19282000,0,N/A,13849000,13849000,-276000,N/A,N/A,1591000,N/A,4984000,29397000,N/A,1213000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,465000,N/A,N/A,N/A,16.47,11804410,0.876666706173776,16.74113756770531,15.392523364485983,77.15025107142857,19.0515873015873,194418632.7,0.7954102556644659,27347000,27.953690876706904,560.515873015873,542.063492063492,3.1676288074411563,28.84675487029899,1.688,N/A,167071632.7,1.9801551764189964,Communication Services,Advertising Agencies,128265,EQUITY,2112524.55,6.50%,1,1,1,0,0,0,0,1,1,1,1,1,0,0,7,15
