Ticker,income_loss_from_continuing_operations_after_tax,depreciation_and_amortization,interest_income_expense_after_provision_for_losses,net_income_loss_attributable_to_noncontrolling_interest,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_available_to_common_stockholders_basic,noninterest_income,income_loss_before_equity_method_investments,interest_expense_operating,diluted_earnings_per_share,income_tax_expense_benefit,income_loss_from_continuing_operations_before_tax,operating_expenses,net_income_loss_attributable_to_parent,costs_and_expenses,noninterest_expense,net_income_loss,revenues,interest_income_expense_operating_net,provision_for_loan_lease_and_other_losses,operating_income_loss,benefits_costs_expenses,other_operating_expenses,interest_and_dividend_income_operating,diluted_average_shares,basic_average_shares,preferred_stock_dividends_and_other_adjustments,income_tax_expense_benefit_deferred,basic_earnings_per_share,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_noncontrolling_interest,equity_attributable_to_noncontrolling_interest,current_liabilities,equity_attributable_to_parent,current_assets,equity,fixed_assets,noncurrent_liabilities,liabilities,liabilities_and_equity,assets,noncurrent_assets,net_cash_flow,net_cash_flow_from_investing_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_investing_activities,common_stock_dividends,prepaid_expenses,long_term_debt,accounts_payable,other_current_assets,other_current_liabilities,other_noncurrent_liabilities,nonoperating_income_loss,research_and_development,other_noncurrent_assets,wages,cash,accounts_receivable,inventory,gross_profit,selling_general_and_administrative_expenses,cost_of_revenue,income_loss_from_equity_method_investments,income_tax_expense_benefit_current,intangible_assets,exchange_gains_losses,cost_of_revenue_goods,undistributed_earnings_loss_allocated_to_participating_securities_basic,temporary_equity_attributable_to_parent,temporary_equity,income_loss_from_discontinued_operations_net_of_tax,noncurrent_prepaid_expenses,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
NEWP,31121000,17200000,N/A,0,0,31121000,N/A,43066000,2314000,0.78,11945000,43066000,215131000,31121000,559625000,N/A,31121000,602691000,N/A,N/A,47389000,559625000,N/A,N/A,39830000,39221000,0,-122000,0.79,-6712000,24409000,24409000,N/A,0,0,97606000,367513000,280014000,367513000,83446000,111524000,209130000,576643000,576643000,296629000,-5205000,-29346000,-5737000,51666000,-28057000,51666000,-28057000,-29346000,N/A,N/A,74247000,29994000,166509000,34847000,37277000,N/A,58512000,147363000,32765000,N/A,N/A,113505000,262520000,155531000,340171000,N/A,11730000,65820000,532000,340171000,N/A,N/A,N/A,N/A,N/A,1.08,171640213,0.43557975811817334,5.163674254302785,1.3846153846153846,0.5043942120142689,0.5690410951449336,185371430.04000002,2.8688195397823906,0,5.396926694679377,8.467999771436657,7.044775443679827,22.288587536187716,27.73649746900107,1.135,N/A,259618430.04000002,0.4307654005784059,Basic Materials,Other Precious Metals & Mining,151661,EQUITY,163793.88,72.22%,1,1,0,0,1,0,1,0,0,0,1,1,0,1,139,146
PBYI,23241000,11572000,N/A,0,0,23241000,N/A,N/A,N/A,0.47,1425000,24666000,136364000,23241000,211170000,N/A,23241000,243569000,N/A,N/A,32399000,218903000,41067000,N/A,145808674,145647338,0,N/A,0.48,23271000,23271000,23271000,N/A,0,0,110397000,71088000,156817000,71088000,601000,39236000,149633000,220721000,220721000,63904000,-17322000,-26288000,-17322000,33766000,-24800000,33766000,-24800000,-26288000,N/A,2540000,79335000,7509000,61697000,98533000,N/A,-7733000,N/A,63303000,4355000,89907000,N/A,2673000,168763000,83725000,74806000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.58,49087684,0.6928755301372507,9.541854669518699,7.617021276595746,2.4720615113661943,2.10489815440018,175733908.72,1.4204824406460321,92447000,10.529582595222022,32.693281566509114,15.450429787997846,0,5.777183167112625,1.326,N/A,162621908.72,0.6676625872750638,Healthcare,Biotechnology,561126,EQUITY,2008831.08,13.13%,1,1,0,0,1,0,0,0,1,1,1,0,0,0,21,27
SEVN,17820000,N/A,N/A,0,184000,17636000,N/A,N/A,N/A,1.2,33000,17853000,17421000,17820000,17421000,N/A,17820000,35274000,N/A,3080000,17853000,17421000,N/A,N/A,14712000,14712000,184000,N/A,1.2,0,17820000,17820000,N/A,0,0,423530000,269278000,692808000,269278000,N/A,0,423530000,692808000,692808000,0,-17105000,21261000,-17105000,20110000,-58476000,20110000,-58476000,21261000,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.89,14902773,0,50.51879571355673,10.741666666666667,0.7133770451726469,1.572835508285118,192096743.97,1.6357943947300073,692808000,2.5721411992933105,6.617696209864898,6.617696209864898,NaN,0.18484288354898337,0.546,N/A,-500711256.03,-14.19491001956115,Real Estate,REIT - Mortgage,18770,EQUITY,241945.30000000002,9.31%,0,0,1,1,1,0,1,0,0,0,0,0,0,1,13,18
GENC,16211000,N/A,N/A,0,0,16211000,N/A,N/A,N/A,1.0999999999999999,4421000,20632000,17436000,16211000,92484000,N/A,16211000,113116000,N/A,N/A,15140000,92484000,N/A,N/A,14658000,14658000,0,N/A,1.0999999999999999,0,16211000,16211000,N/A,0,0,7005000,194689000,185971000,194689000,12038000,61000,7066000,201755000,201755000,15784000,0,-1783000,0,24357000,-22574000,24357000,-22574000,-1783000,N/A,531000,N/A,2346000,122208000,4659000,N/A,5492000,3360000,3746000,N/A,N/A,N/A,63232000,32576000,14076000,80540000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.04,14657702,0.2879875526008699,14.331305916050779,11.854545454545455,0.9817526109846986,0.03629378136412432,191136434.07999998,26.548322626695217,531000,8.034992936978018,8.326613213894982,8.326613213894982,10.31434184675835,21.427879022877082,0.45,N/A,190605434.07999998,1.6850439732663813,Industrials,Farm & Heavy Construction Machinery,1990,EQUITY,25949.6,8.44%,1,0,1,0,1,0,1,0,0,0,1,1,0,1,11,18
VIASP,19064000,2040000,N/A,10497000,2710000,5857000,N/A,N/A,1929000,1.81,4752000,23816000,19373000,8567000,88335000,N/A,19064000,114056000,N/A,N/A,25721000,90240000,17333000,N/A,3233000,3233000,2710000,1562000,1.81,0,19064000,19064000,N/A,0,2285000,68049000,53181000,159341000,55466000,4909000,0,159149000,302662000,302662000,143321000,7828000,-450000,7828000,17099000,-8821000,17099000,-8821000,-450000,N/A,N/A,91000000,N/A,157978000,N/A,100000,-1905000,N/A,138359000,N/A,N/A,N/A,1363000,45094000,N/A,68962000,N/A,N/A,53000,N/A,N/A,N/A,N/A,88047000,N/A,N/A,23.88,N/A,0.39536718804797644,16.714596338640668,13.193370165745856,NaN,2.8693073234053292,NaN,2.341562697468001,0,6.2987755317813265,34.37060541593048,13.01599005912635,0,19.95297279140074,,N/A,NaN,NaN,Utilities,Utilities - Regulated Electric,8209,EQUITY,196030.91999999998,7.58%,1,0,1,0,0,0,1,0,1,0,1,1,0,1,10,17
FCCO,13020000,N/A,49512000,0,0,13020000,13327000,16520000,36446000,1.69,3500000,16520000,-15527000,13020000,-15527000,46319000,13020000,993000,50478000,966000,16520000,-15527000,N/A,86924000,7693000,7617000,0,N/A,1.7100000000000002,22854000,22854000,22854000,9834000,0,0,1800236000,143312000,1943548000,143312000,30099000,0,1800236000,1943548000,1943548000,0,74042000,-71459000,74042000,23190000,122311000,23190000,122311000,-71459000,0.5700000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.93,7644424,0,1311.178247734139,14.751479289940828,1.3297943669755499,12.56165568828849,190575490.32,1.0796073403709292,1943548000,0.6699088471187745,9.085073127163113,9.085073127163113,NaN,21.1864406779661,0.419,N/A,-1752972509.68,-1765.3298184088621,Financial Services,Banks - Regional,26942,EQUITY,671664.0599999999,6.78%,0,0,1,1,1,0,0,0,0,0,0,1,0,1,8,13
NKSH,8729000,N/A,34479000,0,0,8729000,8971000,N/A,21251000,1.4600000000000002,1770000,10499000,-3176000,8729000,-3176000,32951000,8729000,7323000,34873000,377000,10499000,-3176000,N/A,67317000,6094617,6092468,0,N/A,1.4600000000000002,37425000,46154000,46154000,N/A,0,0,1617251000,167782000,1785033000,167782000,16165000,0,1617251000,1785033000,1785033000,0,-3672000,-3797000,-3672000,6211000,-6086000,6211000,-6086000,-3797000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1963000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.12,6361433,0,119.19978151030999,19.26027397260274,1.0661661916057743,9.639001799954704,178883495.96,1.1037451824113882,1785033000,0.4890105673116408,5.202584305825416,5.202584305825416,NaN,16.858748452233545,0.492,N/A,-1606149504.04,-219.32944203741636,Financial Services,Banks - Regional,495,EQUITY,13919.4,5.19%,0,0,1,1,1,0,0,0,0,0,0,1,0,1,5,10
AFCG,8429079,N/A,N/A,-45143,470290,8162109,N/A,N/A,6329737,0.4000000000000001,1483969,9913048,19975955,8419631,48091804,N/A,8587256,58004852,N/A,10905885,38028897,48091804,N/A,N/A,41160279,41087018,470290,0,0.4000000000000001,20951999,8587256,8587256,N/A,0,0,160557096,206061312,366618408,206061312,N/A,0,160557096,366618408,366618408,0,48959190,109308626,92906851,25574227,-38712324,22310549,-38712324,62097287,1.9200000000000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1379072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.53,21952677,0,14.804375330532693,21.324999999999996,0.9087408645151206,0.7791714730031419,187256334.80999997,2.2834145430732007,366618408,2.342287188154502,4.167330546745233,4.090568442076114,NaN,14.969855890942926,1.066,N/A,-179362073.19000003,-3.0921908599990915,Real Estate,REIT - Mortgage,95858,EQUITY,817668.74,4.69%,0,0,1,0,1,0,1,0,0,0,0,1,0,1,4,9
MNSBP,11334000,N/A,59229000,0,2156000,9178000,3501000,N/A,N/A,1.21,2020000,13354000,-11328000,11334000,-11328000,49376000,11334000,2026000,63051000,3822000,13354000,-11328000,N/A,132380000,N/A,7608918,2156000,-467000,1.21,15769000,15769000,15769000,4435000,0,0,1998548000,226051000,2224599000,226051000,13571000,0,1998548000,2224599000,2224599000,0,110931000,-108246000,110931000,14612000,204565000,14612000,204565000,-108246000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,905000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.2,N/A,0,559.4274432379071,20,NaN,8.841137619386776,NaN,1.1131076161293099,2224599000,0.5094850802324374,5.013912789591729,5.013912789591729,NaN,15.126553841545604,,N/A,NaN,NaN,Financial Services,Banks - Regional,84,EQUITY,2032.8,5.00%,0,0,1,1,0,0,0,0,0,0,0,1,0,1,5,9
CLAR,-22341000,N/A,N/A,0,0,4845000,N/A,N/A,N/A,0.12999999999999995,-4990000,-27331000,121233000,4845000,296744000,N/A,4845000,269413000,N/A,N/A,-30337000,296744000,N/A,N/A,38504000,38504000,0,N/A,0.12999999999999995,9227000,14072000,14072000,N/A,0,0,36002000,308474000,191573000,308474000,17171000,30862000,66864000,375338000,375338000,183765000,28558000,164277000,28558000,-9374000,-126345000,-9374000,-126345000,164277000,0.1,N/A,N/A,12677000,98426000,23325000,N/A,3006000,N/A,166594000,N/A,N/A,N/A,93147000,90896000,115903000,178517000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27186000,N/A,4.6,38362162,0.33738535259991165,1.798354199685984,35.384615384615394,0.5720610009271445,0.2167573280081952,176465945.2,5.3211766012999275,0,1.2908365260112218,1.5706348022847956,-7.242425617718188,0,18.25765614137792,0.823,N/A,176465945.2,0.6550015968049054,Consumer Cyclical,Leisure,69468,EQUITY,319552.8,2.83%,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,6
