Ticker,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,net_cash_flow_from_investing_activities,net_cash_flow,net_cash_flow_from_investing_activities_continuing,net_cash_flow_continuing,net_income_loss_available_to_common_stockholders_basic,net_income_loss_attributable_to_noncontrolling_interest,preferred_stock_dividends_and_other_adjustments,revenues,basic_average_shares,noninterest_expense,basic_earnings_per_share,costs_and_expenses,diluted_earnings_per_share,interest_income_expense_after_provision_for_losses,income_loss_from_continuing_operations_after_tax,net_income_loss,interest_expense_operating,operating_income_loss,diluted_average_shares,net_income_loss_attributable_to_parent,noninterest_income,income_loss_from_continuing_operations_before_tax,participating_securities_distributed_and_undistributed_earnings_loss_basic,interest_and_dividend_income_operating,operating_expenses,income_tax_expense_benefit,provision_for_loan_lease_and_other_losses,interest_income_expense_operating_net,income_tax_expense_benefit_deferred,benefits_costs_expenses,liabilities_and_equity,equity_attributable_to_parent,equity,noncurrent_assets,liabilities,assets,fixed_assets,equity_attributable_to_noncontrolling_interest,current_liabilities,noncurrent_liabilities,intangible_assets,current_assets,other_comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss,net_income_loss_attributable_to_redeemable_noncontrolling_interest,other_operating_expenses,gross_profit,research_and_development,income_tax_expense_benefit_current,cost_of_revenue,undistributed_earnings_loss_allocated_to_participating_securities_basic,exchange_gains_losses,wages,redeemable_noncontrolling_interest,accounts_payable,long_term_debt,other_current_assets,temporary_equity,other_current_liabilities,other_noncurrent_liabilities,inventory,other_noncurrent_assets,selling_general_and_administrative_expenses,nonoperating_income_loss,prepaid_expenses,depreciation_and_amortization,other_operating_income_expenses,income_loss_before_equity_method_investments,income_loss_from_equity_method_investments,cash,long_term_investments,temporary_equity_attributable_to_parent,interest_and_debt_expense,accounts_receivable,common_stock_dividends,cost_of_revenue_services,cost_of_revenue_goods,net_cash_flow_discontinued,net_cash_flow_from_operating_activities_discontinued,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,interest_payable,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
HTCO,-6697000,36411000,36411000,-6697000,-27433000,2281000,-27433000,2281000,7769000,0,0,187253000,40785450,N/A,N/A,171002000,0.5700000000000001,N/A,10394000,7769000,4319000,17442000,40960542,7769000,N/A,13135000,0,N/A,135816000,5366000,N/A,N/A,N/A,174118000,270623000,49844000,49844000,39290000,220779000,270623000,178069000,0,34932000,185847000,3827000,49669000,78000,7847000,7847000,0,7847000,N/A,56925000,118981000,N/A,N/A,68272000,N/A,N/A,N/A,N/A,3586000,134255000,14223000,N/A,31346000,51592000,1043000,N/A,29553000,-4307000,2753000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31650000,0.595,68272000,41835000,N/A,N/A,N/A,N/A,N/A,2.99,91569579,0.6354023700554864,4.148932193342697,5.245614035087719,5.492998981020785,4.429399727148704,273793041.21000004,1.4218767891904271,2753000,2.870783340662102,15.586630286493861,5.64587531708483,0,40.852683669585076,,N/A,405295041.21000004,2.1644248220856275,Industrials,Marine Shipping,46353,EQUITY,138595.47,19.06%,1,1,0,0,0,0,0,0,1,0,1,1,0,1,33,39
VIRC,-7340000,46107000,46107000,-7340000,-4796000,33971000,-4796000,33971000,25032000,0,0,280375000,16397000,N/A,1.53,246838000,1.54,N/A,25032000,25032000,625000,33207000,16436000,25032000,N/A,33537000,0,N/A,90103000,8505000,N/A,N/A,N/A,246838000,210145000,115859000,115859000,90692000,94286000,210145000,35621000,0,41544000,52742000,N/A,119453000,N/A,24863000,24863000,0,24863000,N/A,N/A,123310000,N/A,N/A,157065000,N/A,N/A,12439000,N/A,15381000,4199000,70505000,N/A,13724000,48543000,48948000,55071000,90103000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.28,16289406,0.439803834150691,8.928042799821668,6.675324675324675,1.4453352236770558,0.8137995321899896,167455093.67999998,2.8753369921047565,0,11.911775202836138,21.605572290456504,20.84992253744024,0,25.360050093926112,0.76,N/A,171654093.67999998,0.6122303831654033,Consumer Cyclical,"Furnishings, Fixtures & Appliances",63271,EQUITY,650425.88,14.98%,1,1,0,0,1,0,1,0,1,1,1,1,1,1,24,34
UBFO,-38736000,21835000,21835000,-38736000,29519000,12618000,29519000,12618000,17688000,0,0,2874000,17193989,27721000,1.04,-21367000,1.04,44376000,17688000,17688000,N/A,24241000,17196413,17688000,7586000,24241000,0,61011000,-21367000,6553000,258000,46999000,-288000,-21367000,1255376000,132856000,132856000,0,1122520000,1255376000,N/A,0,1122520000,0,N/A,1255376000,7930000,25618000,25618000,0,25618000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.73,17364894,0,615.4488517745302,9.355769230769232,1.2717560262238816,8.449147949659782,168960418.62,1.118355129529986,1255376000,1.408980257707651,13.31366291322936,13.31366291322936,NaN,27.03271317189885,0.514,N/A,-1086415581.38,-378.0151640153097,Financial Services,Banks - Regional,6827,EQUITY,66426.71,10.69%,0,0,1,1,1,0,0,0,0,0,0,1,0,1,16,21
MRBK,131881000,18167000,18167000,131881000,-177460000,-27412000,-177460000,-27412000,11315000,0,0,5447000,11084000,77441000,1.02,-9469000,1.0099999999999998,56181000,11315000,11315000,69023000,14916000,11136000,11315000,36176000,14916000,0,152344000,-9469000,3601000,14643000,68638000,-338000,-9469000,2387721000,167450000,167450000,0,2220271000,2387721000,12807000,0,2220271000,0,2818000,2387721000,5093000,16408000,5093000,0,16408000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.29,11240075,0,207.7290251514595,15.13861386138614,1.0263406793072558,13.259307255897284,171860746.75,1.0754187214083326,2387721000,0.4738828363950395,6.7572409674529705,6.7572409674529705,NaN,24.141861088763743,0.864,N/A,-2215860253.25,-406.80379167431613,Financial Services,Banks - Regional,83614,EQUITY,1278458.0599999998,6.61%,0,0,1,1,1,0,0,0,0,0,0,1,0,0,8,12
FRAF,95769000,7799000,7799000,95769000,-46978000,56590000,-46978000,56590000,4218000,0,0,26053000,4412000,13917000,0.96,20950000,0.95,14167000,4218000,4218000,N/A,5103000,4423000,4218000,4853000,5103000,0,26053000,20950000,885000,485000,14652000,N/A,20950000,2151363000,149928000,149928000,0,2001435000,2151363000,29162000,0,2001435000,0,N/A,2151363000,9996000,14214000,14214000,0,14214000,N/A,20423000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,527000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.69,4427000,0,16.19007407976049,39.67368421052632,1.112891721359586,13.349307667680486,166853630,1.074910251894266,2151363000,0.19606175247970703,2.8133504081959337,2.8133504081959337,NaN,17.342739564961786,0.23,N/A,-1984509370,-76.17200974935707,Financial Services,Banks - Regional,6273,EQUITY,236429.37,2.52%,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3
FBIOP,2711000,-20059000,-20059000,2711000,17348000,0,17348000,0,-15040000,-13827000,2173000,14629000,19697290,N/A,-0.76,36724000,-0.76,N/A,-26694000,-26694000,N/A,-22095000,19697290,-12867000,N/A,-26625000,2173000,N/A,31439000,69000,N/A,N/A,N/A,41254000,127085000,21158000,-12738000,40807000,139823000,127085000,3403000,-33896000,70305000,69518000,N/A,86278000,N/A,-26694000,0,0,-26694000,N/A,0,9344000,9446000,N/A,5285000,N/A,N/A,N/A,N/A,34030000,52473000,74490000,N/A,36275000,17045000,11788000,37404000,21993000,-4530000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13827000,N/A,5.82,N/A,0.6387312871693213,-182.4731697313555,0,NaN,0,NaN,1.2271957897731314,0,-21.00483928079632,0,-67.18006795016987,101.09160958904108,-0.2591549295774648,1.751,N/A,NaN,NaN,Healthcare,Biotechnology,5480,EQUITY,31893.600000000002,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
INFU,-5953000,17186000,17186000,-5953000,-11014000,219000,-11014000,219000,1484000,0,0,132784000,21327529,N/A,0.07,129262000,0.07,N/A,1484000,1484000,N/A,5525000,21738208,1484000,N/A,3522000,0,N/A,63373000,2038000,N/A,N/A,1691000,129262000,105303000,55513000,55513000,71690000,49790000,105303000,3910000,0,16936000,32854000,6704000,33613000,-798000,686000,686000,0,686000,N/A,51151000,68898000,N/A,N/A,63886000,N/A,N/A,N/A,N/A,8908000,27975000,26913000,N/A,8028000,4879000,6700000,61076000,N/A,N/A,N/A,12222000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.98,21295254,0.5188727557537053,1.1176045306663454,114,3.0611951600526,0.8969070307855818,169936126.92000002,1.9847071327350023,0,1.409266592594703,2.673247707744132,1.7775009582215409,0,57.864849517319705,1.759,N/A,197911126.92000002,1.490474205627184,Healthcare,Medical Instruments & Supplies,46639,EQUITY,372179.22000000003,0.88%,1,1,0,0,0,0,1,0,0,0,1,1,0,1,-4,2
ACR,-100927000,8417000,8417000,-100927000,71952000,-20558000,71952000,-20558000,2824000,-88000,0,22353000,7669051,N/A,0.37,17136000,0.36,10750000,8054000,8054000,N/A,5217000,7945622,2824000,N/A,8136000,0,39301000,17136000,82000,-291000,10459000,N/A,14217000,2010336000,436340000,446892000,0,1563444000,2010336000,N/A,10552000,1563444000,0,7152000,2010336000,401000,3225000,401000,5230000,8455000,N/A,17120000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1498189000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2919000,N/A,16000,N/A,8304000,-168000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-88000,N/A,N/A,20.97,7736907,0,36.03095781326891,58.25,0.3630473129749469,3.4984828549179667,162242939.79,1.2858381880003378,2010336000,0.40062954650366905,1.8022251461203156,0.4140701595460549,NaN,1.007866273352999,2.126,N/A,-349904060.21000004,-15.65356150002237,Real Estate,REIT - Mortgage,23915,EQUITY,501497.55,1.72%,0,0,1,1,1,0,0,0,0,0,0,0,0,1,-2,2
FATBP,58199000,-56246000,-56246000,58199000,-26467000,-24514000,-26467000,-24514000,-197626000,0,7779000,592652000,17041888,N/A,-11.6,644872000,-11.6,N/A,-189847000,-189847000,N/A,-52220000,17041888,-189847000,N/A,-192600000,7779000,N/A,644872000,-2753000,N/A,N/A,-5100000,785252000,1289178000,-455712000,-455712000,1201144000,1744890000,1289178000,97390000,0,298316000,1446574000,595689000,88034000,N/A,-189847000,0,0,-189847000,N/A,603344000,N/A,N/A,2300000,N/A,N/A,N/A,N/A,N/A,38725000,1258200000,79614000,N/A,259591000,188374000,8420000,508065000,N/A,-140380000,N/A,41528000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.86,N/A,0,-32.03346989464306,0,NaN,0,NaN,0.2951031791791255,0,-14.726205380482757,0,-23.657300794529014,NaN,1.4293873312564902,,N/A,NaN,NaN,Consumer Cyclical,Restaurants,30968,EQUITY,305344.48,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ELA,-1043591,3447502,3447502,-1043591,-1995713,408198,-1995713,408198,1685039,0,0,46899559,26061748,N/A,0.06,44644875,0.06,N/A,1685039,1685039,N/A,2020472,26076748,1685039,N/A,2254684,0,N/A,9443767,569645,N/A,N/A,N/A,44644875,77391568,51116615,51116615,25855654,26274953,77391568,13266943,0,10822743,15452210,4283558,51535914,N/A,1685039,0,0,1685039,N/A,N/A,11464239,N/A,N/A,35435320,N/A,N/A,N/A,N/A,2591213,13841785,21712268,N/A,8231530,1610425,29073234,8305153,9028988,N/A,750412,414779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.33,25995847,0.24444236245377063,3.592867472378578,105.5,3.2191824812734566,0.5140198152792395,164553711.51,4.761816297402609,750412,2.177290166804735,3.2964604561550095,2.594027870144585,0,25.264959524261492,0.511,N/A,177645084.51,3.7877772904005345,Consumer Cyclical,Luxury Goods,2711,EQUITY,17160.63,0.95%,1,0,0,0,0,0,1,0,0,0,1,1,0,1,-4,1
