Ticker,other_current_assets,intangible_assets,wages,fixed_assets,noncurrent_assets,accounts_payable,noncurrent_liabilities,current_liabilities,current_assets,liabilities,liabilities_and_equity,inventory,other_noncurrent_assets,other_current_liabilities,equity_attributable_to_noncontrolling_interest,assets,equity,equity_attributable_to_parent,operating_expenses,income_tax_expense_benefit_deferred,net_income_loss_available_to_common_stockholders_basic,income_loss_from_discontinued_operations_net_of_tax,preferred_stock_dividends_and_other_adjustments,research_and_development,revenues,net_income_loss_attributable_to_noncontrolling_interest,income_tax_expense_benefit_current,basic_earnings_per_share,depreciation_and_amortization,operating_income_loss,net_income_loss_attributable_to_parent,gross_profit,diluted_earnings_per_share,income_loss_from_continuing_operations_before_tax,costs_and_expenses,diluted_average_shares,net_income_loss,income_loss_from_continuing_operations_after_tax,participating_securities_distributed_and_undistributed_earnings_loss_basic,income_tax_expense_benefit,cost_of_revenue,benefits_costs_expenses,basic_average_shares,other_operating_expenses,net_cash_flow_from_operating_activities,exchange_gains_losses,net_cash_flow_from_investing_activities,net_cash_flow_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_from_financing_activities_discontinued,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow,net_cash_flow_discontinued,net_cash_flow_from_financing_activities,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss_attributable_to_parent,cash,nonoperating_income_loss,selling_general_and_administrative_expenses,interest_expense_operating,noninterest_income,noninterest_expense,interest_income_expense_operating_net,provision_for_loan_lease_and_other_losses,common_stock_dividends,interest_income_expense_after_provision_for_losses,interest_and_dividend_income_operating,long_term_debt,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,prepaid_expenses,commitments_and_contingencies,temporary_equity,other_noncurrent_liabilities,other_operating_income_expenses,undistributed_earnings_loss_allocated_to_participating_securities_basic,temporary_equity_attributable_to_parent,interest_payable,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
UAMY,14034789,N/A,N/A,7751348,14751444,1212397,2221196,2404802,15001603,4625998,29753047,966814,7000096,1192405,0,29753047,25127049,25127049,5487923,N/A,-4415295,N/A,7500,N/A,10219826,0,0,109092842.94,1051780,-7715204,-4413420,-2227281,109344913.94,-7323025,17306377,N/A,-4407795,-7086551,7500,0,12447107,17306377,N/A,4436143,110023,N/A,319715,-3317521,-3170262,N/A,N/A,N/A,-284652,137393,547808,N/A,-284652,-4407795,-4407795,0,0,N/A,N/A,628653,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228921,N/A,N/A,N/A,N/A,N/A,1992275,N/A,N/A,N/A,N/A,1.38,108447317,-0.21793727212185413,-43.12984389362402,1.2620614441721879e-8,5.9560236245808245,0.18410430926449023,149657297.45999998,6.238186345487072,0,-14.814600333202849,-17.542032094576644,-27.948254395315974,0,0,0.668,N/A,149886218.45999998,14.666220193964161,Basic Materials,Other Industrial Metals & Mining,1051887,EQUITY,1451604.0599999998,7923544488.41%,0,0,0,0,1,0,1,0,0,0,1,0,1,0,15847088971,15847088975
THRD,N/A,N/A,N/A,133000,4261000,2857000,2574000,7065000,300232000,9639000,304493000,N/A,4128000,4208000,0,304493000,294854000,294854000,52838000,N/A,39198000,N/A,-41270000,31881000,13650000,0,N/A,0.9600000000000002,N/A,-52838000,-39198000,N/A,0.9600000000000002,-55642000,53358000,122164379,-39198000,-39198000,-41270000,N/A,N/A,43932000,122164379,20957000,-28880000,N/A,-27024000,-4810000,-28880000,N/A,N/A,N/A,51094000,-27024000,-4810000,N/A,51094000,-39198000,-39198000,0,0,N/A,N/A,13640000,N/A,N/A,N/A,N/A,13650000,0,N/A,13650000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.45,45058413,0,-287.16483516483515,3.5937499999999996,0.5272152483941205,0.03269075542471867,155451524.85,42.49568294409059,300232000,-12.873202339626854,-13.294037048844512,-13.294037048844512,Infinity,0,2.866,N/A,-144780475.15,-10.606628216117217,Healthcare,Biotechnology,123646,EQUITY,426578.7,27.83%,0,0,0,0,1,0,1,0,0,0,0,0,0,1,50,53
CBFV,N/A,N/A,N/A,20838000,0,N/A,0,1412601000,1561741000,1412601000,1561741000,N/A,N/A,N/A,0,1561741000,149140000,149140000,43003000,N/A,23029000,N/A,0,N/A,73603000,0,N/A,4.49,N/A,30600000,23029000,N/A,4.46,30599000,43003000,5333247,23029000,23029000,0,7570000,N/A,43003000,5138301,N/A,1731000,N/A,-18879000,94728000,1731000,N/A,N/A,N/A,111876000,-18879000,94728000,N/A,111876000,38791000,38791000,38790000,0,15761000,N/A,N/A,N/A,N/A,20356000,36959000,45670000,-1533000,1,47203000,73603000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.96,5123621,0,31.28812684265587,6.2690582959641254,0.9605501083545662,9.471644092798712,143256443.16,1.1055782913929695,1561741000,1.4745722882347327,15.441196191497921,15.441196191497921,NaN,24.73937056766561,0.647,N/A,-1418484556.84,-19.272102452889147,Financial Services,Banks - Regional,3749,EQUITY,104822.04000000001,15.95%,0,0,1,1,1,0,0,0,1,1,0,1,1,1,26,34
KEQU,77777000,N/A,3708000,16990000,38042000,21458000,37350000,36471000,96436000,73821000,134478000,18659000,21052000,11305000,1329000,134478000,60657000,59328000,36736000,N/A,18748000,N/A,0,N/A,199637000,217000,N/A,6.52,N/A,16373000,18748000,53109000,6.34,11223000,188414000,5947000,18965000,18965000,0,-7742000,146528000,188414000,5748000,N/A,18287000,69000,-2415000,7884000,18287000,N/A,N/A,N/A,-7988000,-2415000,7953000,N/A,-7988000,19228000,19011000,263000,217000,N/A,N/A,N/A,N/A,1911000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54.36,2871808,0.266027840530563,9.499742031787694,8.574132492113565,2.573676292596073,1.2170235916712004,156111482.88,2.6441830495462146,0,14.10267850503428,31.265970951415333,31.265970951415333,0,-68.98333778847011,0.713,N/A,156111482.88,0.7819767021143375,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4547,EQUITY,247174.91999999998,11.66%,1,0,0,0,1,0,1,0,1,1,1,0,1,1,18,26
RCMT,N/A,547000,11634000,6793000,35049000,N/A,39861000,55644000,90496000,95505000,125545000,N/A,27709000,44010000,0,125545000,30040000,30040000,55894000,N/A,15715000,N/A,0,N/A,272496000,0,N/A,1.9999999999999996,N/A,23946000,15715000,79840000,1.94,21795000,250701000,7851812,15715000,15715000,0,6080000,192656000,250701000,7622847,1729000,-7259000,N/A,-3645000,2667000,-7259000,N/A,N/A,N/A,13571000,-3645000,2667000,N/A,13571000,15760000,15733000,5300000,0,N/A,N/A,-2151000,54165000,N/A,N/A,N/A,-1980000,0,N/A,-1980000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.7,7597028,0.2929951265339675,5.767057131113852,9.639175257731958,4.729175219707057,3.179260985352863,142064423.6,1.626338868521314,90496000,12.517424031223864,52.31358189081226,52.31358189081226,0,27.89630649231475,0.579,N/A,51568423.599999994,0.18924469937173388,Industrials,Conglomerates,20000,EQUITY,374000,10.37%,1,0,0,0,0,0,1,0,1,1,1,1,0,1,15,22
PEBK,N/A,N/A,N/A,15206000,0,N/A,0,1525368000,1661650000,1525368000,1661650000,N/A,N/A,N/A,0,1661650000,136282000,136282000,9200000,N/A,16233000,N/A,0,N/A,73617000,-25588000,N/A,3.0500000000000003,N/A,70303000,16233000,N/A,2.95,29610000,44007000,5463698,-9355000,16233000,0,4530000,N/A,44007000,5283844,N/A,20991000,N/A,-41676000,-3457000,20991000,N/A,N/A,N/A,17228000,-41676000,-3457000,N/A,17228000,24660000,24660000,8427000,0,N/A,N/A,N/A,N/A,25964000,26780000,59231000,N/A,N/A,N/A,53214000,79503000,N/A,N/A,N/A,N/A,359138000,N/A,N/A,N/A,N/A,N/A,N/A,26.42,5299066,0,-12.707662632272438,8.95593220338983,1.0272913790522593,11.19273271598597,140001323.72,1.089343686244893,1661650000,-0.5629946137875004,-6.864442846450741,11.91133091677551,NaN,15.29888551165147,0.614,N/A,-1521648676.28,-20.669800131491368,Financial Services,Banks - Regional,3470,EQUITY,91677.40000000001,11.17%,0,0,0,0,1,0,0,0,0,0,0,1,1,1,17,21
CFBK,N/A,N/A,N/A,3480000,0,N/A,0,1902491000,2066494000,1902491000,2066494000,N/A,N/A,N/A,0,2066494000,164003000,164003000,101963000,559000,12954000,N/A,251000,N/A,118109000,0,N/A,2.05,N/A,16146000,13205000,N/A,2.04,16146000,101963000,6309975,13205000,13205000,502000,2941000,N/A,101963000,6284133,N/A,9536000,N/A,-62455000,3757000,9536000,N/A,N/A,N/A,56676000,-62455000,3757000,N/A,56676000,13629000,13629000,13629000,0,424000,N/A,N/A,N/A,N/A,4762000,28250000,45865000,6231000,N/A,39634000,118109000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.85,6402085,0,11.180350354333708,11.691176470588236,0.9310178914410103,11.600342676658354,152689727.25,1.0862043499811562,2066494000,0.6390050007403845,8.05168198142717,8.05168198142717,NaN,18.215037780255173,0.594,N/A,-1913804272.75,-16.203712441473556,Financial Services,Banks - Regional,563,EQUITY,13427.550000000001,8.55%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,12,16
PAYS,N/A,11561703,N/A,1138492,19474759,N/A,2601801,135865954,147499305,138467755,166974064,N/A,6774564,N/A,0,166974064,28506309,28506309,28949796,-3873953,8065444,N/A,0,N/A,56467600,0,N/A,0.15,5470032,1189170,8065444,30138966,0.13999999999999999,4265269,52202331,55489019,8065444,8065444,0,-3800175,26328634,52202331,53186245,N/A,32074482,N/A,-9136559,22606228,32074482,N/A,N/A,N/A,-331695,-9136559,22606228,N/A,-331695,8065444,8065444,0,0,N/A,N/A,N/A,23479764,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.65,53548374,0.5337390999440387,14.283312908641415,18.92857142857143,4.977957374278094,4.85744243493607,141903191.1,1.0856237391156875,147499305,4.830357366159573,28.29354021244911,28.29354021244911,0,-89.09578739347975,0.936,N/A,-5596113.900000006,-0.09910309451791835,Technology,Software - Infrastructure,183014,EQUITY,484987.1,5.28%,1,1,1,0,0,0,0,0,1,1,1,0,0,1,5,12
RMBI,N/A,N/A,N/A,13018031,0,N/A,0,1352523360,1492549957,1352523360,1492549957,N/A,N/A,1349089359,0,1492549957,140026597,140026597,N/A,642075,8843279,N/A,0,N/A,78437531,-279,N/A,0.8700000000000001,861940,N/A,8843279,N/A,0.8700000000000001,78437531,0,10147413,8843000,8843000,0,1261656,N/A,0,10992151,N/A,11749731,N/A,-52237448,-1081984,11749731,N/A,N/A,N/A,39405733,-52237448,-1081984,N/A,39405733,29597220,29597220,20754220,0,N/A,N/A,N/A,N/A,32755121,4745022,32153805,38172434,658716,N/A,37513718,78437531,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,3434001,12.84,9981837,0,11.273939767430976,14.75862068965517,0.9153031625841768,9.659046131071799,128166787.08,1.103529891712924,1492549957,0.5924759810233943,6.315228813280379,6.315228813280379,NaN,1.608485101347721,0.603,N/A,-1364383169.92,-17.394519594452813,Financial Services,Banks - Regional,108894,EQUITY,1398198.96,6.78%,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8,11
OPOF,N/A,N/A,N/A,30411000,0,N/A,0,1362552000,1478009000,1362552000,1478009000,N/A,N/A,N/A,0,1478009000,115457000,115457000,75745000,N/A,8111000,N/A,0,N/A,85616000,0,N/A,1.61,N/A,9871000,8111000,N/A,1.61,9871000,75745000,5065197,8111000,8111000,0,1760000,N/A,75745000,5065177,N/A,14312000,N/A,69294000,97077000,14312000,N/A,N/A,N/A,13471000,69294000,97077000,N/A,13471000,18427000,18427000,10316000,0,N/A,N/A,N/A,N/A,N/A,13658000,49632000,47827000,2026000,0.56,45845000,71958000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.69,5078318,0,9.473696505326107,19.062111801242235,1.349884194288783,11.801380600569908,155853579.42000002,1.0847358486134842,1478009000,0.5487787963402118,7.025126237473692,7.025126237473692,NaN,17.830007091480095,0.18,N/A,-1322155420.58,-15.442854379788823,Financial Services,Banks - Regional,5547,EQUITY,170237.43,5.25%,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7
