Ticker,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,inventory,noncurrent_assets,noncurrent_liabilities,equity_attributable_to_noncontrolling_interest,fixed_assets,liabilities,accounts_payable,other_current_liabilities,assets,equity,liabilities_and_equity,other_current_assets,current_assets,equity_attributable_to_parent,intangible_assets,wages,other_noncurrent_assets,current_liabilities,revenues,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,income_loss_from_continuing_operations_after_tax,other_operating_expenses,income_tax_expense_benefit,basic_earnings_per_share,preferred_stock_dividends_and_other_adjustments,basic_average_shares,income_loss_from_continuing_operations_before_tax,costs_and_expenses,net_income_loss_available_to_common_stockholders_basic,common_stock_dividends,participating_securities_distributed_and_undistributed_earnings_loss_basic,operating_income_loss,provision_for_loan_lease_and_other_losses,diluted_earnings_per_share,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss_attributable_to_parent,gross_profit,net_income_loss,selling_general_and_administrative_expenses,cost_of_revenue,operating_expenses,benefits_costs_expenses,undistributed_earnings_loss_allocated_to_participating_securities_basic,diluted_average_shares,net_cash_flow_continuing,net_cash_flow_from_investing_activities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_operating_activities,nonoperating_income_loss,research_and_development,noninterest_expense,interest_and_dividend_income_operating,income_tax_expense_benefit_deferred,noninterest_income,interest_expense_operating,income_loss_from_discontinued_operations_net_of_tax,exchange_gains_losses,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,net_cash_flow_from_investing_activities_discontinued,temporary_equity,redeemable_noncontrolling_interest,long_term_debt,other_noncurrent_liabilities,other_comprehensive_income_loss_attributable_to_parent,depreciation_and_amortization,accounts_receivable,prepaid_expenses,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,income_tax_expense_benefit_current,noncurrent_prepaid_expenses,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,commitments_and_contingencies,temporary_equity_attributable_to_parent,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
CAAS,45186000,5532000,39624000,6951000,108880000,238910000,6266000,38517000,100703000,439773000,N/A,N/A,829032000,388624000,829032000,481242000,590122000,350107000,N/A,N/A,138207000,433507000,621377000,N/A,N/A,40333000,17673000,10026000,1.0499999999999998,0,90557106,50359000,571018000,31795000,N/A,0,45115000,N/A,1.0499999999999998,6410000,31795000,114385000,38235000,27406000,506992000,74273000,571018000,N/A,90555867,-257000,-54335000,25708000,28370000,28370000,3703000,-54335000,25708000,N/A,29194000,N/A,N/A,N/A,N/A,963000,N/A,3960000,N/A,N/A,N/A,635000,635000,N/A,N/A,N/A,N/A,N/A,N/A,-2098000,50359000,N/A,N/A,N/A,N/A,N/A,4.49,30185702,0.18408309287276484,6.153269271311941,4.276190476190477,0.3481841190055978,1.1316156490592448,135533801.98000002,1.3612744430885775,0,4.612005326694265,9.838558606776731,10.378412038371279,25.522577261004503,19.90905299946385,2.269,N/A,135533801.98000002,0.21811847232839326,Consumer Cyclical,Auto Parts,14364,EQUITY,64494.36,23.39%,0,0,0,0,1,0,0,0,0,0,1,1,0,1,41,45
FCAP,17333000,10000,17323000,5532000,N/A,0,0,108000,14108000,1072412000,N/A,N/A,1189295000,116883000,1189295000,N/A,1189295000,116775000,N/A,N/A,N/A,1072412000,16907000,33519000,34930000,11801000,N/A,2010000,3.52,0,3345381,16907000,3096000,11788000,N/A,0,13811000,1411000,3.52,13000,11788000,N/A,11801000,N/A,N/A,3096000,0,N/A,3345381,58509000,24641000,19238000,14630000,14630000,58509000,24641000,19238000,N/A,N/A,27261000,48918000,-874000,7553000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1070000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.05,3352003,0,69.79949133495002,10.525568181818182,1.0625301468134802,9.175089619534065,124191711.14999999,1.108990761013491,1189295000,0.9922685288343095,10.09642120753232,10.09642120753232,NaN,11.888566865795234,0.537,N/A,-1065103288.85,-62.99776949488378,Financial Services,Banks - Regional,2968,EQUITY,109964.4,9.50%,0,0,1,1,1,0,0,0,0,0,0,0,0,1,14,18
LARK,34654000,0,34654000,22294000,N/A,0,0,0,20976000,1423960000,N/A,N/A,1563651000,139691000,1563651000,N/A,1563651000,139691000,N/A,N/A,N/A,1423960000,72433000,43361000,44211000,12360000,N/A,1861000,2.26,0,10962644000,14221000,58212000,12360000,N/A,0,14221000,850000,2.26,0,12360000,N/A,12360000,N/A,N/A,58212000,58212000,N/A,10969860000,-2610000,11894000,16562000,-31066000,-31066000,-2610000,11894000,16562000,N/A,N/A,42767000,72433000,220000,13627000,21695000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.15,5473867,0,17.064045393674153,10.685840707964601,0.9463307446435346,10.193641680566392,132193888.05,1.098100367987865,1563651000,0.7904577172271818,8.848100450279546,8.848100450279546,NaN,13.08628085226074,0.413,N/A,-1431457111.95,-19.762499302113678,Financial Services,Banks - Regional,4195,EQUITY,101309.25,9.36%,0,0,1,0,1,0,0,0,0,0,0,1,0,1,13,17
AXR,11172000,0,11172000,11172000,N/A,0,0,0,1813000,4005000,N/A,N/A,129081000,125076000,129081000,N/A,129081000,125076000,N/A,N/A,N/A,4005000,63222000,1469000,1469000,12342000,N/A,1791000,2.33,0,10638300,14133000,50558000,12342000,N/A,0,12664000,0,2.3000000000000003,0,12342000,N/A,12342000,N/A,N/A,63508000,49089000,N/A,10737347,23906000,4557000,19356000,-7000,-7000,23906000,4557000,19356000,N/A,N/A,N/A,N/A,1227000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32000,N/A,-1170000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.6,5271309,0,19.52168548922843,11.130434782608695,1.078908107070901,0.032020531516837765,134945510.4,32.22996254681648,129081000,9.561438166732517,9.867600498896671,9.865076573840202,NaN,12.672468690299299,0.996,N/A,5896510.400000006,0.0932667489165165,Real Estate,Real Estate - Development,4814,EQUITY,123238.40000000001,8.98%,0,0,1,0,1,0,1,0,0,0,0,0,0,1,12,16
MNSB,15769000,0,15769000,15769000,N/A,0,0,0,13571000,1998548000,N/A,N/A,2224599000,226051000,2224599000,N/A,2224599000,226051000,N/A,N/A,N/A,1998548000,2026000,59229000,63051000,11334000,N/A,2020000,1.21,2156000,7608918,13354000,-11328000,9178000,N/A,2156000,13354000,3822000,1.21,0,11334000,N/A,11334000,905000,N/A,-11328000,-11328000,N/A,N/A,110931000,-108246000,14612000,204565000,204565000,110931000,-108246000,14612000,N/A,N/A,49376000,132380000,-467000,3501000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4435000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.48,7603765,0,559.4274432379071,13.619834710743802,0.5543441400391947,8.841137619386776,125310047.2,1.1131076161293099,2224599000,0.5094850802324374,5.013912789591729,5.013912789591729,NaN,15.126553841545604,0.548,N/A,-2099288952.8,-1036.1742116485686,Financial Services,Banks - Regional,996,EQUITY,16414.08,7.34%,0,0,1,1,1,0,0,0,0,0,0,1,0,1,9,14
UNB,13933000,0,13933000,10884000,N/A,0,0,0,20460000,1447193000,N/A,N/A,1519494000,72301000,1519494000,N/A,1519494000,72301000,N/A,N/A,N/A,1447193000,64780000,36779000,37024000,8809000,N/A,533000,1.9500000000000002,0,4522094,64780000,0,8809000,N/A,0,N/A,245000,1.94,0,8809000,N/A,8809000,N/A,N/A,N/A,0,N/A,4549202,25931000,-78017000,9427000,94521000,94521000,25931000,-78017000,9427000,N/A,N/A,37043000,64780000,244000,9606000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20232000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.2,4524553,0,13.598332818771224,15.051546391752577,1.8273183994688869,20.016223841993888,132116947.6,1.0499594732699784,1519494000,0.5797324635701095,12.183787222859987,12.183787222859987,NaN,0.8227848101265823,0.786,N/A,-1387377052.4,-21.416749805495524,Financial Services,Banks - Regional,2579,EQUITY,75306.8,6.64%,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,11
FTLF,2161000,0,2161000,35000,10371000,40488000,12374000,0,91000,24429000,4078000,7977000,58587000,34158000,58587000,7728000,18099000,34158000,26314000,N/A,14083000,12055000,15977000,N/A,N/A,2126000,1152000,770000,0.46,0,4598000,2896000,13081000,2126000,N/A,0,3182000,N/A,0.43,0,2126000,7001000,2126000,2645000,8976000,3819000,13081000,N/A,4965000,922000,0,2047000,-1125000,-1125000,922000,0,2047000,-286000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.01,9210216,0.4381924015772673,13.30662827814984,34.906976744186046,4.047231751273494,0.7151765325838749,138245342.16,1.5013687266694318,0,3.6287913700991687,6.224017799636981,6.224017799636981,0,26.588397790055247,0.952,N/A,138245342.16,8.652772245102334,Consumer Defensive,Packaged Foods,1890,EQUITY,28368.899999999998,2.86%,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,7
HOFT,-17980000,0,-17980000,-13889000,66493000,176145000,70327000,0,28524000,118093000,23240000,17589000,326864000,208771000,326864000,84226000,150719000,208771000,23904000,6937000,123717000,47766000,389778000,-1262000,-1262000,-17996000,5642000,-3614000,-1.7000000000000002,-93000,10455000,-22965000,402972000,-17903000,0.9199999999999999,-226000,-15090000,0,-1.69,0,-17996000,87903000,-17996000,97501000,300046000,103143000,402972000,13000,10479000,-19385000,-2637000,-5633000,-11115000,-11115000,-19385000,-2637000,-5633000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.07,N/A,0.2255206810030325,-4.616987105480556,0,NaN,0.5656580655359221,NaN,3.1553615542436044,0,-5.5056537275441775,-8.619971164577455,-8.619971164577455,0,15.736991073372522,1.186,N/A,NaN,NaN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",28214,EQUITY,368756.98,N/A,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5
BRLT,3308000,0,3308000,0,38530000,70502000,96472000,89886000,21768000,168891000,2199000,65162000,273246000,104355000,273246000,164214000,202744000,14469000,N/A,5058000,48734000,72419000,426982000,N/A,N/A,3308000,N/A,-328000,0.030000000000000006,0,13350954,2980000,424002000,426000,N/A,0,2138000,N/A,0.03,2882000,426000,256161000,3308000,254023000,170821000,254023000,424002000,N/A,98663922,5528000,-3945000,14204000,-4731000,-4731000,5528000,-3945000,14204000,N/A,N/A,N/A,N/A,-384000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58088000,38384000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.39,13624810,0.5999339550613375,0.7747399187787776,46.33333333333333,0.18148134636577068,1.618427483110536,18938485.9,2.7995967908974166,0,1.2106307137158459,3.169948732691294,2.036406616474702,0,-11.006711409395974,1.632,N/A,77026485.9,0.18039750129982063,Consumer Cyclical,Luxury Goods,50930,EQUITY,70792.7,2.16%,1,1,0,0,1,0,1,0,0,0,1,0,0,1,-1,5
SFBC,4344000,0,4344000,4344000,N/A,0,0,0,4807000,998691000,N/A,N/A,1100930000,102239000,1100930000,N/A,1100930000,102239000,N/A,N/A,N/A,998691000,55973000,30509000,30348000,3929000,45181000,759000,1.5299999999999996,25000,5077388,4688000,51285000,3904000,0.76,37000,4688000,-161000,1.5299999999999996,0,3929000,N/A,3929000,6104000,N/A,51285000,51285000,12000,5120275,47040000,-24844000,4901000,66983000,66983000,47040000,-24844000,4901000,N/A,N/A,30380000,55973000,N/A,4559000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,50.47,2395129,0,7.019455809050792,32.98692810457517,1.1823488163029763,9.7682000019562,120882160.63,1.102373006265201,1100930000,0.35688009228561307,3.8429562104480675,3.8429562104480675,NaN,16.190273037542664,0.724,N/A,-980047839.37,-17.509296256587998,Financial Services,Banks - Regional,135,EQUITY,6813.45,3.03%,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
