Ticker,net_cash_flow_from_financing_activities,net_cash_flow_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow_from_operating_activities,net_cash_flow,current_assets,other_current_assets,equity,equity_attributable_to_noncontrolling_interest,fixed_assets,long_term_debt,noncurrent_liabilities,liabilities_and_equity,noncurrent_assets,inventory,assets,liabilities,equity_attributable_to_parent,current_liabilities,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,costs_and_expenses,net_income_loss_attributable_to_parent,income_loss_from_continuing_operations_before_tax,net_income_loss_available_to_common_stockholders_basic,diluted_average_shares,nonoperating_income_loss,basic_earnings_per_share,diluted_earnings_per_share,cost_of_revenue,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,basic_average_shares,gross_profit,preferred_stock_dividends_and_other_adjustments,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss,income_loss_from_continuing_operations_after_tax,benefits_costs_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,income_tax_expense_benefit,selling_general_and_administrative_expenses,revenues,depreciation_and_amortization,operating_expenses,income_tax_expense_benefit_deferred,operating_income_loss,other_operating_expenses,other_noncurrent_assets,intangible_assets,long_term_investments,accounts_payable,prepaid_expenses,other_current_liabilities,other_comprehensive_income_loss_attributable_to_parent,exchange_gains_losses,other_noncurrent_liabilities,wages,common_stock_dividends,income_loss_from_discontinued_operations_net_of_tax,income_tax_expense_benefit_current,research_and_development,interest_expense_operating,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,provision_for_loan_lease_and_other_losses,undistributed_earnings_loss_allocated_to_participating_securities_basic,accounts_receivable,redeemable_noncontrolling_interest_common,redeemable_noncontrolling_interest,temporary_equity_attributable_to_parent,temporary_equity,cost_of_revenue_goods,interest_and_debt_expense,net_cash_flow_from_financing_activities_discontinued,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,commitments_and_contingencies,interest_and_dividend_income_operating,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
MSGM,-350000,-1575177,4210139,-350000,-5435316,4210139,-5435316,-1575177,2177002,N/A,3029080,-1272942,136997,N/A,49813,7208411,5031409,N/A,7208411,4179331,4302022,4129518,1227222,-600369,-1827591,-205130,8810904,1312447,-459026,1312447,5481644,N/A,10.780000000000001,10.780000000000001,2943866,N/A,N/A,5481644,5408012,0,-1771473,-459026,-459026,8810904,0,N/A,N/A,8351878,333355,13446997,N/A,-4540985,8129288,96401,4798011,N/A,1764650,N/A,2364868,-600369,N/A,N/A,N/A,N/A,N/A,N/A,4984354,389747,-389747,-389747,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.3,3883558,0.6475204738383391,-5.496081240650306,0.12059369202226344,1.666719069816578,1.379736091486524,5048625.4,0.527180654013374,2177002,-6.36792213984469,-15.153974143964504,-15.153974143964504,92.16610466101038,0,2.056,N/A,2871623.4000000004,0.34382966322065533,Communication Services,Electronic Gaming & Multimedia,16517,EQUITY,21472.100000000002,829.23%,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1653,1657
EMMS,-22015000,-62209000,-318000,-19798000,-42093000,129469000,-12653000,94801000,111536000,109809000,119907000,-17000,15214000,N/A,81671000,221992000,110456000,N/A,221992000,102085000,119924000,20414000,50485000,51919000,1434000,0,57332000,50485000,-34117000,50485000,12898000,-16495000,3.91,3.91,N/A,-780000,-33337000,12898000,N/A,0,1434000,51919000,-25038000,73827000,0,-9079000,N/A,39710000,N/A,57332000,-9432000,-17622000,N/A,95242000,N/A,N/A,N/A,1727000,N/A,N/A,N/A,N/A,N/A,N/A,76957000,353000,N/A,3821000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2217000,129787000,29440000,157010000,N/A,N/A,3,N/A,0,130.74540418030722,0.7672634271099744,NaN,0.851368143644658,NaN,5.463701381404918,1727000,23.387779739810444,43.29939036086301,-20.88118291676049,NaN,26.61136676730076,0.86,N/A,NaN,NaN,Communication Services,Broadcasting,1000,EQUITY,3000,130.33%,0,0,1,1,0,0,1,1,1,0,0,1,0,1,255,262
NCSM,-3640000,3760000,-902000,-3640000,8302000,-902000,8302000,3760000,99453000,58254000,114110000,18071000,N/A,N/A,9624000,145843000,46390000,41199000,145843000,31733000,96039000,22109000,42714000,44220000,1506000,-47000,107757000,42761000,45044000,42761000,2575000,45211000,17.29,17.27,N/A,N/A,N/A,2539000,N/A,0,1506000,44267000,44267000,107757000,0,777000,56010000,152801000,N/A,66100000,8000,-167000,7590000,42485000,3905000,N/A,7512000,N/A,14597000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.64,2502812,0,28.97036014162211,1.65836711059641,0.6281704993427395,0.27809131539742354,71680535.68,4.498303858157311,0,30.35250234841576,38.79326965209009,38.79326965209009,NaN,1.7249800195364533,1.169,N/A,71680535.68,0.4691103833090098,Energy,Oil & Gas Equipment & Services,7047,EQUITY,201826.08000000002,60.30%,0,0,1,1,1,0,1,1,1,1,0,0,0,1,115,123
NCSM,-3640000,3760000,-902000,-3640000,8302000,-902000,8302000,3760000,99453000,58254000,114110000,18071000,N/A,N/A,9624000,145843000,46390000,41199000,145843000,31733000,96039000,22109000,42714000,44220000,1506000,-47000,107757000,42761000,45044000,42761000,2575000,45211000,17.29,17.27,N/A,N/A,N/A,2539000,N/A,0,1506000,44267000,44267000,107757000,0,777000,56010000,152801000,N/A,66100000,8000,-167000,7590000,42485000,3905000,N/A,7512000,N/A,14597000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.64,2502812,0,28.97036014162211,1.65836711059641,0.6281704993427395,0.27809131539742354,71680535.68,4.498303858157311,0,30.35250234841576,38.79326965209009,38.79326965209009,NaN,1.7249800195364533,1.169,N/A,71680535.68,0.4691103833090098,Energy,Oil & Gas Equipment & Services,7047,EQUITY,201826.08000000002,60.30%,0,0,1,1,1,0,1,1,1,1,0,0,0,1,115,123
HTCR,-961196,-1016077,5318181,-961196,-5373062,5318181,-5373062,-1016077,12250963,11481780,14315757,1914329,663447,1858072,4625319,25472354,13221391,N/A,25472354,11156597,12401428,6531278,5029860,4109346,-920514,102294,26403456,4920197,3887474,4920197,21008634,N/A,0.23,0.23,12938245,N/A,N/A,21008634,17352685,0,-913145,4007052,4007052,26403456,0,-119578,N/A,30290930,N/A,10606912,-345105,6745773,9569143,8520444,4037500,N/A,N/A,769183,N/A,N/A,N/A,2767247,N/A,N/A,N/A,N/A,1037769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.47,20933797,0.5728673566641895,13.228553893855356,6.391304347826087,2.1495671929888163,0.7793228817728605,30772681.59,1.8757374896612884,769183,15.730984266314765,27.990500257862717,24.774912607274384,5.980452016503498,-3.0759819872750276,1.714,N/A,31861570.59,1.0518518444299993,Technology,Software - Application,50309,EQUITY,73954.23,15.65%,1,1,1,0,1,0,1,0,1,1,1,0,0,1,26,35
NSYS,4668000,79000,-1134000,4668000,-3455000,-1134000,-3455000,118000,60278000,37946000,35690000,0,5834000,N/A,17958000,76966000,16688000,22332000,76966000,41276000,35690000,23318000,4556000,4556000,0,4556000,132528000,4535000,3039000,4535000,2929333,N/A,1.6699999999999997,1.5699999999999998,114840000,N/A,N/A,2760368,20727000,0,0,4535000,4535000,132528000,0,-1496000,N/A,135567000,N/A,17018000,N/A,3709000,15833000,10854000,N/A,N/A,12315000,N/A,8063000,N/A,39000,N/A,2940000,N/A,N/A,N/A,1185000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.21,2756754,0.15289119033393084,3.345209379863831,6.503184713375798,0.7886371067525918,1.1565144298122723,28146458.340000004,2.5850415987649025,0,5.892212145622742,12.706640515550575,12.706640515550575,5.717180489216964,-49.22671931556433,0.46,N/A,28146458.340000004,0.20762027882891856,Healthcare,Medical Devices,1971,EQUITY,20123.910000000003,15.38%,0,0,0,0,1,0,1,0,0,0,1,0,0,1,25,29
NL,-41063000,81407000,84340000,-41063000,38130000,84340000,38130000,81407000,225577000,197569000,404930000,18893000,24261000,N/A,147154000,585650000,360073000,28008000,585650000,180720000,386037000,33566000,57709000,60036000,2327000,-550000,79463000,58269000,71227000,58269000,48844000,N/A,1.19,1.19,106767000,28810000,42417000,48844000,43923000,0,2317000,60586000,60586000,79463000,0,10641000,24295000,150690000,N/A,34910000,10380000,9013000,10615000,335812000,N/A,N/A,3291000,N/A,30275000,N/A,N/A,N/A,N/A,0.7400000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.22,48847734,0.291479195699781,40.205720353042665,6.067226890756302,0.8709669312720717,0.4462993603832761,352680639.47999996,6.720401596853959,0,10.345086655852471,14.962092213468994,14.962092213468994,0,14.939559436730454,0.513,N/A,352680639.47999996,2.340438247262592,Industrials,Security & Protection Services,27166,EQUITY,196138.52,16.48%,1,0,1,1,1,-10,1,0,0,0,1,1,0,1,27,25
CMT,-5200000,24313000,-9342000,-5200000,38855000,-9342000,38855000,24313000,115498000,94811000,147840000,0,79171000,20164000,24930000,220651000,105153000,20687000,220651000,72811000,147840000,47881000,12802000,12802000,0,10620000,294803000,15520000,90116000,15520000,17668000,N/A,1.78,1.76,259346000,N/A,N/A,17456000,54312000,0,0,15520000,15520000,223542000,0,3224000,35971000,313658000,N/A,35970000,N/A,18342000,N/A,21155000,4827000,N/A,25011000,N/A,15091000,N/A,N/A,4766000,7779000,N/A,N/A,N/A,N/A,76000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.44,8955360,0.17315675034591815,4.9480644523653154,7.636363636363636,0.8141236363636364,0.49249864718614716,120360038.39999999,2.4121885507821474,0,7.0337320021209955,10.497835497835498,9.237875288683602,0,3.577611079053664,1.738,N/A,140524038.39999998,0.4480167520037747,Basic Materials,Specialty Chemicals,16521,EQUITY,222042.24,13.10%,0,0,0,0,1,0,1,0,0,0,1,0,0,1,21,25
RES,-53822000,105014000,-192000000,-53822000,350836000,-192000000,350836000,105014000,677780000,555798000,1072341000,0,509292000,N/A,123651000,1330597000,652817000,113489000,1330597000,258256000,1072341000,134605000,118830000,118996000,0,18851000,1322854000,118941000,151315000,117055000,N/A,N/A,0.56,0.56,1065799000,N/A,N/A,634025000,408370000,930000,0,118941000,118941000,1322854000,930000,32374000,153315000,1474169000,126778000,272136000,4673000,136234000,N/A,129089000,14436000,N/A,86640000,8493000,47965000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.12,N/A,0.27701708555803306,8.068342232132137,10.928571428571427,NaN,0.2408338392358401,NaN,5.035325582259203,8493000,8.938919898361412,11.091714296105437,11.091714296105437,0,21.395102930971813,1.582,N/A,NaN,NaN,Energy,Oil & Gas Equipment & Services,532560,EQUITY,3259267.2,9.15%,1,0,0,0,0,0,1,0,0,0,1,1,0,0,13,17
RCKY,-68893000,-535000,-2457000,-68893000,70815000,-2457000,70815000,-535000,258064000,81012000,228250000,0,50380000,150290000,154413000,475017000,216953000,171847000,475017000,246767000,228250000,92354000,13299000,13299000,0,0,433612000,13299000,18058000,13299000,7486000,-19239000,1.81,1.79,275109000,N/A,N/A,7440000,176561000,0,0,13299000,13299000,433612000,0,4759000,N/A,451670000,N/A,139264000,N/A,37297000,N/A,56052000,110521000,N/A,63148000,5205000,26281000,N/A,N/A,4123000,2925000,0.6200000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.81,7449020,0.3909070781765448,2.9444063143445436,13.30167597765363,0.7770478256297919,1.0811259583789705,177361166.2,2.794291530415575,5205000,2.7996892742786046,5.8265060240963855,3.513235061023934,0,26.35397053937313,2.1,N/A,322446166.2,0.7138976823787279,Consumer Cyclical,Footwear & Accessories,16060,EQUITY,382388.6,7.52%,1,0,0,0,1,0,1,0,0,0,1,1,0,1,10,16
