Values in dollars
ticker,day.c,day.h,day.l,day.o,day.v,day.vw,lastQuote.P,lastQuote.S,lastQuote.p,lastQuote.s,lastQuote.t,lastTrade.c,lastTrade.i,lastTrade.p,lastTrade.s,lastTrade.t,lastTrade.x,min.av,min.c,min.h,min.l,min.n,min.o,min.t,min.v,min.vw,prevDay.c,prevDay.h,prevDay.l,prevDay.o,prevDay.v,prevDay.vw,todaysChange,todaysChangePerc,updated
AMZN,144.84,145.35,142.81,145.25,48293716,144.4521,,,,,,,,,,,,48293716,144.8,144.84,144.8,28,144.8,1701737940000,2430,144.8135,147.03,147.245,145.55,146,39949248,146.6909,-2.2299999999999898,-1.5166972726654353,1701738000000000000
GOOG,130.63,131.45,129.4,131.294,24116963,130.2939,,,,,,,,,,,,24116951,130.63,130.63,130.63,9,130.63,1701737820000,350,130.624,133.32,133.5,132.1517,133.32,24267987,132.9458,-2.6899999999999977,-2.017701770177016,1701737880000000000



Values in COP
ticker,day.c,day.h,day.l,day.o,day.v,day.vw,lastQuote.P,lastQuote.S,lastQuote.p,lastQuote.s,lastQuote.t,lastTrade.c,lastTrade.i,lastTrade.p,lastTrade.s,lastTrade.t,lastTrade.x,min.av,min.c,min.h,min.l,min.n,min.o,min.t,min.v,min.vw,prevDay.c,prevDay.h,prevDay.l,prevDay.o,prevDay.v,prevDay.vw,todaysChange,todaysChangePerc,updated
NaN,582597.17,584648.57,574431.80,584246.34,48293716,581036.90,0.00,0.00,0.00,0.00,,,,0.00,,,,48293716,582436.28,582597.17,582436.28,28,582436.28,1701737940000,2430,582490.58,591406.12,592270.93,585453.04,587263.10,39949248,146.6909,-8969.84,-1.5166972726654353,6.8449858443e+21
NaN,525439.58,528737.91,520492.09,528110.42,24116963,524087.67,0.00,0.00,0.00,0.00,,,,0.00,,,,24116951,525439.58,525439.58,525439.58,9,525439.58,1701737820000,350,525415.45,536259.70,536983.72,531560.39,536259.70,24267987,132.9458,-10820.12,-2.017701770177016,6.844985361618e+21
